"condorcet winner: Siddiqui, Sumbul","Akiba, Sukia","Azeem, Burhan","Carlone, Dennis J.","Franklin, Charles J.","Kelley, Craig A.","Kopon, Derek Andrew","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","McNary, Jeffery","Mednick, Risa","Moree, Gregg J.","Musgrave, Adriane","Nolan, Patricia M.","Pitkin, John","Siddiqui, Sumbul","Simmons, E. Denise","Simon, Ben","Sobrinho-Wheeler, Jivan","Toomey, Jr., Timothy J.","Williams, Nicola A.","Zondervan, Quinton Y.",writeIns
"Akiba, Sukia",,2556.00,2668.00,2835.00,2660.00,3021.00,3232.00,2235.00,2438.00,3229.00,2780.00,3294.00,2581.00,2465.00,3010.00,1748.00,2036.00,2888.00,2474.00,2681.00,2405.00,2217.00,3448.00
"Azeem, Burhan",4735.00,,4765.00,4962.00,4873.00,5234.00,5447.00,3661.00,3888.00,5458.00,4662.00,5528.00,4047.00,4672.00,5262.00,2803.00,3761.00,5065.00,3756.00,4702.00,4540.00,4145.00,5661.00
"Carlone, Dennis J.",8184.00,7929.00,,7868.00,6322.00,7672.00,8467.00,7043.00,6863.00,8589.00,8057.00,8604.00,7761.00,5756.00,7572.00,6381.00,6781.00,7714.00,7248.00,7403.00,6805.00,5359.00,8758.00
"Franklin, Charles J.",3740.00,3437.00,2738.00,,3522.00,3833.00,4273.00,3353.00,3433.00,4264.00,3755.00,4375.00,3630.00,3044.00,3899.00,2826.00,3295.00,3627.00,2915.00,3760.00,2795.00,2283.00,4501.00
"Kelley, Craig A.",8056.00,7749.00,5644.00,7833.00,,7495.00,8425.00,6670.00,6538.00,8501.00,7931.00,8526.00,7567.00,5761.00,7433.00,6229.00,6445.00,7863.00,7582.00,6942.00,6930.00,5856.00,8676.00
"Kopon, Derek Andrew",4313.00,4123.00,2455.00,4034.00,2563.00,,4593.00,3988.00,4133.00,4702.00,4384.00,4750.00,4210.00,2458.00,3567.00,3728.00,4027.00,4004.00,4021.00,4322.00,3167.00,2446.00,4880.00
"Levy, Ilan",1302.00,1272.00,993.00,1218.00,1024.00,1158.00,,1158.00,1214.00,1561.00,1388.00,1615.00,1347.00,977.00,1269.00,1057.00,1120.00,1284.00,1269.00,1233.00,1088.00,891.00,1722.00
"Mallon, Alanna M.",8606.00,7332.00,7691.00,8522.00,7574.00,8706.00,9084.00,,6569.00,9185.00,8439.00,9234.00,7466.00,7753.00,8772.00,5135.00,6430.00,8779.00,7400.00,7761.00,8166.00,7222.00,9357.00
"McGovern, Marc C.",8736.00,7521.00,7766.00,8568.00,7604.00,8774.00,9038.00,5855.00,,9100.00,8363.00,9153.00,7446.00,7886.00,8764.00,5534.00,6332.00,8758.00,7473.00,7492.00,8297.00,7380.00,9282.00
"McNary, Jeffery",1087.00,1033.00,987.00,1033.00,959.00,1077.00,1208.00,855.00,934.00,,1185.00,1371.00,1068.00,967.00,1200.00,832.00,856.00,1180.00,1059.00,1080.00,965.00,881.00,1511.00
"Mednick, Risa",4402.00,3249.00,3796.00,4087.00,4185.00,4521.00,4784.00,2451.00,2854.00,4738.00,,4944.00,3188.00,3775.00,4576.00,2243.00,3008.00,4493.00,3040.00,3962.00,3787.00,3398.00,5082.00
"Moree, Gregg J.",818.00,789.00,773.00,857.00,693.00,828.00,906.00,620.00,608.00,861.00,720.00,,769.00,699.00,899.00,645.00,598.00,924.00,834.00,707.00,817.00,747.00,1121.00
"Musgrave, Adriane",5807.00,4636.00,5332.00,5759.00,5328.00,5931.00,6295.00,3547.00,4043.00,6255.00,5206.00,6282.00,,5240.00,6038.00,3281.00,4315.00,6029.00,4729.00,5471.00,5443.00,4825.00,6556.00
"Nolan, Patricia M.",8624.00,8384.00,6310.00,8086.00,6728.00,7949.00,8983.00,7361.00,7414.00,8994.00,8260.00,9068.00,7903.00,,8200.00,6956.00,7483.00,8422.00,7747.00,8213.00,7305.00,6213.00,9293.00
"Pitkin, John",4516.00,4408.00,2638.00,4262.00,2800.00,3338.00,4636.00,4092.00,4086.00,4678.00,4368.00,4694.00,4228.00,2226.00,,3896.00,4051.00,4043.00,4216.00,4349.00,3274.00,2633.00,4937.00
"Siddiqui, Sumbul",10521.00,9434.00,9444.00,10310.00,9527.00,10559.00,10996.00,8170.00,8352.00,10957.00,10092.00,11029.00,9251.00,9340.00,10468.00,,8635.00,10483.00,9171.00,9920.00,9847.00,8789.00,11206.00
"Simmons, E. Denise",9390.00,8241.00,8752.00,9293.00,8458.00,9475.00,9851.00,6776.00,6644.00,9846.00,8859.00,9907.00,7942.00,8408.00,9351.00,5755.00,,9564.00,8269.00,8378.00,8847.00,8265.00,10073.00
"Simon, Ben",4336.00,4170.00,2570.00,3807.00,2952.00,3335.00,4501.00,3904.00,3941.00,4530.00,4191.00,4613.00,4081.00,2259.00,3242.00,3490.00,3747.00,,3515.00,4238.00,2649.00,2250.00,4788.00
"Sobrinho-Wheeler, Jivan",6275.00,5149.00,5582.00,5959.00,6093.00,6437.00,6751.00,4774.00,5037.00,6747.00,5634.00,6798.00,5106.00,5489.00,6362.00,3811.00,4919.00,6127.00,,6122.00,5532.00,4872.00,6950.00
"Toomey, Jr., Timothy J.",6729.00,5527.00,6204.00,6707.00,5912.00,6831.00,7033.00,4425.00,4205.00,7017.00,6001.00,7018.00,5298.00,6143.00,6721.00,4036.00,3755.00,6713.00,5517.00,,6475.00,6054.00,7196.00
"Williams, Nicola A.",7017.00,6778.00,4779.00,6561.00,5478.00,6227.00,7484.00,6053.00,6291.00,7516.00,6766.00,7627.00,6549.00,4443.00,6268.00,5310.00,5853.00,6427.00,5808.00,6923.00,,4193.00,7771.00
