"condorcet winner: Cheung, Leland","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Cheung, Leland",,58.54,63.74,70.44,61.37,84.36,90.84,93.34,82.10,92.87,66.99,69.20,59.84,84.43,64.31,71.72,90.17,70.57,99.07
"Davis, Henrietta",41.46,,58.47,65.32,56.32,78.85,87.25,90.96,77.77,90.80,60.51,63.19,53.80,78.69,58.30,66.35,87.56,64.41,98.74
"Decker, Marjorie C.",36.26,41.53,,59.65,49.71,74.95,85.34,89.47,72.95,89.47,55.24,55.86,47.36,73.78,52.98,60.44,85.25,58.40,98.54
"Kelley, Craig A.",29.56,34.68,40.35,,42.25,71.87,82.15,87.07,68.20,85.83,47.25,47.92,39.54,70.33,45.20,54.80,82.04,51.74,98.25
"Maher, David P.",38.63,43.68,50.29,57.75,,77.59,86.46,90.40,74.51,89.43,56.31,57.20,47.93,75.87,56.85,63.21,85.91,59.52,98.74
"Marquardt, Charles J.",15.64,21.15,25.05,28.13,22.41,,70.61,78.59,49.08,74.71,28.10,28.06,23.51,50.51,26.47,33.57,67.08,30.36,96.64
"Mello, Gary W.",9.16,12.75,14.66,17.85,13.54,29.39,,67.53,34.27,62.76,17.45,17.76,13.78,35.13,16.28,20.09,51.29,19.13,94.82
"Moree, Gregg J.",6.66,9.04,10.53,12.93,9.60,21.41,32.47,,25.98,51.06,12.44,12.92,9.66,26.95,11.90,14.25,41.05,14.23,93.38
"Nelson, Matthew P.",17.90,22.23,27.05,31.80,25.49,50.92,65.73,74.02,,76.93,30.77,30.10,25.22,53.21,30.10,36.18,69.28,33.06,96.99
"Pascual, Jamake",7.13,9.20,10.53,14.17,10.57,25.29,37.24,48.94,23.07,,12.84,14.14,9.60,29.62,13.28,15.98,44.60,15.62,93.70
"Reeves, Kenneth E.",33.01,39.49,44.76,52.75,43.69,71.90,82.55,87.56,69.23,87.16,,51.66,41.74,71.94,51.00,58.57,84.02,54.15,98.42
"Seidel, Sam",30.80,36.81,44.14,52.08,42.80,71.94,82.24,87.08,69.90,85.86,48.34,,43.32,72.72,50.28,58.21,83.93,54.84,98.41
"Simmons, E. Denise",40.16,46.20,52.64,60.46,52.07,76.49,86.22,90.34,74.78,90.40,58.26,56.68,,76.82,58.69,65.94,87.74,61.28,98.70
"Stohlman, Jr., Thomas J.",15.57,21.31,26.22,29.67,24.13,49.49,64.87,73.05,46.79,70.38,28.06,27.28,23.18,,29.39,35.05,69.38,29.76,96.67
"Toomey, Jr., Timothy J.",35.69,41.70,47.02,54.80,43.15,73.53,83.72,88.10,69.90,86.72,49.00,49.72,41.31,70.61,,58.69,84.56,54.83,98.63
"Ward, Larry W.",28.28,33.65,39.56,45.20,36.79,66.43,79.91,85.75,63.82,84.02,41.43,41.79,34.06,64.95,41.31,,82.98,44.95,98.13
"Williamson, James M.",9.83,12.44,14.75,17.96,14.09,32.92,48.71,58.95,30.72,55.40,15.98,16.07,12.26,30.62,15.44,17.02,,16.40,94.63
"vanBeuzekom, Minka Y.",29.43,35.59,41.60,48.26,40.48,69.64,80.87,85.77,66.94,84.38,45.85,45.16,38.72,70.24,45.17,55.05,83.60,,98.26
writeIns,0.93,1.26,1.46,1.75,1.26,3.36,5.18,6.62,3.01,6.30,1.58,1.59,1.30,3.33,1.37,1.87,5.37,1.74,
