"condorcet winner: Siddiqui, Sumbul","Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.",writeIns
"Benjamin, Ronald",,1770.00,1429.00,1694.00,1326.00,1474.00,1428.00,1475.00,1873.00,1775.00,1388.00,1299.00,1844.00,1536.00,1478.00,1660.00,1626.00,1137.00,990.00,1354.00,1698.00,1397.00,1475.00,1401.00,1545.00,1351.00,2151.00
"Burgin, Josh M.",2063.00,,1782.00,2157.00,1693.00,1931.00,1965.00,1815.00,2346.00,2231.00,1733.00,1605.00,2327.00,1935.00,1969.00,2076.00,2102.00,1585.00,1480.00,1828.00,2171.00,1749.00,1833.00,1775.00,2037.00,1735.00,2614.00
"Carlone, Dennis J.",8643.00,8528.00,,8407.00,5361.00,7948.00,8045.00,7446.00,8919.00,8693.00,7321.00,6379.00,8897.00,8098.00,8175.00,8646.00,8524.00,5447.00,6256.00,6722.00,8791.00,7694.00,8104.00,7670.00,8432.00,5966.00,9103.00
"D'Ambrosio, Olivia",3109.00,3075.00,1992.00,,1824.00,2812.00,2979.00,2750.00,3379.00,3220.00,2449.00,2339.00,3364.00,2688.00,2616.00,3117.00,3099.00,1678.00,2171.00,2265.00,3191.00,2689.00,2952.00,2842.00,2763.00,2046.00,3622.00
"Devereux, Jan",10102.00,9959.00,7215.00,9640.00,,9295.00,9470.00,8876.00,10335.00,10107.00,8455.00,7882.00,10353.00,9472.00,9464.00,10081.00,10014.00,6565.00,7508.00,8138.00,10216.00,9167.00,9524.00,9237.00,9765.00,7343.00,10530.00
"Gebru, Samuel",5690.00,5616.00,4456.00,5409.00,4194.00,,5221.00,5087.00,5958.00,5797.00,4171.00,3756.00,5936.00,4721.00,5245.00,5702.00,5673.00,3615.00,3689.00,4507.00,5832.00,4516.00,5369.00,5371.00,5520.00,4360.00,6178.00
"Harding, Jr., Richard",5445.00,5371.00,4396.00,5282.00,4256.00,4616.00,,4806.00,5789.00,5607.00,4449.00,4010.00,5772.00,5111.00,5184.00,5499.00,5426.00,3852.00,3308.00,4616.00,5609.00,4628.00,4830.00,4597.00,5384.00,4540.00,5992.00
"Kelley, Craig A.",6712.00,6532.00,4917.00,6457.00,4614.00,5890.00,5971.00,,6936.00,6719.00,5279.00,4483.00,6928.00,5957.00,6339.00,6718.00,6649.00,4795.00,4282.00,5696.00,6784.00,5526.00,5910.00,5442.00,6567.00,5391.00,7117.00
"Lenke, Dan",754.00,713.00,548.00,669.00,516.00,629.00,603.00,556.00,,903.00,723.00,625.00,993.00,779.00,739.00,818.00,806.00,590.00,512.00,677.00,823.00,672.00,723.00,638.00,741.00,647.00,1287.00
"Levy, Ilan",1953.00,1906.00,1389.00,1765.00,1274.00,1630.00,1658.00,1597.00,1963.00,,1659.00,1502.00,2215.00,1841.00,1787.00,1977.00,1922.00,1301.00,1438.00,1541.00,2042.00,1723.00,1786.00,1644.00,1843.00,1408.00,2460.00
