"condorcet winner: Cheung, Leland","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Cheung, Leland",,6481.00,7015.00,7278.00,6944.00,8208.00,8535.00,8619.00,8111.00,8587.00,7307.00,7118.00,6823.00,8125.00,7281.00,7686.00,8477.00,7232.00,8853.00
"Davis, Henrietta",4591.00,,5734.00,6318.00,5956.00,7118.00,7340.00,7435.00,6894.00,7411.00,6055.00,5944.00,5424.00,6907.00,6193.00,6466.00,7276.00,6158.00,7663.00
"Decker, Marjorie C.",3991.00,4073.00,,5502.00,4926.00,6192.00,6378.00,6435.00,5999.00,6418.00,5090.00,5197.00,4610.00,6060.00,5169.00,5548.00,6288.00,5502.00,6687.00
"Kelley, Craig A.",3054.00,3354.00,3722.00,,3982.00,4862.00,5141.00,5219.00,4882.00,5199.00,4256.00,4000.00,3853.00,4791.00,4102.00,4532.00,5083.00,4210.00,5493.00
"Maher, David P.",4371.00,4619.00,4983.00,5443.00,,6492.00,6735.00,6781.00,6346.00,6784.00,5512.00,5410.00,5029.00,6379.00,5289.00,5938.00,6673.00,5894.00,7031.00
"Marquardt, Charles J.",1522.00,1909.00,2069.00,1903.00,1875.00,,2539.00,2646.00,2338.00,2582.00,2153.00,2072.00,2053.00,2292.00,1977.00,2118.00,2455.00,1979.00,2964.00
"Mello, Gary W.",861.00,1073.00,1096.00,1117.00,1055.00,1057.00,,1556.00,1338.00,1503.00,1206.00,1208.00,1109.00,1334.00,1120.00,1109.00,1370.00,1129.00,1923.00
"Moree, Gregg J.",615.00,739.00,757.00,775.00,720.00,721.00,748.00,,933.00,1031.00,823.00,843.00,750.00,952.00,787.00,748.00,954.00,809.00,1481.00
"Nelson, Matthew P.",1768.00,1971.00,2224.00,2276.00,2171.00,2426.00,2566.00,2658.00,,2831.00,2373.00,2222.00,2173.00,2600.00,2315.00,2256.00,2718.00,2198.00,3226.00
"Pascual, Jamake",659.00,751.00,755.00,858.00,802.00,874.00,892.00,988.00,849.00,,851.00,932.00,742.00,1065.00,888.00,844.00,1052.00,889.00,1548.00
"Reeves, Kenneth E.",3601.00,3952.00,4124.00,4752.00,4277.00,5508.00,5705.00,5795.00,5338.00,5775.00,,4681.00,3824.00,5461.00,4696.00,4979.00,5747.00,4882.00,6092.00
"Seidel, Sam",3168.00,3462.00,4106.00,4348.00,4048.00,5312.00,5595.00,5684.00,5159.00,5661.00,4380.00,,4173.00,5268.00,4725.00,4891.00,5642.00,4560.00,6005.00
"Simmons, E. Denise",4579.00,4658.00,5123.00,5891.00,5464.00,6679.00,6939.00,7013.00,6444.00,6990.00,5338.00,5461.00,,6652.00,5966.00,6077.00,6965.00,5939.00,7279.00
"Stohlman, Jr., Thomas J.",1498.00,1870.00,2154.00,2021.00,2029.00,2246.00,2463.00,2580.00,2286.00,2531.00,2130.00,1976.00,2007.00,,2261.00,2206.00,2599.00,1852.00,3044.00
"Toomey, Jr., Timothy J.",4040.00,4429.00,4587.00,4973.00,4015.00,5491.00,5760.00,5824.00,5376.00,5801.00,4511.00,4673.00,4199.00,5433.00,,5189.00,5810.00,5150.00,6125.00
"Ward, Larry W.",3030.00,3280.00,3632.00,3738.00,3456.00,4191.00,4411.00,4502.00,3979.00,4436.00,3522.00,3511.00,3139.00,4088.00,3653.00,,4475.00,3488.00,4871.00
"Williamson, James M.",924.00,1034.00,1088.00,1113.00,1094.00,1205.00,1301.00,1370.00,1205.00,1307.00,1093.00,1080.00,973.00,1147.00,1061.00,918.00,,948.00,1834.00
"vanBeuzekom, Minka Y.",3016.00,3402.00,3920.00,3927.00,4008.00,4540.00,4774.00,4878.00,4450.00,4802.00,4133.00,3755.00,3752.00,4371.00,4243.00,4272.00,4831.00,,5255.00
writeIns,83.00,98.00,99.00,98.00,90.00,103.00,105.00,105.00,100.00,104.00,98.00,97.00,96.00,105.00,85.00,93.00,104.00,93.00,
