"condorcet winner: Simmons, E. Denise","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Benzan, Dennis A.",,5852.00,4899.00,6107.00,6863.00,6067.00,6893.00,6121.00,6894.00,5301.00,6787.00,4884.00,6730.00,5316.00,4656.00,6815.00,6836.00,6867.00,4036.00,5386.00,6366.00,6798.00,5746.00,7123.00
"Carlone, Dennis J.",4721.00,,4793.00,4779.00,6110.00,5230.00,6129.00,4658.00,6162.00,4876.00,5990.00,4939.00,6040.00,4072.00,4767.00,6042.00,6096.00,6104.00,4514.00,5131.00,5475.00,6006.00,5042.00,6383.00
"Cheung, Leland",5744.00,6398.00,,6935.00,7749.00,6800.00,7782.00,6777.00,7796.00,5955.00,7656.00,5828.00,7590.00,5985.00,5598.00,7695.00,7740.00,7756.00,5200.00,6322.00,7207.00,7688.00,6419.00,7989.00
"Connolly, Mike",4542.00,3594.00,4352.00,,5417.00,4496.00,5440.00,4000.00,5453.00,4597.00,5302.00,4729.00,5350.00,3564.00,4462.00,5330.00,5364.00,5388.00,4323.00,4739.00,4734.00,5307.00,4389.00,5717.00
"Courtney, Kim",1041.00,1004.00,885.00,919.00,,1148.00,1460.00,1106.00,1422.00,1098.00,1333.00,1080.00,1347.00,877.00,1089.00,1329.00,1356.00,1396.00,903.00,1103.00,1149.00,1290.00,959.00,1710.00
"Davidson, Mariko",4059.00,3761.00,3688.00,3634.00,4653.00,,4935.00,3962.00,4933.00,4036.00,4770.00,4250.00,4901.00,2936.00,3890.00,4827.00,4893.00,4886.00,3813.00,4411.00,4238.00,4822.00,3805.00,5212.00
"Degoes, Jr., Plinio T.",792.00,742.00,685.00,649.00,870.00,618.00,,853.00,1144.00,860.00,1066.00,864.00,1124.00,627.00,836.00,1064.00,1080.00,1103.00,725.00,896.00,841.00,1032.00,749.00,1443.00
"Devereux, Jan",4825.00,3837.00,4453.00,4013.00,5310.00,4464.00,5392.00,,5569.00,4654.00,5459.00,4790.00,5508.00,3833.00,4655.00,5497.00,5550.00,5552.00,4560.00,5129.00,4884.00,5486.00,4515.00,5862.00
"Dietrich, Xavier",681.00,648.00,611.00,626.00,610.00,644.00,799.00,626.00,,770.00,944.00,722.00,965.00,600.00,748.00,900.00,947.00,959.00,626.00,759.00,790.00,884.00,698.00,1272.00
"Kelley, Craig A.",4822.00,5306.00,4318.00,5649.00,6483.00,5728.00,6514.00,5667.00,6516.00,,6510.00,4732.00,6460.00,5168.00,4608.00,6548.00,6572.00,6592.00,4394.00,5282.00,6150.00,6556.00,5487.00,6810.00
"Levy, Ilan S.",1299.00,1124.00,1195.00,1057.00,1470.00,1144.00,1476.00,1082.00,1476.00,1236.00,,1371.00,1661.00,1024.00,1341.00,1586.00,1651.00,1659.00,1210.00,1358.00,1337.00,1547.00,1224.00,1957.00
"Maher, David P.",5380.00,6200.00,4885.00,6540.00,7139.00,6527.00,7194.00,6413.00,7188.00,5378.00,7099.00,,7075.00,5991.00,5282.00,7214.00,7225.00,7261.00,4898.00,5694.00,6911.00,7212.00,6237.00,7447.00
"Mahoney, Jr., Paul F.",1288.00,1441.00,1242.00,1381.00,1628.00,1469.00,1650.00,1426.00,1630.00,1285.00,1560.00,1006.00,,1444.00,1341.00,1736.00,1743.00,1778.00,1230.00,1194.00,1606.00,1719.00,1475.00,2042.00
"Mazen, Nadeem A.",6775.00,6035.00,6394.00,6439.00,8047.00,6899.00,8078.00,6343.00,8109.00,6639.00,7921.00,6809.00,7998.00,,6878.00,8140.00,8155.00,8220.00,6409.00,7356.00,7598.00,8124.00,6971.00,8371.00
