"condorcet winner: Davis, Henrietta","Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",writeIns
"Adkins, Lawrence J.",,1926.00,1424.00,1422.00,1442.00,1594.00,1781.00,1823.00,1785.00,1491.00,1838.00,1602.00,1484.00,1302.00,1462.00,1173.00,1350.00,1512.00,2298.00
"Condit, James E., III",773.00,,744.00,767.00,721.00,879.00,954.00,976.00,913.00,836.00,1015.00,777.00,762.00,748.00,788.00,688.00,663.00,730.00,1473.00
"Davis, Henrietta",7267.00,7544.00,,5118.00,5998.00,6840.00,7488.00,7567.00,7509.00,6453.00,7493.00,6499.00,5577.00,5973.00,6154.00,5324.00,5955.00,6496.00,7845.00
"Decker, Marjorie C.",7483.00,7751.00,5098.00,,6176.00,7111.00,7735.00,7793.00,7756.00,6690.00,7711.00,6706.00,6044.00,6284.00,6499.00,5641.00,6045.00,6631.00,8079.00
"Galluccio, Anthony D.",7501.00,7737.00,5933.00,5734.00,,7323.00,7673.00,7772.00,7681.00,6914.00,7747.00,6314.00,6469.00,6346.00,6837.00,6142.00,5490.00,6179.00,8048.00
"Gordon, Jesse A.",3248.00,3376.00,2216.00,2187.00,2752.00,,3410.00,3451.00,3417.00,2781.00,3434.00,2995.00,2461.00,2859.00,2609.00,2436.00,2829.00,3076.00,3865.00
"Green, Andre Lerone",1432.00,1520.00,1093.00,1118.00,1091.00,1175.00,,1597.00,1530.00,1333.00,1614.00,1315.00,1258.00,1202.00,1311.00,1131.00,1143.00,1262.00,2018.00
"Hall, Robert Lee, Sr.",1142.00,1226.00,875.00,865.00,769.00,947.00,1004.00,,1255.00,1099.00,1305.00,1025.00,1014.00,885.00,1109.00,830.00,823.00,974.00,1725.00
"Hees, Bill",1331.00,1377.00,1024.00,1031.00,974.00,1100.00,1141.00,1245.00,,1241.00,1466.00,1160.00,1142.00,1148.00,1228.00,1089.00,1016.00,1158.00,1870.00
"Kelley, Craig A.",3993.00,4144.00,2978.00,3051.00,3275.00,3486.00,3942.00,4016.00,3929.00,,4165.00,3605.00,3214.00,3592.00,3170.00,3218.00,3416.00,3734.00,4575.00
"LaTremouille, Robert J.",1252.00,1349.00,915.00,896.00,938.00,1058.00,1210.00,1244.00,1187.00,983.00,,1162.00,1056.00,1063.00,1145.00,967.00,960.00,1095.00,1822.00
"Maher, David P.",5732.00,5927.00,4023.00,4072.00,3456.00,5418.00,5785.00,5892.00,5771.00,5054.00,5807.00,,4520.00,4812.00,5042.00,4450.00,3718.00,4511.00,6253.00
"Murphy, Brian",6206.00,6384.00,4123.00,4138.00,4650.00,5634.00,6264.00,6351.00,6279.00,5325.00,6281.00,4895.00,,5248.00,5208.00,4665.00,4810.00,5366.00,6687.00
"Reeves, Kenneth E.",5999.00,6219.00,4322.00,4054.00,4464.00,5482.00,6079.00,6176.00,6127.00,5438.00,6142.00,5034.00,4634.00,,5348.00,4161.00,4689.00,5183.00,6498.00
"Seidel, Sam",4290.00,4442.00,3074.00,3205.00,3692.00,3697.00,4291.00,4364.00,4295.00,3572.00,4308.00,3842.00,3107.00,3727.00,,3352.00,3815.00,4080.00,4837.00
"Simmons, Denise",7090.00,7359.00,4840.00,4739.00,5664.00,6556.00,7218.00,7310.00,7269.00,6276.00,7236.00,6169.00,5409.00,5405.00,5970.00,,5956.00,6485.00,7616.00
"Sullivan, Michael A.",7375.00,7563.00,5856.00,5752.00,4818.00,7095.00,7404.00,7503.00,7395.00,6669.00,7458.00,5825.00,6102.00,6044.00,6647.00,5717.00,,6013.00,7817.00
"Toomey, Timothy J., Jr.",5508.00,5673.00,4501.00,4389.00,3574.00,5320.00,5536.00,5609.00,5545.00,5150.00,5585.00,4199.00,4629.00,4403.00,5128.00,4256.00,3225.00,,5929.00
writeIns,98.00,106.00,82.00,70.00,75.00,80.00,94.00,100.00,99.00,80.00,96.00,92.00,82.00,82.00,79.00,68.00,81.00,89.00,
