"condorcet winner: Cheung, Leland","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"Benzan, Dennis A.",,55.49,32.37,60.72,48.07,82.22,78.57,45.15,53.32,45.89,84.92,76.74,91.02,88.43,80.04,49.08,49.68,39.60,60.87,48.12,72.13,61.09,86.28,82.56,43.30,98.45
"Carlone, Dennis J.",44.51,,28.72,59.13,42.83,78.73,75.38,40.41,49.24,42.45,82.90,73.59,88.35,86.02,76.85,44.13,45.68,36.81,56.12,42.89,65.94,58.19,83.83,79.85,39.63,98.01
"Cheung, Leland",67.63,71.28,,79.05,70.26,92.45,89.57,67.15,70.59,66.57,93.15,88.58,95.88,94.58,91.46,70.45,72.09,61.88,78.61,67.61,84.39,80.09,93.11,91.93,65.90,99.23
"House, Janneke Ann",39.28,40.87,20.95,,37.33,76.03,72.95,35.85,40.80,35.67,79.59,69.99,86.52,83.63,74.32,39.61,39.24,30.74,50.01,38.64,61.38,52.31,80.15,76.90,32.92,97.75
"Kelley, Craig A.",51.93,57.17,29.74,62.67,,83.92,80.83,47.39,55.27,48.54,86.87,78.65,92.11,89.29,82.93,51.34,53.35,42.39,63.30,49.42,72.56,65.58,87.74,84.80,46.90,98.49
"Lee, James",17.78,21.27,7.55,23.97,16.08,,50.26,16.58,20.93,17.16,59.44,45.22,72.65,65.57,50.48,18.35,18.91,13.00,26.53,17.25,34.89,26.97,59.97,54.30,14.65,94.86
"Leslie, Logan Edward",21.43,24.62,10.43,27.05,19.17,49.74,,18.01,23.78,20.14,61.96,46.94,73.37,67.32,52.50,21.47,21.31,15.87,29.52,20.07,38.22,29.97,61.52,55.98,17.82,95.52
"Maher, David P.",54.85,59.59,32.85,64.15,52.61,83.42,81.99,,57.39,52.79,88.06,79.73,93.36,90.52,84.80,55.59,56.55,45.61,65.54,55.52,74.55,67.14,88.43,85.77,49.75,98.58
"Mazen, Nadeem A.",46.68,50.76,29.41,59.20,44.73,79.07,76.22,42.61,,44.81,85.67,78.71,90.66,89.02,81.23,47.60,48.81,39.08,59.76,46.51,71.67,61.29,86.53,83.63,42.17,98.34
"McGovern, Marc C.",54.11,57.55,33.43,64.33,51.46,82.84,79.86,47.21,55.19,,87.75,80.28,92.76,90.08,83.89,54.35,56.55,45.41,66.16,52.31,74.69,67.41,88.14,85.35,48.25,98.70
"Mello, Gary W.",15.08,17.10,6.85,20.41,13.13,40.56,38.04,11.94,14.33,12.25,,38.43,66.95,59.82,43.69,15.32,15.84,10.86,22.46,13.76,30.24,22.82,53.66,47.79,12.14,93.74
"Mirza, Mushtaque A.",23.26,26.41,11.42,30.01,21.35,54.78,53.06,20.27,21.29,19.72,61.57,,78.45,71.84,57.71,23.45,23.21,16.91,31.88,23.18,41.88,32.44,67.34,61.58,18.06,95.96
"Moree, Gregg J.",8.98,11.65,4.12,13.48,7.89,27.35,26.63,6.64,9.34,7.24,33.05,21.55,,47.48,31.65,9.69,10.05,6.75,15.08,8.40,20.02,14.55,41.03,34.28,7.74,91.26
