"condorcet winner: Siddiqui, Sumbul","Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.",writeIns
"Benjamin, Ronald",,46.18,14.19,35.27,11.60,20.58,20.78,18.02,71.30,47.61,14.61,11.06,68.55,23.50,25.06,47.77,38.03,8.99,8.01,15.22,56.83,17.54,22.43,18.27,35.57,14.20,90.61
"Burgin, Josh M.",53.82,,17.28,41.23,14.53,25.59,26.79,21.74,76.69,53.93,17.89,13.53,74.42,28.46,31.24,54.05,45.18,12.21,11.65,19.70,64.02,21.48,27.14,22.43,42.57,17.67,92.47
"Carlone, Dennis J.",85.81,82.72,,80.84,42.63,64.08,64.67,60.23,94.21,86.22,52.88,43.84,93.67,68.06,70.79,86.79,83.49,37.79,39.48,56.29,91.26,59.47,66.37,59.01,80.71,50.49,98.50
"D'Ambrosio, Olivia",64.73,58.77,19.16,,15.91,34.21,36.06,29.87,83.47,64.59,24.31,18.69,81.28,36.98,39.90,65.46,55.94,13.15,16.45,24.35,73.80,29.88,37.44,31.49,53.20,20.96,94.67
"Devereux, Jan",88.40,85.47,57.37,84.09,,68.91,68.99,65.80,95.24,88.81,58.73,50.99,94.73,73.75,76.07,89.69,86.38,43.87,45.57,63.41,92.64,64.77,70.63,64.28,85.00,57.60,98.72
"Gebru, Samuel",79.42,74.41,35.92,65.79,31.09,,53.08,46.34,90.45,78.05,37.49,28.93,89.49,54.03,58.81,80.65,71.86,26.04,26.90,40.83,84.62,45.12,55.51,48.99,70.58,37.60,97.25
"Harding, Jr., Richard",79.22,73.21,35.33,63.94,31.01,46.92,,44.59,90.57,77.18,37.80,30.16,90.02,53.27,57.05,77.96,71.13,26.56,24.45,40.14,83.50,44.30,51.95,45.96,68.55,37.45,96.94
"Kelley, Craig A.",81.98,78.26,39.77,70.13,34.20,53.66,55.41,,92.58,80.80,43.41,34.04,92.35,58.52,62.61,81.97,75.91,31.91,30.21,46.26,87.65,50.25,59.68,51.48,74.14,42.64,97.86
"Lenke, Dan",28.70,23.31,5.79,16.53,4.76,9.55,9.43,7.42,,31.51,8.12,5.59,54.89,13.38,14.09,30.42,23.09,4.84,4.25,8.17,38.39,9.20,12.35,9.10,20.54,7.27,85.12
"Levy, Ilan",52.39,46.07,13.78,35.41,11.19,21.95,22.82,19.20,68.49,,17.25,12.71,75.11,27.44,29.28,53.26,43.67,10.31,11.30,17.31,63.55,21.12,26.28,20.89,40.46,14.97,92.03
"Mallon, Alanna M.",85.39,82.11,47.12,75.69,41.27,62.51,62.20,56.59,91.88,82.75,,40.62,93.54,67.97,69.74,86.59,79.78,37.52,37.40,52.81,90.02,58.27,66.87,58.82,81.01,49.15,98.25
"McGovern, Marc C.",88.94,86.47,56.16,81.31,49.01,71.07,69.84,65.96,94.41,87.29,59.38,,95.44,76.01,75.45,89.62,85.47,46.34,46.65,61.17,92.98,68.52,73.51,67.71,84.26,57.10,98.72
"Moree, Gregg J.",31.45,25.58,6.33,18.72,5.27,10.51,9.98,7.65,45.11,24.89,6.46,4.56,,13.80,15.44,32.63,24.80,5.33,4.33,8.95,41.08,9.92,12.85,9.47,22.39,7.97,85.08
"Musgrave, Adriane B.",76.50,71.54,31.94,63.02,26.25,45.97,46.73,41.48,86.62,72.56,32.03,23.99,86.20,,55.55,78.05,69.16,24.03,23.59,37.39,84.28,43.53,51.57,44.88,68.59,33.96,97.01
"Okamoto, Nadya T.",74.94,68.76,29.21,60.10,23.93,41.19,42.95,37.39,85.91,70.72,30.26,24.55,84.56,44.45,,77.07,66.50,19.78,21.99,32.89,82.36,39.28,46.70,40.71,66.24,30.09,96.43
"Pillai, Hari I.",52.23,45.95,13.21,34.54,10.31,19.35,22.04,18.03,69.58,46.74,13.41,10.38,67.37,21.95,22.93,,41.91,8.63,9.21,15.86,63.42,19.75,25.70,20.86,39.36,14.15,91.67
"Santos, Jeff",61.97,54.82,16.51,44.06,13.62,28.14,28.87,24.09,76.91,56.33,20.22,14.53,75.20,30.84,33.50,58.09,,11.81,13.72,20.41,71.87,25.96,32.69,25.95,49.23,18.58,93.44
"Siddiqui, Sumbul",91.01,87.79,62.21,86.85,56.13,73.96,73.44,68.09,95.16,89.69,62.48,53.66,94.67,75.97,80.22,91.37,88.19,,51.81,74.57,94.33,69.98,75.27,68.43,88.97,65.60,98.96
"Simmons, E. Denise",91.99,88.35,60.52,83.55,54.43,73.10,75.55,69.79,95.75,88.70,62.60,53.35,95.67,76.41,78.01,90.79,86.28,48.19,,63.79,94.32,70.11,76.08,73.68,86.62,59.97,98.97
"Sivongxay, Vatsady",84.78,80.30,43.71,75.65,36.59,59.17,59.86,53.74,91.83,82.69,47.19,38.83,91.05,62.61,67.11,84.14,79.59,25.43,36.21,,90.20,55.55,62.70,55.83,80.31,45.00,98.06
"Sutton, Bryan",43.17,35.98,8.74,26.20,7.36,15.38,16.50,12.35,61.61,36.45,9.98,7.02,58.92,15.72,17.64,36.58,28.13,5.67,5.68,9.80,,14.11,18.84,14.29,31.00,10.40,88.15
"Tierney, Sean",82.46,78.52,40.53,70.12,35.23,54.88,55.70,49.75,90.80,78.88,41.73,31.48,90.08,56.47,60.72,80.25,74.04,30.02,29.89,44.45,85.89,,60.50,52.38,74.54,42.65,97.73
