"condorcet winner: Cheung, Leland","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"Benzan, Dennis A.",,4581.00,3865.00,4742.00,4501.00,5194.00,5243.00,4484.00,4537.00,4178.00,5267.00,5147.00,5369.00,5295.00,5168.00,4413.00,4438.00,3981.00,4677.00,4555.00,4871.00,4725.00,5219.00,5137.00,4191.00,5582.00
"Carlone, Dennis J.",3674.00,,3300.00,3893.00,3609.00,4382.00,4364.00,3907.00,3627.00,3761.00,4372.00,4320.00,4476.00,4442.00,4346.00,4016.00,3726.00,3721.00,3922.00,3980.00,4149.00,3963.00,4324.00,4277.00,3395.00,4728.00
"Cheung, Leland",8074.00,8189.00,,8665.00,7996.00,9287.00,9200.00,7942.00,8191.00,7874.00,9345.00,9206.00,9437.00,9394.00,9282.00,8132.00,8153.00,7504.00,8529.00,8082.00,8982.00,8633.00,9321.00,9267.00,7627.00,9585.00
"House, Janneke Ann",3068.00,2691.00,2296.00,,3032.00,3758.00,3765.00,3269.00,2831.00,2996.00,3802.00,3720.00,3891.00,3851.00,3685.00,3339.00,3053.00,2945.00,3221.00,3359.00,3520.00,3198.00,3728.00,3658.00,2755.00,4124.00
"Kelley, Craig A.",4863.00,4817.00,3384.00,5091.00,,5758.00,5713.00,4600.00,4957.00,4679.00,5767.00,5660.00,5876.00,5847.00,5734.00,4843.00,4817.00,4423.00,5178.00,4687.00,5490.00,5211.00,5769.00,5683.00,4373.00,6070.00
"Lee, James",1123.00,1184.00,758.00,1185.00,1103.00,,1540.00,1248.00,1251.00,1223.00,1542.00,1466.00,1644.00,1598.00,1478.00,1237.00,1228.00,1077.00,1307.00,1184.00,1314.00,1276.00,1498.00,1452.00,1083.00,1884.00
"Leslie, Logan Edward",1430.00,1425.00,1071.00,1396.00,1355.00,1524.00,,1365.00,1491.00,1488.00,1723.00,1656.00,1783.00,1751.00,1662.00,1493.00,1446.00,1363.00,1526.00,1403.00,1554.00,1491.00,1680.00,1643.00,1368.00,2048.00
"Maher, David P.",5447.00,5762.00,3886.00,5850.00,5106.00,6281.00,6213.00,,5849.00,5278.00,6452.00,6298.00,6512.00,6484.00,6358.00,5260.00,5456.00,4856.00,5823.00,5009.00,6136.00,5937.00,6430.00,6360.00,5243.00,6683.00
"Mazen, Nadeem A.",3972.00,3739.00,3412.00,4108.00,4011.00,4726.00,4779.00,4343.00,,4138.00,4932.00,4703.00,5026.00,4979.00,4874.00,4428.00,4264.00,4043.00,4393.00,4501.00,4611.00,4413.00,4896.00,4812.00,3784.00,5212.00
"McGovern, Marc C.",4926.00,5099.00,3954.00,5403.00,4960.00,5904.00,5899.00,4720.00,5097.00,,6067.00,5943.00,6149.00,6112.00,6005.00,5259.00,5120.00,4770.00,5425.00,5203.00,5771.00,5522.00,6026.00,5982.00,4826.00,6364.00
"Mello, Gary W.",935.00,902.00,687.00,975.00,872.00,1052.00,1058.00,875.00,825.00,847.00,,1144.00,1274.00,1249.00,1152.00,1007.00,1007.00,889.00,1069.00,913.00,1079.00,1038.00,1165.00,1147.00,879.00,1542.00
"Mirza, Mushtaque A.",1560.00,1550.00,1187.00,1595.00,1536.00,1776.00,1872.00,1601.00,1272.00,1460.00,1833.00,,2060.00,1990.00,1875.00,1657.00,1574.00,1445.00,1669.00,1689.00,1711.00,1633.00,1932.00,1867.00,1371.00,2281.00
"Moree, Gregg J.",530.00,590.00,405.00,606.00,503.00,619.00,647.00,463.00,518.00,480.00,629.00,566.00,,792.00,714.00,604.00,611.00,532.00,669.00,530.00,647.00,615.00,743.00,691.00,544.00,1097.00
