Ballots with first choice:,Number of Ballots,"% of votes to Simmons, Denise","% of votes to Galluccio, Anthony D.","% of votes to Murphy, Brian","% of votes to Davis, Henrietta","% of votes to Reeves, Kenneth E.","% of votes to Toomey, Timothy J., Jr.","% of votes to Maher, David P.","% of votes to Sullivan, Michael A.","% of votes to Decker, Marjorie C.",% of votes to exhaust,percent_sum
"Bellew, Carole K.",735.0,16.46,0.0,16.46,0.0,5.99,6.53,12.38,5.99,14.56,21.63,99.99999999999999
"Davis, Henrietta",1846.0,0.05,0.0,0.22,99.4,0.11,0.0,0.05,0.0,0.16,0.0,100.0
"DeBergalis, Matt S.",1206.0,15.51,0.0,0.0,0.0,13.93,0.0,13.02,0.0,0.0,57.55,99.99999999999999
"Decker, Marjorie C.",1378.0,1.16,0.0,0.8,0.0,0.65,0.73,0.51,0.0,96.15,0.0,99.99999999999999
"Dixon, Vincent Lawrence",64.0,18.75,0.0,6.25,4.69,6.25,6.25,12.5,7.81,6.25,31.25,100.0
"Galluccio, Anthony D.",2994.0,1.8,67.1,1.44,1.7,3.24,5.21,8.85,8.15,1.67,0.84,99.99999999999999
"Greenwood, Dan J.",39.0,5.13,0.0,10.26,7.69,15.38,5.13,12.82,2.56,2.56,38.46,99.99999999999997
"Hall, Robert L., Sr.",96.0,15.62,0.0,6.25,6.25,7.29,5.21,12.5,6.25,6.25,34.38,100.0
"Kelley, Craig A.",992.0,11.09,0.0,16.23,0.0,7.86,6.65,14.42,0.0,16.63,27.12,100.0
"King, Ethridge A., Jr.",361.0,9.97,0.0,7.48,7.2,10.25,4.43,17.17,8.86,5.54,29.09,99.99999999999999
"LaTremouille, Robert J.",126.0,12.7,0.0,8.73,11.11,11.9,4.76,3.17,3.17,10.32,34.13,100.0
"Maher, David P.",1190.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"Murphy, Brian",1362.0,0.73,0.0,97.36,0.0,0.73,0.15,0.88,0.0,0.0,0.15,100.0
"Pitkin, John",1010.0,13.17,0.0,22.57,0.0,6.04,5.15,10.0,0.0,23.86,19.21,99.99999999999999
"Reeves, Kenneth E.",1525.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
"Simmons, Denise",1181.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Smith, Aimee Louise",480.0,28.96,0.0,8.75,8.33,9.38,3.54,3.12,4.17,10.62,23.12,99.99999999999999
"Sullivan, Michael A.",1656.0,0.06,0.0,0.0,0.0,0.06,0.54,0.06,99.21,0.0,0.06,100.0
"Taymorberry, Laurie",188.0,16.49,0.0,10.11,14.89,7.45,6.38,3.19,4.26,11.17,26.06,100.0
"Toomey, Timothy J., Jr.",1613.0,0.06,0.0,0.0,0.0,0.06,99.38,0.5,0.0,0.0,0.0,99.99999999999999
writeIns,38.0,2.63,0.0,5.26,7.89,10.53,2.63,2.63,5.26,5.26,57.89,99.99999999999999
