Ballots with first choice:,Number of Ballots,% of votes to Meg Forney,% of votes to Latrisha Vetaw,% of votes to Londel French,% of votes to exhaust,percent_sum
Bob Sullentrop,1659.0,13.78,8.13,5.77,72.32,100.0
Charlie Casserly,3756.0,20.38,6.54,7.52,65.56,100.0
Devin Hogan,6246.0,11.27,23.4,32.29,33.04,100.0
Jonathan Honerbrink,2617.0,15.79,10.55,7.28,66.38,99.99999999999999
Latrisha Vetaw,18526.0,0.0,92.38,3.02,4.61,99.99999999999999
Londel French,12405.0,0.0,0.0,100.0,0.0,100.0
Meg Forney,19010.0,93.7,0.0,0.98,5.32,100.0
Mike Derus,10679.0,0.0,0.0,10.64,89.36,100.0
Russ Henry,9056.0,12.63,20.38,35.97,31.01,100.0
Scott Vreeland,3.0,93.7,0.0,0.0,6.3,100.0
writeIns,390.0,4.56,2.37,1.08,91.99,99.99999999999999
