Ballots with first choice:,Number of Ballots,"% of votes to Simmons, E. Denise","% of votes to vanBeuzekom, Minka Y.","% of votes to Kelley, Craig A.","% of votes to Davis, Henrietta","% of votes to Maher, David P.","% of votes to Toomey, Jr., Timothy J.","% of votes to Cheung, Leland","% of votes to Reeves, Kenneth E.","% of votes to Decker, Marjorie C.",% of votes to exhaust,percent_sum
"Cheung, Leland",2017.0,2.23,3.87,2.88,4.12,1.44,1.14,78.58,1.59,2.97,1.19,99.99999999999999
"Davis, Henrietta",1436.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Decker, Marjorie C.",1123.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.18,99.64,0.09,99.99999999999999
"Kelley, Craig A.",1098.0,0.0,0.55,98.63,0.0,0.0,0.0,0.0,0.55,0.18,0.09,100.0
"Maher, David P.",1686.0,1.13,0.53,1.25,1.66,90.39,0.0,0.0,1.66,2.19,1.19,100.00000000000001
"Marquardt, Charles J.",501.0,5.59,17.76,25.95,0.0,0.0,0.0,0.0,6.79,7.58,36.33,100.0
"Mello, Gary W.",135.0,5.19,22.22,12.59,2.96,0.0,0.0,0.0,12.59,7.41,37.04,100.0
"Moree, Gregg J.",56.0,8.93,19.64,7.14,5.36,0.0,0.0,0.0,12.5,5.36,41.07,99.99999999999999
"Nelson, Matthew P.",542.0,12.92,18.27,7.75,0.0,0.0,0.0,0.0,15.5,14.76,30.81,100.0
"Pascual, Jamake",63.0,12.7,25.4,14.29,3.17,0.0,0.0,0.0,6.35,6.35,31.75,100.0
"Reeves, Kenneth E.",1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
"Seidel, Sam",788.0,14.97,18.91,15.99,0.0,0.0,0.0,0.0,10.15,17.39,22.59,99.99999999999999
"Simmons, E. Denise",1266.0,95.97,0.63,0.55,0.0,0.0,0.0,0.0,1.74,0.95,0.16,100.0
"Stohlman, Jr., Thomas J.",344.0,8.72,29.94,17.15,0.0,0.0,0.0,0.0,7.56,14.24,22.38,100.0
"Toomey, Jr., Timothy J.",1705.0,1.23,0.35,0.94,0.59,1.88,91.61,0.0,0.88,1.29,1.23,99.99999999999999
"Ward, Larry W.",835.0,0.0,20.24,0.0,0.0,0.0,0.0,0.0,34.25,0.0,45.51,100.0
"Williamson, James M.",175.0,10.86,32.0,6.86,10.29,0.0,0.0,0.0,12.0,6.29,21.71,100.0
"vanBeuzekom, Minka Y.",1038.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
writeIns,24.0,0.0,12.5,4.17,4.17,0.0,0.0,0.0,4.17,4.17,70.83,99.99999999999999
