contest_name,place,state,year,date,office,rcv_type,exhaust_on_overvote,exhaust_on_repeated_skipped_rankings,contest_rank_limit,number_of_winners,tabulation_num,winner,unique_id,win_threshold,number_of_candidates,number_of_rounds,winners_consensus_value,total_ballots,first_round_active_votes,final_round_active_votes,total_fully_ranked,ranked_single,ranked_multiple,ranked_3_or_more,total_undervote,first_round_overvote,total_ballots_with_overvote,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit,includes_duplicate_ranking,includes_skipped_ranking,total_irregular
Minneapolis Park At Large 2009,Minneapolis,MN,2009,11/6/2009,Minneapolis Park & Rec Board,stv_fractional_ballot,False,False,3,3,1,"Bob Fine, John Erwin, Annie Young",Minneapolis_11062009_MinneapolisParkRecBoard_tab1,9164.0,8,8,81.45682717228209,45968.0,36655.0,29073.124343445168,19629.0,12281.0,24374.0,19629.0,9313.0,0.0,0.0,0.0,7581.875656554828,0.0,0.0,6140.552363597384,1441.3232929574444,64.0,0.0,64.0
Cambridge City Council 2011,Cambridge,MA,2011,11/8/2011,City Council,stv_whole_ballot,False,False,18,9,1,"Cheung, Leland, Toomey, Jr., Timothy J., Maher, David P., Davis, Henrietta, Simmons, E. Denise, Kelley, Craig A., Decker, Marjorie C., Vanbeuzekom, Minka Y., Reeves, Kenneth E.",Cambridge_11082011_CityCouncil_tab1,1585.0,18,18,95.79678131902809,15971.0,15845.0,14644.0,559.0,1492.0,14353.0,12926.0,82.0,61.0,96.0,44.0,1201.0,0.0,0.0,1201.0,0.0,0.0,455.0,528.0
Cambridge School Committee 2011,Cambridge,MA,2011,11/8/2011,School Committee,stv_whole_ballot,False,False,11,6,1,"Fantini, Alfred B., Nolan, Patricia M., Osborne, Mervan F., Turkel, Alice L., Harding, Jr., Richard, Mcgovern, Marc C.",Cambridge_11082011_SchoolCommittee_tab1,2185.0,11,11,95.40222367560497,15904.0,15290.0,13912.0,807.0,2497.0,12793.0,10761.0,577.0,47.0,72.0,37.0,1378.0,0.0,0.0,1378.0,0.0,0.0,295.0,350.0
Cambridge City Council 2013,Cambridge,MA,2013,11/5/2013,City Council,stv_whole_ballot,False,False,25,9,1,"Cheung, Leland, Maher, David P., Simmons, E. Denise, Toomey, Jr., Timothy J., Benzan, Dennis A., Carlone, Dennis J., Mazen, Nadeem A., Mcgovern, Marc C., Kelley, Craig A.",Cambridge_11052013_CityCouncil_tab1,1775.0,25,23,93.1691371244998,17846.0,17743.0,16412.0,452.0,1563.0,16180.0,14800.0,72.0,44.0,76.0,31.0,1331.0,0.0,0.0,1331.0,0.0,0.0,581.0,638.0
Cambridge School Committee 2013,Cambridge,MA,2013,11/5/2013,School Committee,stv_whole_ballot,False,False,9,6,1,"Nolan, Patricia M., Fantini, Alfred B., Harding, Jr., Richard, Kelly, Kathleen M., Cronin, Fran Albin, Osborne, Mervan F.",Cambridge_11052013_SchoolCommittee_tab1,2371.0,9,10,96.99252651880424,17720.0,16592.0,14752.0,1301.0,3205.0,13387.0,10947.0,1104.0,27.0,45.0,24.0,1840.0,0.0,0.0,1840.0,0.0,0.0,288.0,325.0
Minneapolis BOE 2013,Minneapolis,MN,2013,11/5/2013,Board of Estimate and Taxation,stv_fractional_ballot,False,False,3,2,1,"Carol J. Becker, David B Wheeler",Minneapolis_11052013_BoardofEstimateandTaxation_tab1,16286.0,4,1,92.15228738102549,80101.0,48855.0,48855.0,20106.0,14262.0,34593.0,20106.0,31186.0,97.0,131.0,60.0,0.0,0.0,0.0,0.0,0.0,1247.0,103.0,1466.0
Minneapolis Park At Large 2013,Minneapolis,MN,2013,11/5/2013,Park & Rec Board At Large,stv_fractional_ballot,False,False,3,3,1,"John Erwin, Meg Forney, Annie Young",Minneapolis_11052013_ParkRecBoardAtLarge_tab1,14866.0,10,10,79.49144846375057,80101.0,59463.0,42203.821890678635,35062.0,15220.0,44243.0,35062.0,20571.0,104.0,137.0,67.0,17259.17810932136,0.0,0.0,10767.220227092685,6491.957882228677,1212.0,237.0,1555.0
Cambridge City Council 2015,Cambridge,MA,2015,11/3/2015,City Council,stv_whole_ballot,False,False,23,9,1,"Mazen, Nadeem A., Simmons, E. Denise, Maher, David P., Devereux, Jan, Kelley, Craig A., Carlone, Dennis J., Cheung, Leland, Mcgovern, Marc C., Toomey, Jr., Timothy J.",Cambridge_11032015_CityCouncil_tab1,1786.0,23,22,94.9367088607595,17959.0,17854.0,16736.0,419.0,1310.0,16544.0,15212.0,57.0,69.0,120.0,48.0,1118.0,0.0,0.0,1118.0,0.0,0.0,554.0,640.0
Cambridge School Committee 2015,Cambridge,MA,2015,11/3/2015,School Committee,stv_whole_ballot,False,False,11,6,1,"Nolan, Patricia M., Fantini, Alfred B., Harding, Jr., Richard, Kelly, Kathleen M., Bowman, Manikka L., Dexter, Emily R.",Cambridge_11032015_SchoolCommittee_tab1,2400.0,11,11,92.97493600047628,17859.0,16797.0,14623.0,892.0,3010.0,13787.0,11444.0,1019.0,49.0,76.0,43.0,2174.0,0.0,0.0,2174.0,0.0,0.0,345.0,402.0
Cambridge City Council 2017,Cambridge,MA,2017,11/7/2017,City Council,stv_whole_ballot,False,False,26,9,1,"Simmons, E. Denise, Siddiqui, Sumbul, Mcgovern, Marc C., Devereux, Jan, Zondervan, Quinton Y., Mallon, Alanna M., Toomey, Jr., Timothy J., Carlone, Dennis J., Kelley, Craig A.",Cambridge_11072017_CityCouncil_tab1,2253.0,26,26,92.84762919552477,22596.0,22524.0,20002.0,564.0,1546.0,20978.0,19632.0,51.0,30.0,63.0,21.0,2522.0,0.0,0.0,2522.0,0.0,0.0,713.0,752.0
Cambridge School Committee 2017,Cambridge,MA,2017,11/7/2017,School Committee,stv_whole_ballot,False,False,12,6,1,"Nolan, Patricia M., Bowman, Manikka L., Dexter, Emily R., Fantini, Alfred B., Kelly, Kathleen M., Kimbrough, Laurance V.",Cambridge_11072017_SchoolCommittee_tab1,2959.0,12,12,91.9596291288391,22452.0,20708.0,18129.0,1056.0,3340.0,17368.0,15059.0,1723.0,30.0,43.0,21.0,2579.0,0.0,0.0,2579.0,0.0,0.0,400.0,431.0
Minneapolis BOE 2017,Minneapolis,MN,2017,11/7/2017,Board of Estimate and Taxation,stv_fractional_ballot,False,False,3,2,1,"Carol Becker, David B. Wheeler",Minneapolis_11072017_BoardofEstimateandTaxation_tab1,23232.0,3,2,98.36714781760266,105928.0,69694.0,60774.57926208915,2976.0,25376.0,44318.0,2976.0,36105.0,164.0,222.0,129.0,8919.420737910843,0.0,0.0,8919.420737910843,0.0,3373.0,166.0,3721.0
Minneapolis Park At Large 2017,Minneapolis,MN,2017,11/7/2017,Park Board At Large,stv_fractional_ballot,False,False,3,3,1,"Meg Forney, Latrisha Vetaw, Londel French",Minneapolis_11072017_ParkBoardAtLarge_tab1,21087.0,10,10,83.5251994736031,105928.0,84347.0,62308.037841050245,53401.0,18848.0,65499.0,53401.0,21510.0,130.0,178.0,71.0,22038.96215894975,0.0,0.0,10788.35986806024,11250.602290889512,1764.0,169.0,2079.0
Eastpointe City Council 2019,Eastpointe,MI,2019,11/5/2019,City Council,stv_fractional_ballot,True,True,4,2,1,"Sarah A. Lucido, Harvey Curley",Eastpointe_11052019_CityCouncil_tab1,1669.0,4,2,93.08553157474022,5145.0,5004.0,4976.295736643281,2517.0,831.0,4184.0,2878.0,118.0,21.0,42.0,23.0,27.704263356718833,0.5957906098219103,0.29789530491095517,26.810577441985966,0.0,359.0,23.0,414.0
Payson City Council 2019,Payson,UT,2019,11/5/2019,City Council,sequential_rcv,True,False,5,3,1; 2; 3,Doug Welton; Brian V. Hulet; Linda Carter,Payson_11052019_CityCouncil_tab1; Payson_11052019_CityCouncil_tab2; Payson_11052019_CityCouncil_tab3,NA; NA; NA,5,4; 4; 1,81.23364485981308; 72.16927182615326; 68.45238095238095,2764.0,2675.0; 2623.0; 2520.0,2569.0; 2558.0; 2520.0,1924.0,145.0,2532.0,2370.0,87.0,2.0,3.0,2.0; 54.0; 157.0,106.0; 65.0; 0.0,0.0; 0.0; 0.0,0.0; 0.0; 0.0,106.0; 65.0; 0.0,0.0; 0.0; 0.0,38.0,22.0,63.0
Vineyard City Council 2019,Vineyard,UT,2019,11/5/2019,City Council,sequential_rcv,True,False,7,2,1; 2,Cristy Welsh; G. Tyce Flake,Vineyard_11052019_CityCouncil_tab1; Vineyard_11052019_CityCouncil_tab2,NA; NA,7,6; 6,71.44168962350781; 66.41580432737535,1112.0,1089.0; 1063.0,1045.0; 1002.0,637.0,64.0,1025.0,942.0,23.0,0.0,3.0,0.0; 26.0,44.0; 61.0,0.0; 0.0,0.0; 0.0,44.0; 61.0,0.0; 0.0,17.0,19.0,38.0
Cambridge City Council 2019,Cambridge,MA,2019,11/15/2019,City Council,stv_whole_ballot,False,False,15,9,1,"Siddiqui, Sumbul, Simmons, E. Denise, Nolan, Patricia M., Mallon, Alanna M., Mcgovern, Marc C., Zondervan, Quinton Y., Sobrinho-Wheeler, Jivan, Carlone, Dennis J., Toomey, Jr., Timothy J.",Cambridge_11152019_CityCouncil_tab1,2124.0,22,20,95.44705494608974,21324.0,21239.0,20075.0,1306.0,1228.0,20011.0,18964.0,52.0,63.0,134.0,33.0,1164.0,0.0,0.0,1149.0,15.0,97.0,523.0,693.0
Cambridge School Committee 2019,Cambridge,MA,2019,11/15/2019,School Committee,stv_whole_ballot,False,False,11,6,1,"Dexter, Emily R., Bowman, Mannika L., Fantini, Alfred B., Wilson, Ayesha, Weinstain, Rachel, Rojas Villareal, Jose Luis",Cambridge_11152019_SchoolCommittee_tab1,2776.0,11,10,95.27413127413128,21137.0,19425.0,16735.0,1322.0,2530.0,16895.0,14752.0,1669.0,65.0,99.0,43.0,2690.0,0.0,0.0,2690.0,0.0,58.0,407.0,524.0
Alaska Dem Primary 2020,Alaska,AK,2020,4/10/2020,PRESIDENT OF THE UNITED STATES,rcv_multiWinner_thresh15,True,False,5,2,1,"Joseph R. Biden, Bernie Sanders",Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES_tab1,NA,9,8,98.09200870489397,19811.0,19759.0,19589.0,5788.0,3825.0,15951.0,10613.0,17.0,35.0,137.0,35.0,170.0,5.0,0.0,88.0,77.0,866.0,127.0,1100.0
Wyoming Dem Primary 2020,Wyoming,WY,2020,4/17/2020,PRESIDENT OF THE UNITED STATES,rcv_multiWinner_thresh15,True,False,5,2,1,"Joseph R. Biden, Bernie Sanders",Wyoming_04172020_PRESIDENTOFTHEUNITEDSTATES_tab1,NA,9,8,97.02423494249886,15428.0,15391.0,15118.0,3353.0,4084.0,11318.0,6751.0,13.0,24.0,53.0,24.0,273.0,4.0,0.0,182.0,87.0,599.0,102.0,732.0
Kansas Dem Primary 2020,Kansas,KS,2020,5/2/2020,PRESIDENT OF THE UNITED STATES,rcv_multiWinner_thresh15,True,False,5,2,1,"Joseph R. Biden, Bernie Sanders",Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES_tab1,NA,5,4,97.09340722937505,147446.0,146873.0,143183.0,25607.0,39272.0,107707.0,82628.0,318.0,255.0,835.0,255.0,3690.0,54.0,0.0,3636.0,0.0,10392.0,2591.0,13245.0
Hawaii Dem Presidential Primary  2020 CD1,Hawaii,HI,2020,5/23/2020,President of the United State CD1,rcv_multiWinner_thresh15,False,False,3,2,1,"Joseph R. Biden, Bernie Sanders",Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,NA,11,10,96.21477062332853,14650.0,14583.0,14031.0,6104.0,5845.0,8738.0,6104.0,31.0,77.0,128.0,36.0,552.0,0.0,0.0,295.0,257.0,619.0,37.0,769.0
Hawaii Dem Presidential Primary  2020 CD2,Hawaii,HI,2020,5/23/2020,President of the United State CD2,rcv_multiWinner_thresh15,False,False,3,2,1,"Joseph R. Biden, Bernie Sanders",Hawaii_05232020_PresidentoftheUnitedStateCD2_tab1,NA,11,10,95.72402294905115,20498.0,20393.0,19521.0,8713.0,7895.0,12498.0,8713.0,49.0,122.0,205.0,56.0,872.0,0.0,0.0,474.0,398.0,977.0,56.0,1220.0
Hawaii Dem Presidential Primary  2020 CD1 CD2,Hawaii,HI,2020,5/23/2020,President of the United State CD1 CD2,rcv_multiWinner_thresh15,False,False,3,2,1,"Joseph R. Biden, Bernie Sanders",Hawaii_05232020_PresidentoftheUnitedStateCD1CD2_tab1,NA,11,10,95.92863677950595,35148.0,34976.0,33552.0,14817.0,13740.0,21236.0,14817.0,80.0,199.0,333.0,92.0,1424.0,0.0,0.0,769.0,655.0,1596.0,93.0,1989.0
