place,state,year,date,office,winner,special_election,incumbent,number_of_candidates,number_of_rounds,total_ballots,first_round_active_votes,final_round_active_votes,first_round_winner_vote,first_round_winner_percent,first_round_winner_place,final_round_winner_vote,final_round_winner_percent,winners_consensus_value,final_round_winner_votes_over_first_round_valid,total_fully_ranked,ranked_multiple,ranked_winner,total_undervote,first_round_overvote,total_ballots_with_overvote,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted,percent_exhausted,includes_duplicate_ranking,includes_skipped_ranking,turnout_percent,registered_voters,condorcet,come_from_behind,contest_rank_limit,ballot_style,ballot_marking_style,voting_equipment_used,link_to_results,cvr_available,notes,sort_for_cruncher_export,unique_id,contest_name,rcv_type,exhaust_on_overvote,exhaust_on_repeated_skipped_rankings,number_of_winners,total_pretally_exhausted,total_irregular,ranked_3_or_more,effective_ballot_length,tabulation_num
Burlington,VT,2006,3/7/2006,Mayor,Bob Kiss,,,5,5,9865.0,9778.0,8746.0,3809.0,38.954796481898136,1,4761.0,54.43631374342556,71.94722847208018,48.69093884229903,2603.0,7977.0,7439,77.0,10.0,32.0,2.0,0.0,1030.0,0.0,1032.0,,0.0,0.0,,,yes,no,5,,,,,,,,Burlington_03072006_Mayor_tab1,Burlington Mayor 2006,rcv_single_winner,,,1,10.0,32.0,4717.0,0: 87; 1: 1807; 2: 3262; 3: 1768; 4: 338; 5: 2603,1
San Francisco,CA,2006,11/7/2006,Board of Supervisors District 10,Sophie Maxwell,,,7,1,16703.0,14322.0,14322.0,7997.0,55.837173579109056,1,7997.0,55.837173579109056,71.74277335567658,55.83717357910907,6765.0,8883.0,10275,2212.0,169.0,246.0,0.0,0.0,0.0,0.0,0.0,,0.0,464.0,,,yes,no,3,,,,,,,,SanFrancisco_11072006_BoardofSupervisorsDistrict10_tab1,San Francisco Board of Supervisors District 10 2006,rcv_single_winner,,,1,169.0,698.0,6765.0,0: 2381; 1: 5439; 2: 2118; 3: 6765,1
San Francisco,CA,2006,11/7/2006,Board of Supervisors District 2,Michela Alioto-Pier,,,2,1,26186.0,20910.0,20910.0,16707.0,79.89956958393113,1,16707.0,79.89956958393113,86.78144428503109,79.89956958393113,4993.0,5169.0,18146,5248.0,28.0,49.0,0.0,0.0,0.0,0.0,0.0,,0.0,767.0,,,yes,no,3,,,,,,,,SanFrancisco_11072006_BoardofSupervisorsDistrict2_tab1,San Francisco Board of Supervisors District 2 2006,rcv_single_winner,,,1,28.0,815.0,124.0,0: 5276; 1: 15741; 2: 5045; 3: 124,1
San Francisco,CA,2006,11/7/2006,Board of Supervisors District 4,Ed Jew,,,6,6,21985.0,19814.0,15975.0,5184.0,26.16331886544867,1,8388.0,52.50704225352112,52.9474109215706,42.3337034420107,12343.0,14986.0,10491,1970.0,201.0,301.0,42.0,0.0,2869.0,928.0,3839.0,,0.0,512.0,,,yes,no,3,,,,,,,,SanFrancisco_11072006_BoardofSupervisorsDistrict4_tab1,San Francisco Board of Supervisors District 4 2006,rcv_single_winner,,,1,201.0,794.0,12343.0,0: 2171; 1: 4828; 2: 2643; 3: 12343,1
San Francisco,CA,2006,11/7/2006,Board of Supervisors District 6,Chris Daly,,,8,5,19915.0,17941.0,17646.0,8746.0,48.748676216487375,1,8968.0,50.82171596962483,60.71567917061479,49.98606543670922,7800.0,10106.0,10893,1809.0,165.0,258.0,7.0,0.0,236.0,52.0,295.0,,0.0,456.0,,,yes,no,3,,,,,,,,SanFrancisco_11072006_BoardofSupervisorsDistrict6_tab1,San Francisco Board of Supervisors District 6 2006,rcv_single_winner,,,1,165.0,698.0,7800.0,0: 1974; 1: 7835; 2: 2306; 3: 7800,1
San Francisco,CA,2006,11/7/2006,Board of Supervisors District 8,Bevan Dufty,,,3,1,35117.0,31715.0,31715.0,20924.0,65.97509065111146,1,20924.0,65.97509065111146,84.49944821062589,65.97509065111146,8807.0,17096.0,26799,3359.0,43.0,118.0,0.0,0.0,0.0,0.0,0.0,,0.0,845.0,,,yes,no,3,,,,,,,,SanFrancisco_11072006_BoardofSupervisorsDistrict8_tab1,San Francisco Board of Supervisors District 8 2006,rcv_single_winner,,,1,43.0,960.0,8807.0,0: 3402; 1: 14619; 2: 8289; 3: 8807,1
San Francisco,CA,2007,11/6/2007,Mayor,Gavin Newsom,,,12,1,149465.0,144730.0,144730.0,106395.0,73.5127478753541,1,106395.0,73.5127478753541,80.97630069785117,73.51274787535411,48481.0,65841.0,117197,4236.0,499.0,866.0,0.0,0.0,0.0,0.0,0.0,,0.0,2911.0,,,yes,no,3,,,,,,,,SanFrancisco_11062007_Mayor_tab1,San Francisco Mayor 2007,rcv_single_winner,,,1,499.0,3717.0,48481.0,0: 4735; 1: 78889; 2: 17360; 3: 48481,1
Pierce County,WA,2008,11/4/2008,County Assessor-Treasurer,Dale Washam,,,6,6,312771.0,262447.0,189433.0,65676.0,25.024481133333587,1,98366.0,51.926538670664556,42.75529916516478,37.480329361737795,150323.0,179627.0,112210,49961.0,363.0,825.0,237.0,0.0,47506.0,25271.0,73014.0,,10933.0,724.0,,,yes,no,3,,,,,,,,PierceCounty_11042008_CountyAssessorTreasurer_tab1,Pierce County Assessor - Treasurer 2008,rcv_single_winner,,,1,363.0,12339.0,150323.0,0: 50324; 1: 83260; 2: 28864; 3: 150323,1
Pierce County,WA,2008,11/4/2008,County Council District 2,Joyce Mcdonald,,,3,3,43661.0,40000.0,38142.0,19967.0,49.9175,1,21078.0,55.26191599811231,75.6225,52.695,17110.0,23931.0,30249,3630.0,31.0,57.0,2.0,0.0,1856.0,0.0,1858.0,,2227.0,86.0,,,yes,no,3,,,,,,,,PierceCounty_11042008_CountyCouncilDistrict2_tab1,"Pierce County Council, District 2 2008",rcv_single_winner,,,1,31.0,2353.0,17110.0,0: 3661; 1: 16090; 2: 6800; 3: 17110,1
Pierce County,WA,2008,11/4/2008,County Executive Member,Pat Mccarthy,,,4,4,312771.0,299132.0,268638.0,79235.0,26.488306165839827,2,136346.0,50.75454701121955,58.19069842076408,45.58054638086196,153183.0,207868.0,174067,13107.0,532.0,1226.0,186.0,0.0,30308.0,0.0,30494.0,,19146.0,548.0,,,yes,yes,3,,,,,,,,PierceCounty_11042008_CountyExecutiveMember_tab1,Pierce County Executive 2008,rcv_single_winner,,,1,532.0,20711.0,153183.0,0: 13639; 1: 91704; 2: 54245; 3: 153183,1
San Francisco,CA,2008,11/4/2008,Board of Supervisors District 1,Eric Mar,,,9,9,31694.0,28756.0,25957.0,11649.0,40.50980664904715,1,13152.0,50.66841314481643,59.98748087355682,45.73654193907358,16762.0,21640.0,17250,2696.0,242.0,332.0,18.0,0.0,861.0,1920.0,2799.0,,2311.0,131.0,,,yes,no,3,,,,,,,,SanFrancisco_11042008_BoardofSupervisorsDistrict1_tab1,San Francisco Board of Supervisors District 1 2008,rcv_single_winner,,,1,242.0,2736.0,16762.0,0: 2938; 1: 7208; 2: 4786; 3: 16762,1
San Francisco,CA,2008,11/4/2008,Board of Supervisors District 11,John Avalos,,,9,9,26909.0,24673.0,19317.0,6964.0,28.22518542536375,1,10225.0,52.932649997411595,51.643496939974874,41.44206217322579,16487.0,19538.0,12742,1826.0,410.0,552.0,62.0,0.0,1742.0,3552.0,5356.0,,3168.0,236.0,,,yes,no,3,,,,,,,,SanFrancisco_11042008_BoardofSupervisorsDistrict11_tab1,San Francisco Board of Supervisors District 11 2008,rcv_single_winner,,,1,410.0,3856.0,16487.0,0: 2236; 1: 5260; 2: 2926; 3: 16487,1
San Francisco,CA,2008,11/4/2008,Board of Supervisors District 3,David Chiu,,,9,9,30086.0,27198.0,22875.0,10270.0,37.76012942128097,1,13582.0,59.37486338797814,58.206485771012574,49.93749540407383,18954.0,22578.0,15831,2604.0,284.0,370.0,32.0,0.0,1373.0,2918.0,4323.0,,1892.0,209.0,,,yes,no,3,,,,,,,,SanFrancisco_11042008_BoardofSupervisorsDistrict3_tab1,San Francisco Board of Supervisors District 3 2008,rcv_single_winner,,,1,284.0,2409.0,18954.0,0: 2888; 1: 4731; 2: 3513; 3: 18954,1
San Francisco,CA,2008,11/4/2008,Board of Supervisors District 4,Carmen Chu,,,3,1,31628.0,29439.0,29439.0,15405.0,52.32854376847039,1,15405.0,52.32854376847039,81.36145928869867,52.32854376847039,15331.0,20079.0,23952,2106.0,83.0,150.0,0.0,0.0,0.0,0.0,0.0,,4160.0,191.0,,,yes,no,3,,,,,,,,SanFrancisco_11042008_BoardofSupervisorsDistrict4_tab1,San Francisco Board of Supervisors District 4 2008,rcv_single_winner,,,1,83.0,4451.0,15331.0,0: 2189; 1: 9397; 2: 4711; 3: 15331,1
San Francisco,CA,2008,11/4/2008,Board of Supervisors District 5,Ross Mirkarimi,,,3,1,41175.0,35659.0,35659.0,27564.0,77.29885863316413,1,27564.0,77.29885863316413,92.66945231217926,77.29885863316413,17890.0,21612.0,33045,5412.0,104.0,177.0,0.0,0.0,0.0,0.0,0.0,,4424.0,224.0,,,yes,no,3,,,,,,,,SanFrancisco_11042008_BoardofSupervisorsDistrict5_tab1,San Francisco Board of Supervisors District 5 2008,rcv_single_winner,,,1,104.0,4784.0,17890.0,0: 5516; 1: 14095; 2: 3674; 3: 17890,1
San Francisco,CA,2008,11/4/2008,Board of Supervisors District 7,Sean R. Elsbernd,,,3,1,36669.0,31165.0,31165.0,22105.0,70.92892668057115,1,22105.0,70.92892668057115,91.12145034493824,70.92892668057115,14545.0,17166.0,28398,5451.0,53.0,102.0,0.0,0.0,0.0,0.0,0.0,,4672.0,234.0,,,yes,no,3,,,,,,,,SanFrancisco_11042008_BoardofSupervisorsDistrict7_tab1,San Francisco Board of Supervisors District 7 2008,rcv_single_winner,,,1,53.0,4970.0,14545.0,0: 5504; 1: 14040; 2: 2580; 3: 14545,1
San Francisco,CA,2008,11/4/2008,Board of Supervisors District 9,David Campos,,,7,7,28884.0,26486.0,23474.0,9468.0,35.74718719323416,1,12637.0,53.83402913862145,73.14052707090538,47.711998791814544,19552.0,22521.0,19372,2085.0,313.0,407.0,39.0,0.0,1234.0,1739.0,3012.0,,2161.0,170.0,,,yes,no,3,,,,,,,,SanFrancisco_11042008_BoardofSupervisorsDistrict9_tab1,San Francisco Board of Supervisors District 9 2008,rcv_single_winner,,,1,313.0,2662.0,19552.0,0: 2398; 1: 4083; 2: 2851; 3: 19552,1
Burlington,VT,2009,3/3/2009,Mayor,Bob Kiss,,,5,5,8984.0,8976.0,8373.0,2585.0,28.799019607843135,2,4313.0,51.51080855129583,54.87967914438503,48.05035650623886,2853.0,7498.0,6183,4.0,4.0,6.0,1.0,0.0,602.0,0.0,603.0,,0.0,108.0,,,no,yes,5,,,,,,,,Burlington_03032009_Mayor_tab1,Burlington Mayor 2009,rcv_single_winner,,,1,4.0,113.0,5585.0,0: 8; 1: 1481; 2: 1914; 3: 1802; 4: 926; 5: 2853,1
Pierce County,WA,2009,11/3/2009,County Auditor,Julie Anderson,,,3,2,159987.0,153528.0,153082.0,76634.0,49.9153248918764,1,76699.0,50.10321265726865,82.55823042050962,49.9576624459382,80039.0,105143.0,126750,6266.0,193.0,366.0,2.0,0.0,444.0,0.0,446.0,,15635.0,361.0,,,yes,no,3,,,,,,,,PierceCounty_11032009_CountyAuditor_tab1,Pierce County Auditor 2009,rcv_single_winner,,,1,193.0,16271.0,80039.0,0: 6459; 1: 48485; 2: 25004; 3: 80039,1
Minneapolis,MN,2009,11/6/2009,Mayor,R.T. Rybak,,,11,1,45968.0,45157.0,45157.0,33234.0,73.59656310206611,1,33234.0,73.59656310206611,81.87434949177315,73.59656310206613,14152.0,20921.0,36972,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,72.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_Mayor_tab1,Minneapolis Mayor 2009,rcv_single_winner,,,1,0.0,72.0,14152.0,0: 811; 1: 24236; 2: 6769; 3: 14152,1
Minneapolis,MN,2009,11/6/2009,P&R Board District 1,Liz Wielinski,,,3,1,6907.0,5842.0,5842.0,4335.0,74.20403971242725,1,4335.0,74.20403971242725,84.64566929133859,74.20403971242725,1356.0,1990.0,4945,1065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_PRBoardDistrict1_tab1,Minneapolis Park District 1 2009,rcv_single_winner,,,1,0.0,17.0,1356.0,0: 1065; 1: 3852; 2: 634; 3: 1356,1
Minneapolis,MN,2009,11/6/2009,P&R Board District 2,Jon Olson,,,2,1,5944.0,5100.0,5100.0,2874.0,56.35294117647058,1,2874.0,56.35294117647058,72.74509803921568,56.35294117647058,1767.0,1802.0,3710,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_PRBoardDistrict2_tab1,Minneapolis Park District 2 2009,rcv_single_winner,,,1,0.0,14.0,94.0,0: 844; 1: 3298; 2: 1708; 3: 94,1
Minneapolis,MN,2009,11/6/2009,P&R Board District 3,Scott Vreeland,,,2,1,6160.0,4736.0,4736.0,3430.0,72.42398648648648,1,3430.0,72.42398648648648,82.91807432432432,72.42398648648648,1215.0,1280.0,3927,1424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_PRBoardDistrict3_tab1,Minneapolis Park District 3 2009,rcv_single_winner,,,1,0.0,25.0,69.0,0: 1424; 1: 3456; 2: 1211; 3: 69,1
Minneapolis,MN,2009,11/6/2009,P&R Board District 4,Anita Tabb,,,1,1,7389.0,5143.0,5143.0,5012.0,97.45284853198521,1,5012.0,97.45284853198521,97.82228271436905,97.45284853198523,5031.0,76.0,5031,2246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_PRBoardDistrict4_tab1,Minneapolis Park District 4 2009,rcv_single_winner,,,1,0.0,45.0,0.0,0: 2246; 1: 5067; 2: 76,1
Minneapolis,MN,2009,11/6/2009,P&R Board District 5,Carol Kummer,,,5,5,9382.0,7848.0,6891.0,2964.0,37.76758409785933,1,3620.0,52.53228849223625,61.569826707441386,46.12640163098879,2513.0,4383.0,4832,1534.0,0.0,0.0,0.0,0.0,893.0,64.0,957.0,,16.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_PRBoardDistrict5_tab1,Minneapolis Park District 5 2009,rcv_single_winner,,,1,0.0,16.0,2513.0,0: 1534; 1: 3465; 2: 1870; 3: 2513,1
Minneapolis,MN,2009,11/6/2009,P&R Board District 6,Brad Bourn,,,4,4,10186.0,8354.0,7806.0,4023.0,48.156571702178596,1,4300.0,55.08583141173455,63.71797941106057,51.47234857553268,2124.0,4131.0,5323,1832.0,0.0,0.0,0.0,0.0,548.0,0.0,548.0,,18.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_PRBoardDistrict6_tab1,Minneapolis Park District 6 2009,rcv_single_winner,,,1,0.0,18.0,2124.0,0: 1832; 1: 4223; 2: 2007; 3: 2124,1
Minneapolis,MN,2009,11/6/2009,Ward 1 City Council,Kevin Reich,,,5,1,4016.0,3969.0,3969.0,1997.0,50.31494079113126,1,1997.0,50.31494079113126,70.29478458049887,50.31494079113127,1455.0,2500.0,2790,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_Ward1CityCouncil_tab1,Minneapolis City Council Ward 1 2009,rcv_single_winner,,,1,0.0,8.0,1455.0,0: 47; 1: 1469; 2: 1045; 3: 1455,1
Minneapolis,MN,2009,11/6/2009,Ward 10 City Council,Meg Tuthill,,,4,1,3431.0,3329.0,3329.0,2405.0,72.24391709221987,1,2405.0,72.24391709221987,85.34094322619406,72.24391709221989,975.0,1847.0,2841,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_Ward10CityCouncil_tab1,Minneapolis City Council Ward 10 2009,rcv_single_winner,,,1,0.0,4.0,975.0,0: 102; 1: 1482; 2: 872; 3: 975,1
Minneapolis,MN,2009,11/6/2009,Ward 11 City Council,John Quincy,,,3,1,4235.0,4010.0,4010.0,2551.0,63.61596009975061,1,2551.0,63.61596009975061,81.2219451371571,63.61596009975062,510.0,2143.0,3257,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,1.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_Ward11CityCouncil_tab1,Minneapolis City Council Ward 11 2009,rcv_single_winner,,,1,0.0,13.0,510.0,0: 225; 1: 1867; 2: 1633; 3: 510,1
Minneapolis,MN,2009,11/6/2009,Ward 12 City Council,Sandy Colvin Roy,,,4,1,4818.0,4718.0,4718.0,3035.0,64.32810512929207,1,3035.0,64.32810512929207,77.74480712166172,64.32810512929207,1224.0,2357.0,3668,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_Ward12CityCouncil_tab1,Minneapolis City Council Ward 12 2009,rcv_single_winner,,,1,0.0,9.0,1224.0,0: 100; 1: 2361; 2: 1133; 3: 1224,1
Minneapolis,MN,2009,11/6/2009,Ward 13 City Council,Betsy Hodges,,,3,1,6059.0,5981.0,5981.0,4141.0,69.23591372680153,1,4141.0,69.23591372680153,78.96672797191106,69.23591372680153,1001.0,2554.0,4723,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_Ward13CityCouncil_tab1,Minneapolis City Council Ward 13 2009,rcv_single_winner,,,1,0.0,18.0,1001.0,0: 78; 1: 3427; 2: 1553; 3: 1001,1
Minneapolis,MN,2009,11/6/2009,Ward 2 City Council,Cam Gordon,,,2,1,2842.0,2689.0,2689.0,2260.0,84.04611379695054,1,2260.0,84.04611379695054,88.58311640014875,84.04611379695054,437.0,475.0,2382,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_Ward2CityCouncil_tab1,Minneapolis City Council Ward 2 2009,rcv_single_winner,,,1,0.0,16.0,26.0,0: 153; 1: 2214; 2: 449; 3: 26,1
Minneapolis,MN,2009,11/6/2009,Ward 3 City Council,Diane Hofstede,,,4,1,2257.0,2222.0,2222.0,1465.0,65.93159315931592,1,1465.0,65.93159315931592,79.52295229522952,65.93159315931592,641.0,1160.0,1767,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,,,yes,no,3,,,,,,,,Minneapolis_11062009_Ward3CityCouncil_tab1,Minneapolis City Council Ward 3 2009,rcv_single_winner,,,1,0.0,7.0,641.0,0: 35; 1: 1062; 2: 519; 3: 641,1
