C:\Cambridge\Election2013\Council\Tuesday\Council Tabular Report (Delimited)
November 5, 2013 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Preliminary Results (Election Night)

17,128 valid ballots.
Electing 9 candidates.
Quota is 1713 votes.
There were no invalid ballots.
(17,128 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|Count 16|Count 17|
Benzan, Dennis A.|1258.0000000000|1293.0000000000|1295.0000000000|1298.0000000000|1300.0000000000|1304.0000000000|1308.0000000000|1322.0000000000|1369.0000000000|1370.0000000000|1388.0000000000|1430.0000000000|1457.0000000000|1507.0000000000|1572.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 16th count
Carlone, Dennis J.|1119.0000000000|1142.0000000000|1143.0000000000|1152.0000000000|1155.0000000000|1157.0000000000|1180.0000000000|1192.0000000000|1202.0000000000|1213.0000000000|1278.0000000000|1311.0000000000|1337.0000000000|1387.0000000000|1481.0000000000|1510.0000000000|1713.0000000000|ELECTED -- 17th count
Cheung, Leland|2317.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 1st count
House, Janneke Ann|392.0000000000|414.0000000000|414.0000000000|416.0000000000|418.0000000000|422.0000000000|423.0000000000|426.0000000000|434.0000000000|436.0000000000|0|0|0|0|0|0|0|DEFEATED -- 10th count
Kelley, Craig A.|1070.0000000000|1133.0000000000|1135.0000000000|1136.0000000000|1137.0000000000|1138.0000000000|1150.0000000000|1154.0000000000|1165.0000000000|1171.0000000000|1202.0000000000|1240.0000000000|1282.0000000000|1327.0000000000|1428.0000000000|1517.0000000000|1713.0000000000|ELECTED -- 17th count
Lee, James|82.0000000000|96.0000000000|96.0000000000|99.0000000000|101.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
Leslie, Logan Edward|482.0000000000|487.0000000000|490.0000000000|491.0000000000|491.0000000000|497.0000000000|507.0000000000|508.0000000000|513.0000000000|516.0000000000|529.0000000000|543.0000000000|0|0|0|0|0|DEFEATED -- 12th count
Maher, David P.|1387.0000000000|1447.0000000000|1449.0000000000|1450.0000000000|1453.0000000000|1458.0000000000|1461.0000000000|1466.0000000000|1482.0000000000|1493.0000000000|1513.0000000000|1540.0000000000|1606.0000000000|1652.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 15th count
Mazen, Nadeem A.|946.0000000000|980.0000000000|985.0000000000|992.0000000000|997.0000000000|1008.0000000000|1015.0000000000|1030.0000000000|1052.0000000000|1150.0000000000|1208.0000000000|1251.0000000000|1282.0000000000|1368.0000000000|1427.0000000000|1481.0000000000|1713.0000000000|ELECTED -- 17th count
McGovern, Marc C.|1151.0000000000|1222.0000000000|1224.0000000000|1225.0000000000|1228.0000000000|1234.0000000000|1239.0000000000|1243.0000000000|1264.0000000000|1282.0000000000|1309.0000000000|1353.0000000000|1383.0000000000|1450.0000000000|1556.0000000000|1636.0000000000|1713.0000000000|ELECTED -- 17th count
Mello, Gary W.|98.0000000000|99.0000000000|100.0000000000|108.0000000000|109.0000000000|109.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
Mirza, Mushtaque A.|276.0000000000|281.0000000000|285.0000000000|285.0000000000|287.0000000000|289.0000000000|294.0000000000|304.0000000000|310.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 9th count
Moree, Gregg J.|37.0000000000|37.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Peden, Ronald|43.0000000000|43.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Phillips, Lesley Rebecca|81.0000000000|84.0000000000|91.0000000000|92.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Reeves, Kenneth E.|899.0000000000|946.0000000000|954.0000000000|959.0000000000|967.0000000000|975.0000000000|979.0000000000|984.0000000000|1000.0000000000|1012.0000000000|1021.0000000000|1041.0000000000|1060.0000000000|1085.0000000000|1126.0000000000|0|0|DEFEATED -- 15th count
Seidel, Sam|673.0000000000|704.0000000000|708.0000000000|709.0000000000|722.0000000000|724.0000000000|730.0000000000|738.0000000000|744.0000000000|749.0000000000|778.0000000000|805.0000000000|825.0000000000|882.0000000000|0|0|0|DEFEATED -- 14th count
Simmons, E. Denise|1143.0000000000|1187.0000000000|1192.0000000000|1198.0000000000|1210.0000000000|1218.0000000000|1218.0000000000|1224.0000000000|1242.0000000000|1254.0000000000|1279.0000000000|1323.0000000000|1337.0000000000|1401.0000000000|1475.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 16th count
Smith, Jefferson R.|567.0000000000|595.0000000000|597.0000000000|599.0000000000|600.0000000000|606.0000000000|608.0000000000|610.0000000000|617.0000000000|621.0000000000|645.0000000000|679.0000000000|688.0000000000|0|0|0|0|DEFEATED -- 13th count
Toomey, Jr., Timothy J.|1417.0000000000|1452.0000000000|1459.0000000000|1462.0000000000|1465.0000000000|1471.0000000000|1473.0000000000|1473.0000000000|1495.0000000000|1504.0000000000|1512.0000000000|1531.0000000000|1573.0000000000|1613.0000000000|1650.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 16th count
vanBeuzekom, Minka Y.|852.0000000000|904.0000000000|906.0000000000|909.0000000000|913.0000000000|922.0000000000|932.0000000000|943.0000000000|962.0000000000|980.0000000000|1032.0000000000|1105.0000000000|1131.0000000000|1213.0000000000|1340.0000000000|1466.0000000000|0|DEFEATED -- 16th count
Vasquez, Luis|256.0000000000|260.0000000000|262.0000000000|266.0000000000|268.0000000000|271.0000000000|274.0000000000|278.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 8th count
Von Hoffmann, Kristen Lane|410.0000000000|430.0000000000|430.0000000000|434.0000000000|445.0000000000|451.0000000000|451.0000000000|459.0000000000|467.0000000000|474.0000000000|503.0000000000|0|0|0|0|0|0|DEFEATED -- 11th count
Williamson, James M.|73.0000000000|77.0000000000|79.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Yarden, Elie|99.0000000000|102.0000000000|104.0000000000|111.0000000000|116.0000000000|117.0000000000|117.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 7th count
Write-In 1|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 2|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 3|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 4|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 5|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 6|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 7|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 8|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 9|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count



Tuesday, November 5, 2013 10:03 PM
ChoicePlus Pro -- Version 2.3.4
(c) 1993-2009 Voting Solutions -- All Rights Reserved
