,"Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,13.37,7.59,5.02,11.48,13.17,4.09,9.09,8.96,3.84,2.47,16.70,3.85,0.38
"Bowman, Manikka L.",,13.36,8.85,12.28,6.30,13.83,11.85,19.50,9.69,10.18,17.99,11.29,3.85
"Cronin, Fran A.",11.34,,7.41,6.39,6.30,5.32,5.05,5.39,6.16,8.02,9.14,8.78,1.28
"Crutchfield, Jake W.",3.79,6.36,,6.64,1.61,8.39,2.34,4.36,9.18,5.28,3.27,5.77,1.28
"Dexter, Emily R.",17.27,13.04,17.52,,6.82,8.04,14.98,13.09,11.95,12.92,19.49,11.29,3.85
"Fantini, Alfred B.",4.91,8.72,5.00,9.34,,7.45,9.46,9.32,3.65,2.35,6.56,5.02,1.28
"Kadete, Elechi M.",7.48,3.37,6.54,3.32,2.53,,2.28,7.60,4.91,7.44,2.86,4.52,1.28
"Kelly, Kathleen M.",9.39,9.16,4.91,12.07,15.40,5.67,,5.87,6.79,4.50,13.42,7.40,1.28
"Kimbrough, Laurance V.",10.04,4.83,5.49,7.36,8.17,10.64,3.93,,11.07,6.07,3.64,4.52,1.28
"MacArthur, William",2.46,2.99,7.41,3.41,2.79,2.84,2.60,5.01,,10.18,2.40,2.38,0.00
"Mitros, Piotr Flawiusz",1.99,1.91,4.62,3.99,0.99,4.49,1.70,2.64,4.91,,2.54,5.02,1.28
"Nolan, Patricia M.",15.90,17.88,11.45,23.63,15.14,8.75,26.04,10.67,11.57,14.87,,13.30,7.69
"Weinstein, David J.",3.14,3.88,4.43,3.45,3.26,4.02,2.82,4.69,4.91,8.41,4.22,,1.28
writeIns,0.07,0.06,0.10,0.00,0.18,0.00,0.05,0.16,0.25,0.20,0.06,0.38,
exhaust,12.21,14.44,16.27,8.12,30.50,20.57,16.90,11.69,14.97,9.59,14.40,20.33,74.36
