,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",writeIns
first_choice,2017.00,1629.00,1562.00,1024.00,133.00,2277.00,1672.00,1680.00,1246.00,36.00
"Fantini, Alfred B.",,811.00,213.00,69.00,5.00,143.00,107.00,133.00,65.00,4.00
"Grassi, Joseph G.",1059.00,,284.00,36.00,4.00,92.00,101.00,61.00,45.00,1.00
"Harding, Richard, Jr.",146.00,194.00,,46.00,9.00,251.00,126.00,134.00,51.00,1.00
"Lemily Wiggins, Gail",70.00,60.00,78.00,,23.00,138.00,106.00,142.00,288.00,1.00
"Malner, Stefan",23.00,14.00,22.00,75.00,,45.00,16.00,20.00,40.00,1.00
"McGovern, Marc C.",164.00,81.00,199.00,117.00,34.00,,532.00,377.00,251.00,3.00
"Nolan, Patricia M.",127.00,86.00,191.00,129.00,8.00,706.00,,351.00,167.00,2.00
"Schuster, Luc",59.00,33.00,113.00,122.00,9.00,382.00,301.00,,183.00,1.00
"Tauber, Nancy",55.00,56.00,88.00,297.00,18.00,232.00,191.00,233.00,,2.00
writeIns,1.00,1.00,1.00,2.00,1.00,3.00,0.00,1.00,0.00,
exhaust,313.00,293.00,373.00,131.00,22.00,285.00,192.00,228.00,156.00,20.00
