,"Bellew, Carole K.","Davis, Henrietta","DeBergalis, Matt S.","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Greenwood, Dan J.","Hall, Robert L., Sr.","Kelley, Craig A.","King, Ethridge A., Jr.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Smith, Aimee Louise","Sullivan, Michael A.","Taymorberry, Laurie","Toomey, Timothy J., Jr.",writeIns
first_choice,735.00,1846.00,1206.00,1378.00,64.00,2994.00,39.00,96.00,992.00,361.00,126.00,1190.00,1362.00,1010.00,1525.00,1181.00,480.00,1656.00,188.00,1613.00,38.00
"Bellew, Carole K.",,155.00,62.00,51.00,0.00,54.00,1.00,5.00,54.00,14.00,4.00,17.00,88.00,84.00,23.00,38.00,25.00,17.00,17.00,50.00,1.00
"Davis, Henrietta",144.00,,95.00,274.00,3.00,124.00,2.00,5.00,110.00,22.00,11.00,36.00,372.00,180.00,101.00,154.00,32.00,66.00,27.00,51.00,3.00
"DeBergalis, Matt S.",40.00,63.00,,22.00,5.00,37.00,4.00,1.00,22.00,32.00,4.00,8.00,31.00,19.00,16.00,9.00,46.00,13.00,9.00,17.00,0.00
"Decker, Marjorie C.",53.00,406.00,93.00,,4.00,150.00,1.00,3.00,67.00,14.00,5.00,49.00,127.00,111.00,121.00,201.00,31.00,84.00,18.00,48.00,2.00
"Dixon, Vincent Lawrence",4.00,6.00,17.00,9.00,,5.00,0.00,2.00,4.00,6.00,3.00,2.00,3.00,5.00,6.00,5.00,6.00,12.00,1.00,3.00,1.00
"Galluccio, Anthony D.",69.00,149.00,62.00,157.00,9.00,,1.00,11.00,111.00,49.00,4.00,365.00,83.00,53.00,151.00,46.00,9.00,450.00,3.00,399.00,2.00
"Greenwood, Dan J.",2.00,2.00,17.00,1.00,6.00,12.00,,2.00,6.00,5.00,1.00,3.00,7.00,5.00,0.00,1.00,6.00,0.00,1.00,4.00,0.00
"Hall, Robert L., Sr.",0.00,5.00,9.00,5.00,4.00,20.00,11.00,,18.00,6.00,0.00,2.00,1.00,6.00,9.00,7.00,6.00,6.00,1.00,5.00,0.00
"Kelley, Craig A.",40.00,43.00,54.00,47.00,3.00,80.00,1.00,14.00,,15.00,10.00,25.00,50.00,112.00,14.00,19.00,19.00,28.00,5.00,14.00,2.00
"King, Ethridge A., Jr.",14.00,36.00,51.00,23.00,3.00,43.00,3.00,4.00,20.00,,9.00,14.00,25.00,30.00,47.00,22.00,10.00,11.00,4.00,11.00,2.00
"LaTremouille, Robert J.",6.00,4.00,12.00,5.00,3.00,14.00,1.00,4.00,11.00,7.00,,2.00,7.00,16.00,10.00,4.00,11.00,9.00,3.00,2.00,0.00
"Maher, David P.",19.00,63.00,25.00,54.00,1.00,666.00,3.00,5.00,48.00,24.00,1.00,,117.00,32.00,42.00,18.00,1.00,245.00,4.00,142.00,0.00
"Murphy, Brian",64.00,287.00,191.00,124.00,3.00,97.00,2.00,1.00,87.00,15.00,7.00,140.00,,133.00,47.00,59.00,27.00,49.00,12.00,17.00,0.00
"Pitkin, John",61.00,113.00,19.00,72.00,3.00,54.00,1.00,4.00,171.00,19.00,10.00,33.00,85.00,,25.00,45.00,19.00,19.00,8.00,19.00,1.00
"Reeves, Kenneth E.",20.00,102.00,53.00,135.00,3.00,201.00,1.00,4.00,39.00,26.00,11.00,44.00,61.00,30.00,,280.00,25.00,68.00,6.00,48.00,4.00
"Simmons, Denise",47.00,197.00,34.00,170.00,5.00,96.00,0.00,7.00,41.00,22.00,8.00,19.00,102.00,53.00,565.00,,87.00,50.00,14.00,27.00,1.00
"Smith, Aimee Louise",21.00,23.00,107.00,26.00,1.00,9.00,4.00,1.00,26.00,6.00,5.00,6.00,22.00,33.00,37.00,77.00,,11.00,15.00,13.00,1.00
"Sullivan, Michael A.",26.00,44.00,31.00,58.00,5.00,682.00,0.00,2.00,40.00,19.00,3.00,260.00,60.00,27.00,113.00,52.00,19.00,,6.00,504.00,1.00
"Taymorberry, Laurie",14.00,31.00,18.00,19.00,1.00,13.00,0.00,3.00,14.00,11.00,10.00,2.00,34.00,14.00,9.00,44.00,44.00,19.00,,18.00,0.00
"Toomey, Timothy J., Jr.",31.00,30.00,37.00,32.00,1.00,397.00,0.00,1.00,24.00,6.00,5.00,87.00,17.00,18.00,52.00,30.00,14.00,372.00,9.00,,0.00
writeIns,2.00,0.00,9.00,0.00,0.00,3.00,0.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,0.00,1.00,0.00,2.00,
exhaust,58.00,87.00,210.00,94.00,1.00,237.00,3.00,16.00,76.00,42.00,14.00,74.00,69.00,48.00,136.00,67.00,43.00,126.00,25.00,219.00,17.00
