,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
first_choice,7.33,6.49,13.48,2.31,6.16,0.51,2.84,8.25,5.55,6.69,0.60,1.60,0.21,0.28,0.46,5.26,3.95,6.67,3.26,8.21,1.49,2.37,0.42,0.57,4.93,0.09
"Benzan, Dennis A.",,5.39,3.60,3.41,4.12,3.30,2.38,4.78,3.65,9.52,3.74,0.35,0.00,4.08,2.44,11.67,2.85,9.46,3.97,5.63,13.64,5.00,4.05,8.82,4.69,6.25
"Carlone, Dennis J.",6.00,,4.18,13.41,7.41,2.20,2.38,1.50,9.64,3.71,16.82,3.17,0.00,2.04,2.44,1.07,7.28,2.36,5.87,1.17,1.89,5.95,10.81,6.86,12.91,0.00
"Cheung, Leland",10.68,10.17,,12.93,16.65,19.78,15.28,13.66,11.88,15.84,12.15,4.93,5.26,8.16,6.10,8.99,19.12,11.91,19.17,10.84,10.98,12.14,5.41,4.90,19.31,0.00
"House, Janneke Ann",1.61,10.17,3.97,,4.39,0.00,4.56,1.23,12.18,2.61,1.87,0.35,0.00,0.00,2.44,0.75,4.42,1.10,4.49,0.89,1.89,4.76,2.70,1.96,2.40,0.00
"Kelley, Craig A.",3.54,8.86,10.08,5.85,,0.00,4.56,5.67,5.48,3.88,5.61,1.06,2.63,4.08,1.22,2.46,7.99,1.69,2.76,4.39,2.65,5.48,1.35,0.98,8.34,0.00
"Lee, James",0.77,0.78,1.59,0.73,0.64,,1.98,0.00,1.12,0.42,3.74,0.70,0.00,0.00,1.22,0.43,0.57,0.42,0.69,0.48,3.03,0.71,2.70,1.96,0.34,6.25
"Leslie, Logan Edward",0.38,0.52,1.59,1.22,1.46,6.59,,1.71,0.81,0.67,8.41,0.00,2.63,2.04,0.00,0.32,0.86,0.25,1.73,0.89,1.52,2.14,1.35,0.00,0.69,6.25
"Maher, David P.",4.07,2.78,9.62,3.41,8.42,5.49,9.33,,1.12,10.95,3.74,3.17,5.26,0.00,1.22,4.82,6.13,4.14,3.80,22.79,4.92,2.62,1.35,3.92,3.66,0.00
"Mazen, Nadeem A.",4.69,18.16,4.98,14.39,5.49,10.99,2.78,1.43,,4.21,3.74,29.93,7.89,4.08,6.10,1.71,4.28,1.86,8.98,1.10,5.30,6.43,10.81,13.73,6.63,0.00
"McGovern, Marc C.",9.45,5.82,9.83,4.15,5.40,4.40,4.17,9.43,5.18,,4.67,5.28,2.63,2.04,3.66,3.32,9.13,5.66,7.08,3.43,5.68,6.90,0.00,1.96,4.57,0.00
"Mello, Gary W.",0.31,0.96,0.46,0.24,0.64,0.00,2.78,0.27,0.61,0.25,,0.70,0.00,0.00,1.22,0.32,0.14,0.00,0.00,0.82,0.38,0.24,10.81,0.00,0.57,0.00
"Mirza, Mushtaque A.",0.61,0.52,0.88,0.98,0.64,1.10,0.99,0.20,10.15,0.51,5.61,,0.00,6.12,3.66,0.43,1.00,0.59,0.52,0.41,0.38,2.14,0.00,4.90,1.37,0.00
"Moree, Gregg J.",0.15,0.09,0.04,0.00,0.37,1.10,1.19,0.68,0.30,0.17,0.93,0.35,,4.08,0.00,0.32,0.00,0.17,0.00,0.48,0.38,0.00,0.00,0.00,0.11,0.00
"Peden, Ronald",0.46,0.09,0.29,0.00,0.27,0.00,0.79,0.14,0.81,0.17,3.74,0.70,7.89,,1.22,0.32,0.14,0.17,0.35,0.14,0.38,0.71,0.00,1.96,0.46,0.00
"Phillips, Lesley Rebecca",0.15,0.35,0.67,1.22,0.91,0.00,0.79,0.41,0.91,0.42,0.00,0.35,2.63,12.24,,0.54,0.71,0.76,1.38,0.48,1.89,2.14,1.35,1.96,0.57,6.25
"Reeves, Kenneth E.",10.99,0.61,7.11,1.95,3.11,6.59,2.38,6.08,3.05,5.14,0.93,3.52,2.63,10.20,7.32,,3.00,23.31,2.76,6.18,3.79,2.38,5.41,3.92,1.83,0.00
"Seidel, Sam",2.38,5.47,6.15,4.88,7.41,2.20,2.18,5.12,3.86,7.33,5.61,0.35,7.89,0.00,12.20,3.32,,3.38,5.70,1.72,1.14,4.76,1.35,6.86,7.66,0.00
"Simmons, E. Denise",12.76,2.43,7.19,4.15,5.31,5.49,1.39,6.76,4.47,7.92,0.00,3.17,2.63,8.16,12.20,35.44,5.71,,5.01,8.10,6.82,5.95,6.76,4.90,7.09,0.00
"Smith, Jefferson R.",2.46,2.26,4.73,4.39,2.47,4.40,0.79,1.64,3.35,5.56,0.00,0.35,2.63,2.04,1.22,1.18,2.85,2.87,,2.40,2.65,5.48,2.70,0.98,2.40,0.00
"Toomey, Jr., Timothy J.",6.38,1.56,3.97,1.46,3.02,4.40,5.36,25.68,1.32,3.12,0.00,2.82,18.42,0.00,1.22,6.21,2.85,9.29,5.18,,6.82,2.62,1.35,0.00,2.86,0.00
"Vasquez, Luis",5.46,1.13,1.00,0.49,0.73,1.10,1.19,0.89,4.37,1.68,1.87,1.06,0.00,2.04,2.44,0.96,1.28,2.03,2.94,2.68,,2.62,5.41,3.92,1.03,0.00
"Von Hoffmann, Kristen Lane",1.38,3.74,2.93,4.88,3.66,2.20,2.18,1.09,2.94,2.95,0.00,1.76,0.00,0.00,9.76,1.28,3.00,2.87,3.97,1.10,3.03,,2.70,3.92,5.49,0.00
"Williamson, James M.",0.46,0.70,0.25,0.73,0.18,0.00,0.60,0.00,0.10,0.17,0.00,1.41,0.00,4.08,0.00,0.11,0.29,0.42,0.69,0.27,1.14,1.19,,8.82,0.46,0.00
"Yarden, Elie",0.85,0.70,0.17,0.98,0.64,1.10,0.20,0.00,0.51,0.34,0.00,0.00,0.00,4.08,6.10,0.11,0.14,0.68,0.69,0.48,3.03,2.86,8.11,,0.23,0.00
"vanBeuzekom, Minka Y.",3.00,14.25,9.20,10.24,11.71,6.59,1.79,2.05,5.08,7.08,7.48,3.87,0.00,2.04,4.88,3.00,11.13,6.33,6.56,3.71,6.06,10.24,4.05,9.80,,6.25
