,"Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.",writeIns
first_choice,242.00,392.00,1176.00,216.00,1699.00,787.00,836.00,1092.00,54.00,246.00,1329.00,1880.00,46.00,580.00,550.00,107.00,147.00,2532.00,2616.00,740.00,45.00,779.00,980.00,1619.00,248.00,1565.00,21.00
"Benjamin, Ronald",,5.00,3.00,3.00,5.00,11.00,17.00,5.00,0.00,1.00,6.00,2.00,2.00,3.00,5.00,2.00,3.00,20.00,58.00,4.00,1.00,1.00,4.00,9.00,3.00,5.00,0.00
"Burgin, Josh M.",13.00,,15.00,6.00,11.00,15.00,7.00,17.00,0.00,3.00,17.00,14.00,5.00,10.00,8.00,2.00,1.00,18.00,17.00,6.00,1.00,15.00,24.00,31.00,6.00,17.00,1.00
"Carlone, Dennis J.",10.00,15.00,,15.00,413.00,20.00,28.00,58.00,0.00,12.00,54.00,87.00,0.00,7.00,19.00,4.00,5.00,139.00,101.00,41.00,1.00,28.00,19.00,42.00,11.00,171.00,1.00
"D'Ambrosio, Olivia",3.00,6.00,17.00,,45.00,10.00,2.00,4.00,1.00,5.00,22.00,15.00,0.00,5.00,19.00,2.00,4.00,33.00,20.00,3.00,1.00,6.00,4.00,9.00,12.00,20.00,1.00
"Devereux, Jan",13.00,31.00,412.00,30.00,,23.00,15.00,126.00,2.00,15.00,124.00,124.00,0.00,17.00,38.00,3.00,7.00,211.00,190.00,47.00,1.00,43.00,47.00,34.00,14.00,288.00,0.00
"Gebru, Samuel",15.00,15.00,25.00,4.00,38.00,,50.00,17.00,2.00,2.00,55.00,104.00,1.00,28.00,40.00,2.00,2.00,112.00,106.00,16.00,1.00,48.00,5.00,11.00,9.00,39.00,0.00
"Harding, Jr., Richard",17.00,14.00,20.00,6.00,29.00,69.00,,22.00,0.00,4.00,24.00,46.00,2.00,9.00,9.00,0.00,6.00,64.00,346.00,9.00,0.00,27.00,35.00,120.00,4.00,21.00,0.00
"Kelley, Craig A.",7.00,27.00,57.00,5.00,87.00,24.00,26.00,,0.00,7.00,63.00,83.00,3.00,23.00,14.00,1.00,2.00,74.00,105.00,19.00,1.00,28.00,57.00,75.00,4.00,46.00,1.00
"Lenke, Dan",0.00,0.00,2.00,2.00,6.00,0.00,4.00,8.00,,3.00,3.00,1.00,1.00,2.00,0.00,1.00,1.00,0.00,6.00,0.00,1.00,0.00,2.00,6.00,0.00,3.00,0.00
"Levy, Ilan",1.00,4.00,6.00,1.00,14.00,4.00,5.00,13.00,11.00,,12.00,9.00,0.00,5.00,12.00,5.00,1.00,14.00,10.00,6.00,0.00,2.00,4.00,51.00,4.00,19.00,0.00
"Mallon, Alanna M.",6.00,21.00,33.00,16.00,97.00,57.00,47.00,104.00,5.00,11.00,,128.00,1.00,96.00,24.00,2.00,2.00,191.00,86.00,30.00,0.00,78.00,69.00,65.00,20.00,51.00,0.00
"McGovern, Marc C.",12.00,23.00,81.00,9.00,122.00,68.00,74.00,132.00,1.00,9.00,172.00,,4.00,59.00,24.00,3.00,6.00,123.00,382.00,56.00,1.00,58.00,70.00,121.00,12.00,73.00,2.00
"Moree, Gregg J.",0.00,1.00,1.00,0.00,2.00,4.00,3.00,5.00,6.00,0.00,7.00,6.00,,0.00,0.00,2.00,0.00,4.00,12.00,1.00,0.00,0.00,4.00,6.00,0.00,1.00,0.00
"Musgrave, Adriane B.",5.00,9.00,10.00,4.00,30.00,28.00,8.00,24.00,1.00,2.00,82.00,97.00,2.00,,12.00,3.00,0.00,45.00,49.00,18.00,2.00,32.00,10.00,4.00,5.00,26.00,0.00
"Okamoto, Nadya T.",8.00,10.00,10.00,19.00,29.00,30.00,20.00,9.00,0.00,6.00,35.00,36.00,3.00,26.00,,11.00,6.00,115.00,43.00,44.00,4.00,11.00,9.00,10.00,11.00,52.00,1.00
"Pillai, Hari I.",2.00,8.00,1.00,0.00,10.00,4.00,6.00,6.00,0.00,1.00,8.00,8.00,1.00,7.00,14.00,,1.00,25.00,11.00,4.00,0.00,2.00,6.00,7.00,4.00,15.00,0.00
"Santos, Jeff",2.00,9.00,10.00,1.00,13.00,6.00,9.00,10.00,1.00,8.00,11.00,11.00,1.00,6.00,12.00,7.00,,30.00,14.00,8.00,1.00,3.00,6.00,45.00,5.00,18.00,3.00
"Siddiqui, Sumbul",14.00,17.00,147.00,21.00,211.00,75.00,46.00,88.00,4.00,34.00,235.00,153.00,0.00,34.00,70.00,13.00,16.00,,182.00,228.00,5.00,53.00,46.00,65.00,36.00,336.00,0.00
"Simmons, E. Denise",33.00,21.00,53.00,14.00,121.00,102.00,244.00,115.00,4.00,4.00,100.00,518.00,4.00,60.00,59.00,11.00,16.00,233.00,,49.00,2.00,72.00,69.00,265.00,18.00,68.00,2.00
"Sivongxay, Vatsady",0.00,3.00,28.00,12.00,42.00,22.00,19.00,25.00,2.00,10.00,42.00,37.00,0.00,15.00,46.00,4.00,5.00,389.00,92.00,,2.00,16.00,14.00,17.00,11.00,186.00,0.00
"Sutton, Bryan",2.00,3.00,2.00,0.00,3.00,3.00,4.00,1.00,0.00,2.00,1.00,1.00,0.00,0.00,2.00,2.00,0.00,8.00,14.00,6.00,,4.00,4.00,9.00,2.00,9.00,0.00
"Tierney, Sean",1.00,18.00,19.00,7.00,43.00,48.00,36.00,53.00,1.00,4.00,80.00,100.00,2.00,104.00,23.00,3.00,5.00,77.00,92.00,14.00,1.00,,146.00,102.00,8.00,25.00,1.00
"Toner, Paul F.",2.00,29.00,17.00,4.00,24.00,15.00,21.00,66.00,2.00,13.00,48.00,61.00,5.00,18.00,7.00,1.00,4.00,58.00,67.00,8.00,3.00,105.00,,199.00,1.00,9.00,0.00
"Toomey, Jr., Timothy J.",4.00,19.00,17.00,0.00,15.00,17.00,55.00,48.00,2.00,35.00,31.00,84.00,2.00,5.00,9.00,5.00,8.00,34.00,310.00,14.00,10.00,62.00,233.00,,4.00,21.00,0.00
"Volmar, Gwen Thomas",4.00,2.00,6.00,11.00,16.00,6.00,5.00,3.00,1.00,5.00,21.00,16.00,0.00,9.00,11.00,3.00,5.00,30.00,21.00,7.00,2.00,11.00,8.00,9.00,,19.00,1.00
"Zondervan, Quinton Y.",3.00,2.00,144.00,16.00,210.00,31.00,15.00,67.00,4.00,36.00,45.00,68.00,0.00,20.00,35.00,9.00,19.00,343.00,59.00,87.00,0.00,27.00,7.00,12.00,23.00,,0.00
writeIns,1.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
exhaust,64.00,80.00,40.00,10.00,61.00,95.00,70.00,65.00,4.00,14.00,31.00,71.00,7.00,12.00,38.00,6.00,21.00,142.00,222.00,15.00,4.00,47.00,77.00,295.00,21.00,27.00,7.00
