D:\Cambridge\Election2003\Council\Final\Council Tabular Report (Delimited)
NOV. 4, 2003 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA

20,080 valid ballots.
Electing 9 candidates.
Winning threshold is 2009 votes.
There were 878 invalid ballots.
(20,958 total ballots processed.)

|Round 1|Round 2|Round 3|Round 4|Round 5|Round 6|Round 7|Round 8|Round 9|Round 10|Round 11|Round 12|Round 13|
Bellew, Carole K.|735.0000000000|759.0000000000|761.0000000000|762.0000000000|767.0000000000|771.0000000000|788.0000000000|811.0000000000|861.0000000000|0|0|0|0|DEFEATED -- 9th round
Davis, Henrietta|1846.0000000000|1896.0000000000|1901.0000000000|1904.0000000000|1909.0000000000|1920.0000000000|1950.0000000000|1977.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|ELECTED -- 9th round
DeBergalis, Matt S.|1206.0000000000|1216.0000000000|1220.0000000000|1227.0000000000|1229.0000000000|1233.0000000000|1242.0000000000|1283.0000000000|1342.0000000000|1441.0000000000|1494.0000000000|1640.0000000000|0|DEFEATED -- 12th round
Decker, Marjorie C.|1378.0000000000|1425.0000000000|1428.0000000000|1432.0000000000|1437.0000000000|1442.0000000000|1463.0000000000|1486.0000000000|1528.0000000000|1641.0000000000|1787.0000000000|2009.0000000000|2009.0000000000|ELECTED -- 12th round
Dixon, Vincent Lawrence|64.0000000000|64.0000000000|65.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd round
Galluccio, Anthony D.|2994.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|ELECTED -- 1st round
Greenwood, Dan J.|39.0000000000|41.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Hall, Robert L., Sr.|96.0000000000|101.0000000000|114.0000000000|123.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th round
Kelley, Craig A.|992.0000000000|1013.0000000000|1016.0000000000|1021.0000000000|1051.0000000000|1062.0000000000|1070.0000000000|1094.0000000000|1118.0000000000|1181.0000000000|0|0|0|DEFEATED -- 10th round
King, Ethridge A., Jr.|361.0000000000|372.0000000000|377.0000000000|381.0000000000|387.0000000000|399.0000000000|406.0000000000|0|0|0|0|0|0|DEFEATED -- 7th round
