,"Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,1488.00,656.00,1417.00,1221.00,1402.00,2721.00,1988.00,426.00,1710.00,3005.00,695.00,62.00
"Bowman, Manikka L.",,82.00,97.00,111.00,135.00,96.00,185.00,48.00,171.00,205.00,104.00,1.00
"Cisternino, Pia",146.00,,39.00,82.00,156.00,84.00,27.00,29.00,34.00,252.00,47.00,1.00
"Cronin, Fran Albin",118.00,71.00,,45.00,101.00,205.00,100.00,23.00,147.00,383.00,42.00,3.00
"Crutchfield, Jake W.",108.00,73.00,50.00,,90.00,52.00,97.00,37.00,37.00,123.00,54.00,1.00
"Dexter, Emily R.",171.00,78.00,118.00,107.00,,83.00,63.00,35.00,127.00,367.00,43.00,3.00
"Fantini, Alfred B.",76.00,36.00,242.00,57.00,82.00,,383.00,21.00,95.00,224.00,36.00,0.00
"Harding, Jr., Richard",155.00,30.00,78.00,84.00,77.00,701.00,,63.00,175.00,210.00,50.00,4.00
"Kadete, Elechi M.",100.00,17.00,12.00,69.00,58.00,45.00,108.00,,29.00,53.00,31.00,1.00
"Kelly, Kathleen M.",141.00,42.00,177.00,86.00,129.00,298.00,286.00,43.00,,614.00,59.00,2.00
"Nolan, Patricia M.",194.00,131.00,342.00,190.00,345.00,343.00,229.00,37.00,581.00,,111.00,6.00
"Weinstein, David J.",79.00,38.00,64.00,57.00,63.00,84.00,58.00,30.00,55.00,155.00,,0.00
writeIns,1.00,1.00,0.00,0.00,1.00,6.00,1.00,0.00,2.00,2.00,1.00,
exhaust,199.00,57.00,198.00,333.00,165.00,724.00,451.00,60.00,257.00,417.00,117.00,40.00
