,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
first_choice,7.33,6.49,13.49,2.31,6.16,0.51,2.84,8.25,5.56,6.69,0.60,1.60,0.21,0.28,0.46,5.26,3.95,6.67,3.27,8.21,1.48,2.37,0.42,0.58,4.92,0.08
"Benzan, Dennis A.",,5.53,3.81,3.56,4.33,3.70,3.28,5.30,3.92,10.06,4.08,0.51,0.00,5.00,2.70,13.12,3.00,10.22,4.21,6.99,15.32,5.25,4.48,9.00,4.90,20.00
"Carlone, Dennis J.",6.74,,4.42,13.99,7.79,2.47,3.28,1.67,10.34,3.92,18.37,4.57,0.00,2.50,2.70,1.20,7.66,2.58,6.23,1.45,2.13,6.25,11.94,7.00,13.40,0.00
"Cheung, Leland",12.00,10.43,,13.49,17.50,22.22,21.04,15.14,12.73,16.74,13.27,7.11,7.69,10.00,6.76,10.11,20.12,12.98,20.33,13.47,12.34,12.75,5.97,5.00,20.22,0.00
"House, Janneke Ann",1.81,10.43,4.20,,4.62,0.00,6.28,1.36,13.06,2.76,2.04,0.51,0.00,0.00,2.70,0.84,4.65,1.20,4.76,1.11,2.13,5.00,2.99,2.00,2.51,0.00
"Kelley, Craig A.",3.97,9.09,10.66,6.11,,0.00,6.28,6.28,5.88,4.10,6.12,1.52,3.85,5.00,1.35,2.77,8.41,1.84,2.93,5.46,2.98,5.75,1.49,1.00,8.73,0.00
"Lee, James",0.86,0.80,1.68,0.76,0.67,,2.73,0.00,1.20,0.45,4.08,1.02,0.00,0.00,1.35,0.48,0.60,0.46,0.73,0.60,3.40,0.75,2.99,2.00,0.36,20.00
"Leslie, Logan Edward",0.43,0.53,1.68,1.27,1.54,7.41,,1.82,0.87,0.71,9.18,0.00,3.85,2.50,0.00,0.36,0.90,0.28,1.83,1.11,1.70,2.25,1.49,0.00,0.72,20.00
"Maher, David P.",4.58,2.85,10.18,3.56,8.85,6.17,12.84,,1.20,11.58,4.08,4.57,7.69,0.00,1.35,5.42,6.46,4.51,4.03,28.30,5.11,2.75,1.49,4.00,3.83,0.00
"Mazen, Nadeem A.",5.27,18.63,5.27,15.01,5.77,12.35,3.83,1.59,,4.45,4.08,43.15,11.54,5.00,6.76,1.93,4.50,2.03,9.52,1.36,5.96,6.75,11.94,14.00,6.94,0.00
