,"Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",writeIns
first_choice,1.51,0.26,9.08,9.50,12.45,3.90,1.13,0.46,1.23,6.49,0.74,5.61,7.70,7.51,6.06,8.27,9.11,8.92,0.09
"Adkins, Lawrence J.",,5.56,1.01,1.03,0.98,1.86,1.27,4.62,0.00,3.88,3.81,0.24,0.43,3.58,2.33,4.20,1.49,0.75,0.00
"Condit, James E., III",6.22,,0.29,0.28,0.22,0.34,1.90,1.54,12.09,0.20,0.00,0.24,0.09,0.18,0.85,0.56,0.52,0.59,0.00
"Davis, Henrietta",7.11,11.11,,23.66,4.81,10.98,2.53,3.08,1.65,11.95,10.48,5.14,23.36,6.52,13.21,14.37,4.39,3.01,0.00
"Decker, Marjorie C.",8.00,11.11,31.80,,8.57,11.82,2.53,0.00,1.10,9.50,5.71,5.14,15.86,9.55,9.41,21.71,6.11,4.68,33.33
"Galluccio, Anthony D.",4.89,5.56,5.25,11.66,,5.74,6.33,13.85,8.79,8.48,2.86,26.79,4.86,11.48,5.29,5.57,25.69,26.42,0.00
"Gordon, Jesse A.",3.56,8.33,3.38,4.34,1.64,,9.49,6.15,3.85,8.38,5.71,2.03,5.88,1.19,8.35,2.58,1.12,0.59,16.67
"Green, Andre Lerone",0.89,5.56,0.79,0.62,0.71,4.90,,9.23,23.08,1.53,4.76,0.24,0.17,0.37,0.74,0.65,0.45,1.34,16.67
"Hall, Robert Lee, Sr.",0.44,2.78,0.43,0.21,1.20,0.84,9.49,,4.95,0.92,0.95,0.12,0.00,0.92,0.42,0.56,0.52,0.59,0.00
"Hees, Bill",0.89,13.89,0.36,0.28,0.93,1.69,27.85,10.77,,2.15,4.76,0.60,0.77,0.46,0.74,0.32,0.45,0.75,0.00
"Kelley, Craig A.",9.78,0.00,4.24,2.90,3.55,8.95,6.33,7.69,12.64,,13.33,2.51,4.35,1.74,30.23,2.74,1.86,1.67,0.00
"LaTremouille, Robert J.",1.33,5.56,0.86,0.69,0.71,1.18,1.90,0.00,3.85,1.94,,0.24,0.51,0.64,1.06,0.40,0.52,0.25,0.00
"Maher, David P.",1.78,8.33,3.60,2.69,16.22,1.01,4.43,6.15,8.24,4.60,6.67,,6.65,2.66,3.07,2.18,13.63,8.70,0.00
"Murphy, Brian",2.67,0.00,15.97,10.83,3.39,11.32,3.16,1.54,3.85,10.11,6.67,10.17,,3.86,12.16,5.49,3.43,1.00,16.67
"Reeves, Kenneth E.",22.67,0.00,5.54,9.31,8.57,6.25,3.80,16.92,0.55,4.09,9.52,4.78,6.99,,2.33,23.00,6.25,3.43,0.00
"Seidel, Sam",5.78,8.33,7.19,5.66,1.58,20.61,3.16,6.15,7.69,20.02,8.57,3.83,13.30,3.95,,3.87,1.27,1.00,0.00
"Simmons, Denise",17.33,2.78,13.24,16.90,5.08,8.95,6.96,9.23,2.20,5.72,6.67,3.47,9.21,38.84,6.77,,6.03,4.26,16.67
"Sullivan, Michael A.",4.00,8.33,4.24,5.59,29.11,1.86,3.80,3.08,2.75,3.88,6.67,24.76,5.88,10.84,2.11,8.23,,40.80,0.00
"Toomey, Timothy J., Jr.",2.67,2.78,1.80,3.31,12.62,1.52,3.80,0.00,2.75,2.45,1.90,9.69,1.71,3.12,0.95,3.47,26.14,,0.00
writeIns,0.00,0.00,0.00,0.07,0.11,0.17,1.27,0.00,0.00,0.20,0.95,0.00,0.00,0.09,0.00,0.08,0.15,0.17,
