,"Bellew, Carole K.","Davis, Henrietta","DeBergalis, Matt S.","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Greenwood, Dan J.","Hall, Robert L., Sr.","Kelley, Craig A.","King, Ethridge A., Jr.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Smith, Aimee Louise","Sullivan, Michael A.","Taymorberry, Laurie","Toomey, Timothy J., Jr.",writeIns
first_choice,3.66,9.20,6.05,6.87,0.32,14.96,0.20,0.47,4.94,1.77,0.61,5.92,6.82,5.05,7.58,5.86,2.40,8.21,0.88,8.04,0.19
"Bellew, Carole K.",,8.36,5.15,3.73,0.00,1.78,2.56,5.38,5.49,3.97,3.28,1.36,6.42,8.36,1.52,3.26,5.03,0.98,9.66,3.13,2.70
"Davis, Henrietta",19.75,,7.90,20.04,4.69,4.17,5.13,5.38,11.19,6.23,8.20,3.06,27.43,17.91,6.69,13.05,6.71,4.04,14.20,3.19,8.11
"DeBergalis, Matt S.",5.49,3.44,,1.54,7.81,1.24,10.26,1.08,2.24,9.07,3.28,0.68,2.29,1.89,1.06,0.60,9.64,0.73,5.11,1.00,0.00
"Decker, Marjorie C.",7.27,22.06,7.65,,6.25,5.01,2.56,3.23,6.82,3.97,3.28,4.08,9.37,10.95,7.89,17.17,6.29,5.08,9.66,2.94,5.41
"Dixon, Vincent Lawrence",0.55,0.22,1.41,0.59,,0.17,0.00,2.15,0.41,1.70,2.46,0.17,0.22,0.50,0.33,0.43,1.26,0.61,0.57,0.19,2.70
"Galluccio, Anthony D.",9.47,8.08,5.15,11.41,14.06,,2.56,11.83,11.29,13.88,3.28,31.01,6.05,5.27,9.81,3.95,1.89,27.36,1.70,24.77,2.70
"Greenwood, Dan J.",0.27,0.11,1.41,0.07,9.38,0.40,,2.15,0.51,1.42,0.82,0.25,0.52,0.50,0.00,0.09,1.26,0.00,0.57,0.25,0.00
"Hall, Robert L., Sr.",0.00,0.27,0.75,0.37,6.25,0.64,28.21,,1.83,1.70,0.00,0.17,0.07,0.60,0.60,0.60,1.05,0.31,0.00,0.31,0.00
"Kelley, Craig A.",5.49,2.18,4.49,3.37,4.69,2.69,2.56,12.90,,4.25,8.20,2.12,3.69,11.14,0.86,1.63,3.98,1.71,2.84,0.75,5.41
"King, Ethridge A., Jr.",1.78,1.97,4.24,1.61,4.69,1.41,7.69,4.30,2.03,,7.38,1.19,1.84,2.99,3.11,1.89,2.10,0.67,2.27,0.63,5.41
"LaTremouille, Robert J.",0.82,0.22,1.00,0.37,4.69,0.44,2.56,4.30,1.12,1.70,,0.17,0.52,1.49,0.60,0.34,2.31,0.55,1.14,0.13,0.00
"Maher, David P.",2.61,3.39,2.08,3.88,1.56,22.24,7.69,5.38,4.88,6.80,0.82,,8.55,3.18,2.78,1.37,0.21,14.75,2.27,8.82,0.00
"Murphy, Brian",8.64,15.57,15.88,9.07,4.69,3.26,5.13,1.08,8.75,4.25,5.74,11.81,,13.23,3.11,5.06,5.66,2.94,6.82,1.00,0.00
"Pitkin, John",8.37,6.12,1.58,5.27,4.69,1.78,2.56,4.30,17.40,5.38,7.38,2.80,6.27,,1.59,3.78,3.98,1.16,4.55,1.13,2.70
"Reeves, Kenneth E.",2.74,5.57,4.41,9.88,4.69,6.75,2.56,4.30,3.97,7.37,9.02,3.65,4.50,2.99,,23.86,5.24,4.16,3.41,2.88,10.81
"Simmons, Denise",6.45,10.65,2.83,12.36,7.81,3.19,0.00,7.53,4.17,6.23,6.56,1.36,7.37,5.27,37.24,,18.24,2.94,7.39,1.69,2.70
"Smith, Aimee Louise",2.88,1.26,8.89,1.83,1.56,0.30,10.26,1.08,2.64,1.70,4.10,0.51,1.62,3.28,2.39,6.61,,0.61,8.52,0.81,2.70
"Sullivan, Michael A.",3.57,2.40,2.58,4.24,7.81,22.84,0.00,2.15,4.07,5.10,2.46,21.92,4.42,2.69,7.36,4.29,3.98,,3.41,31.52,2.70
"Taymorberry, Laurie",1.92,1.69,1.50,1.39,1.56,0.44,0.00,3.23,1.42,2.83,8.20,0.17,2.51,1.39,0.53,3.78,9.22,1.10,,1.06,0.00
"Toomey, Timothy J., Jr.",4.12,1.64,3.08,2.34,1.56,13.27,0.00,1.08,2.34,1.42,4.10,7.14,1.25,1.69,3.38,2.58,2.94,22.40,4.55,,0.00
writeIns,0.27,0.00,0.75,0.00,0.00,0.10,0.00,1.08,0.31,0.28,0.82,0.17,0.07,0.10,0.07,0.26,0.00,0.06,0.00,0.13,
exhaust,7.54,4.81,17.29,6.66,1.56,7.89,7.69,16.13,7.12,10.76,10.66,6.20,5.01,4.58,9.08,5.41,9.01,7.83,11.36,13.70,45.95
