,"Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
first_choice,0.37,10.01,8.99,0.51,18.94,0.88,0.88,2.01,1.62,2.18,5.94,10.07,0.36,6.39,6.68,7.83,7.65,8.18,0.32,0.18
"Condit, James E., III",,0.24,0.07,1.15,0.25,1.34,0.00,0.29,10.91,0.27,0.30,0.64,1.64,0.55,0.35,0.23,0.62,0.29,10.91,0.00
"Davis, Henrietta",8.06,,20.98,3.45,4.55,2.01,10.00,9.12,2.91,12.43,3.47,21.21,8.20,22.42,6.88,14.47,3.70,3.32,3.64,6.67
"Decker, Marjorie C.",6.45,22.51,,9.20,6.69,35.57,2.67,10.59,2.55,7.03,4.96,15.93,1.64,10.06,9.53,17.26,4.24,4.76,9.09,3.33
"Dixon, Vincent Lawrence",9.68,0.59,0.39,,0.53,0.67,0.00,2.35,3.64,1.35,0.40,0.12,0.00,0.83,0.62,0.45,0.77,0.72,3.64,3.33
"Galluccio, Anthony D.",8.06,7.78,11.48,8.05,,12.08,4.00,2.94,14.18,7.57,32.64,6.91,14.75,5.17,12.36,5.95,26.60,24.15,7.27,16.67
"Hall, Robert L.",3.23,0.18,1.31,5.75,1.56,,1.33,0.59,1.82,1.08,0.69,0.88,0.00,0.65,0.44,0.68,0.31,0.29,1.82,0.00
"Horowitz, Jacob",1.61,7.07,0.72,2.30,0.56,4.03,,3.53,2.91,4.05,0.50,1.99,1.64,2.12,0.26,0.98,0.31,0.14,5.45,3.33
"Iskovitz, Steve",6.45,0.77,1.70,4.60,0.56,0.67,16.00,,1.82,1.89,0.40,1.29,3.28,2.58,0.62,1.81,0.23,0.22,16.36,10.00
"Jens, Steven E.",16.13,0.35,0.33,11.49,0.84,0.00,2.00,2.35,,1.89,0.79,0.35,1.64,0.83,0.09,0.23,0.23,0.36,0.00,3.33
"King, Ethridge A.",1.61,6.25,3.93,5.75,2.18,4.70,21.33,6.76,4.73,,1.49,4.92,0.00,5.44,5.56,6.10,0.39,0.50,3.64,0.00
"Maher, David P.",6.45,3.01,2.82,1.15,21.45,4.03,0.67,0.88,11.64,4.59,,4.39,4.92,2.86,2.91,1.13,15.42,7.14,0.00,0.00
"Murphy, Brian",0.00,15.79,14.56,3.45,3.11,8.72,8.00,10.00,1.82,12.97,4.07,,4.92,19.65,3.00,11.08,2.39,0.79,3.64,3.33
"Peixoto, Helder",3.23,0.47,0.39,1.15,0.87,0.67,0.00,1.76,1.45,1.08,0.69,1.41,,0.74,0.26,0.23,0.69,1.95,1.82,0.00
"Pitkin, John",1.61,9.66,7.02,9.20,2.27,3.36,10.00,11.76,2.91,6.76,2.08,15.23,6.56,,1.85,7.54,1.31,1.08,10.91,3.33
"Reeves, Kenneth E.",0.00,4.71,8.20,4.60,8.41,5.37,2.67,3.53,2.55,11.35,3.08,3.51,9.84,3.69,,20.95,4.01,2.96,5.45,3.33
"Simmons, Denise",1.61,13.14,13.90,6.90,4.42,6.04,10.00,19.71,3.27,14.32,2.78,11.95,1.64,13.01,34.86,,2.93,1.95,7.27,0.00
"Sullivan, Michael A.",1.61,2.12,4.46,5.75,21.76,2.68,1.33,0.29,5.82,2.16,25.20,3.10,14.75,3.14,7.94,2.86,,34.97,1.82,3.33
"Toomey, Timothy J., Jr.",3.23,1.41,2.43,4.60,10.80,0.67,0.67,1.47,3.27,1.08,7.44,0.59,8.20,2.12,3.71,1.73,27.06,,3.64,0.00
"Williamson, James M.",9.68,0.06,0.13,6.90,0.25,1.34,0.67,5.29,1.45,0.27,0.10,0.29,4.92,0.55,0.35,0.38,0.00,0.14,,0.00
writeIns,1.61,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,1.64,0.00,0.00,0.00,0.08,0.14,0.00,
exhaust,9.68,3.83,5.18,4.60,8.94,6.04,8.67,6.76,20.00,7.84,8.93,5.27,9.84,3.60,8.38,5.95,8.71,14.13,3.64,40.00
