,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
first_choice,7.33,6.49,13.49,2.31,6.16,0.51,2.84,8.25,5.56,6.69,0.60,1.60,0.21,0.28,0.46,5.26,3.95,6.67,3.27,8.21,1.48,2.37,0.42,0.58,4.92,0.08
"Benzan, Dennis A.",,5.39,3.60,3.42,4.12,3.30,2.38,4.78,3.65,9.52,3.74,0.35,0.00,4.08,2.44,11.68,2.85,9.38,3.97,5.63,13.69,5.00,4.05,8.82,4.70,6.67
"Carlone, Dennis J.",6.00,,4.18,13.45,7.41,2.20,2.38,1.50,9.64,3.71,16.82,3.18,0.00,2.04,2.44,1.07,7.28,2.37,5.87,1.17,1.90,5.95,10.81,6.86,12.84,0.00
"Cheung, Leland",10.69,10.17,,12.96,16.65,19.78,15.28,13.67,11.88,15.84,12.15,4.95,5.41,8.16,6.10,9.00,19.12,11.92,19.17,10.85,11.03,12.14,5.41,4.90,19.38,0.00
"House, Janneke Ann",1.62,10.17,3.97,,4.39,0.00,4.56,1.23,12.18,2.61,1.87,0.35,0.00,0.00,2.44,0.75,4.42,1.10,4.49,0.89,1.90,4.76,2.70,1.96,2.41,0.00
"Kelley, Craig A.",3.54,8.86,10.08,5.87,,0.00,4.56,5.67,5.48,3.88,5.61,1.06,2.70,4.08,1.22,2.47,7.99,1.69,2.76,4.40,2.66,5.48,1.35,0.98,8.37,0.00
"Lee, James",0.77,0.78,1.59,0.73,0.64,,1.98,0.00,1.12,0.42,3.74,0.71,0.00,0.00,1.22,0.43,0.57,0.42,0.69,0.48,3.04,0.71,2.70,1.96,0.34,6.67
"Leslie, Logan Edward",0.38,0.52,1.59,1.22,1.46,6.59,,1.64,0.81,0.67,8.41,0.00,2.70,2.04,0.00,0.32,0.86,0.25,1.73,0.89,1.52,2.14,1.35,0.00,0.69,6.67
"Maher, David P.",4.08,2.78,9.62,3.42,8.42,5.49,9.33,,1.12,10.95,3.74,3.18,5.41,0.00,1.22,4.82,6.13,4.14,3.80,22.80,4.56,2.62,1.35,3.92,3.67,0.00
"Mazen, Nadeem A.",4.69,18.16,4.98,14.43,5.49,10.99,2.78,1.44,,4.21,3.74,30.04,8.11,4.08,6.10,1.71,4.28,1.86,8.98,1.10,5.32,6.43,10.81,13.73,6.65,0.00
