,"Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
first_choice,62.00,1697.00,1525.00,87.00,3212.00,149.00,150.00,340.00,275.00,370.00,1008.00,1707.00,61.00,1084.00,1133.00,1327.00,1297.00,1387.00,55.00,30.00
"Condit, James E., III",,4.00,1.00,1.00,8.00,2.00,0.00,1.00,30.00,1.00,3.00,11.00,1.00,6.00,4.00,3.00,8.00,4.00,6.00,0.00
"Davis, Henrietta",5.00,,320.00,3.00,146.00,3.00,15.00,31.00,8.00,46.00,35.00,362.00,5.00,243.00,78.00,192.00,48.00,46.00,2.00,2.00
"Decker, Marjorie C.",4.00,382.00,,8.00,215.00,53.00,4.00,36.00,7.00,26.00,50.00,272.00,1.00,109.00,108.00,229.00,55.00,66.00,5.00,1.00
"Dixon, Vincent Lawrence",6.00,10.00,6.00,,17.00,1.00,0.00,8.00,10.00,5.00,4.00,2.00,0.00,9.00,7.00,6.00,10.00,10.00,2.00,1.00
"Galluccio, Anthony D.",5.00,132.00,175.00,7.00,,18.00,6.00,10.00,39.00,28.00,329.00,118.00,9.00,56.00,140.00,79.00,345.00,335.00,4.00,5.00
"Hall, Robert L.",2.00,3.00,20.00,5.00,50.00,,2.00,2.00,5.00,4.00,7.00,15.00,0.00,7.00,5.00,9.00,4.00,4.00,1.00,0.00
"Horowitz, Jacob",1.00,120.00,11.00,2.00,18.00,6.00,,12.00,8.00,15.00,5.00,34.00,1.00,23.00,3.00,13.00,4.00,2.00,3.00,1.00
"Iskovitz, Steve",4.00,13.00,26.00,4.00,18.00,1.00,24.00,,5.00,7.00,4.00,22.00,2.00,28.00,7.00,24.00,3.00,3.00,9.00,3.00
"Jens, Steven E.",10.00,6.00,5.00,10.00,27.00,0.00,3.00,8.00,,7.00,8.00,6.00,1.00,9.00,1.00,3.00,3.00,5.00,0.00,1.00
"King, Ethridge A.",1.00,106.00,60.00,5.00,70.00,7.00,32.00,23.00,13.00,,15.00,84.00,0.00,59.00,63.00,81.00,5.00,7.00,2.00,0.00
"Maher, David P.",4.00,51.00,43.00,1.00,689.00,6.00,1.00,3.00,32.00,17.00,,75.00,3.00,31.00,33.00,15.00,200.00,99.00,0.00,0.00
"Murphy, Brian",0.00,268.00,222.00,3.00,100.00,13.00,12.00,34.00,5.00,48.00,41.00,,3.00,213.00,34.00,147.00,31.00,11.00,2.00,1.00
"Peixoto, Helder",2.00,8.00,6.00,1.00,28.00,1.00,0.00,6.00,4.00,4.00,7.00,24.00,,8.00,3.00,3.00,9.00,27.00,1.00,0.00
"Pitkin, John",1.00,164.00,107.00,8.00,73.00,5.00,15.00,40.00,8.00,25.00,21.00,260.00,4.00,,21.00,100.00,17.00,15.00,6.00,1.00
"Reeves, Kenneth E.",0.00,80.00,125.00,4.00,270.00,8.00,4.00,12.00,7.00,42.00,31.00,60.00,6.00,40.00,,278.00,52.00,41.00,3.00,1.00
"Simmons, Denise",1.00,223.00,212.00,6.00,142.00,9.00,15.00,67.00,9.00,53.00,28.00,204.00,1.00,141.00,395.00,,38.00,27.00,4.00,0.00
"Sullivan, Michael A.",1.00,36.00,68.00,5.00,699.00,4.00,2.00,1.00,16.00,8.00,254.00,53.00,9.00,34.00,90.00,38.00,,485.00,1.00,1.00
"Toomey, Timothy J., Jr.",2.00,24.00,37.00,4.00,347.00,1.00,1.00,5.00,9.00,4.00,75.00,10.00,5.00,23.00,42.00,23.00,351.00,,2.00,0.00
"Williamson, James M.",6.00,1.00,2.00,6.00,8.00,2.00,1.00,18.00,4.00,1.00,1.00,5.00,3.00,6.00,4.00,5.00,0.00,2.00,,0.00
writeIns,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,2.00,0.00,
exhaust,6.00,65.00,79.00,4.00,287.00,9.00,13.00,23.00,55.00,29.00,90.00,90.00,6.00,39.00,95.00,79.00,113.00,196.00,2.00,12.00
