,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,6.49,5.60,6.66,4.72,0.40,4.78,0.29,7.32,0.15,8.04,0.86,9.18,1.41,10.82,6.74,0.66,0.43,0.18,9.59,7.93,1.53,0.40,5.69,0.15
"Benzan, Dennis A.",,2.65,6.47,2.55,1.47,2.30,4.65,1.83,4.17,5.47,2.10,8.70,6.28,4.27,14.10,3.74,7.81,0.00,23.28,10.61,9.34,8.96,4.95,0.00
"Carlone, Dennis J.",7.41,,4.98,21.36,4.41,3.63,2.33,24.76,0.00,5.99,3.50,2.31,0.45,10.96,2.51,7.48,0.00,0.00,3.05,1.48,3.50,4.48,9.89,0.00
"Cheung, Leland",8.08,8.26,,4.85,1.47,8.96,2.33,7.30,4.17,16.18,6.29,8.77,5.38,5.89,14.97,4.67,10.94,10.34,10.62,6.87,3.50,1.49,12.32,8.33
"Connolly, Mike",2.02,23.45,3.06,,4.41,7.26,11.63,13.49,8.33,3.97,13.29,1.19,4.04,7.39,2.60,4.67,1.56,3.45,2.35,5.57,5.06,7.46,8.95,16.67
"Courtney, Kim",0.67,0.10,0.96,1.46,,1.21,0.00,0.63,45.83,0.52,5.59,0.20,0.45,0.75,0.17,5.61,0.00,0.00,0.70,0.26,1.17,0.00,1.05,8.33
"Davidson, Mariko",1.54,2.85,5.51,7.40,8.82,,13.95,3.89,8.33,3.45,11.19,0.59,0.45,24.99,3.55,4.67,4.69,13.79,1.65,1.04,13.23,1.49,5.16,0.00
"Degoes, Jr., Plinio T.",0.10,0.00,0.79,0.61,5.88,1.69,,0.63,0.00,0.07,1.40,0.20,0.00,0.29,0.09,1.87,0.00,0.00,0.25,0.09,1.17,1.49,0.42,0.00
"Devereux, Jan",1.06,15.80,4.46,15.41,14.71,7.51,11.63,,0.00,5.84,5.59,3.76,4.04,5.37,3.29,3.74,0.00,3.45,2.10,0.52,7.00,2.99,8.32,8.33
"Dietrich, Xavier",0.29,0.00,0.26,0.12,30.88,0.12,6.98,0.95,,0.15,1.40,0.00,0.45,0.06,0.26,1.87,0.00,3.45,0.19,0.09,0.78,0.00,0.32,0.00
"Kelley, Craig A.",4.91,5.50,11.36,4.13,0.00,4.12,2.33,4.29,16.67,,3.50,6.86,4.48,3.29,7.09,8.41,4.69,6.90,4.52,5.65,1.17,4.48,9.79,8.33
"Levy, Ilan S.",0.77,0.61,0.26,1.94,2.94,1.33,4.65,1.51,0.00,1.27,,0.79,0.90,0.69,0.09,6.54,0.00,3.45,0.70,2.17,0.78,4.48,1.05,0.00
"Maher, David P.",8.66,3.36,10.14,1.94,1.47,1.45,4.65,6.67,0.00,15.21,2.80,,25.11,4.39,9.17,8.41,9.38,10.34,8.14,28.61,1.17,2.99,3.79,0.00
"Mahoney, Jr., Paul F.",1.06,0.61,0.87,0.97,1.47,0.00,0.00,0.48,0.00,0.60,2.10,6.86,,0.58,0.95,5.61,4.69,0.00,0.64,5.04,0.78,0.00,0.42,8.33
"Mazen, Nadeem A.",4.62,20.69,6.73,15.41,4.41,31.36,9.30,14.60,0.00,7.27,7.69,4.75,4.48,,6.66,4.67,10.94,10.34,5.73,2.70,25.29,8.96,11.16,25.00
"McGovern, Marc C.",10.30,4.69,17.57,4.61,0.00,3.39,0.00,4.68,4.17,13.26,0.70,15.95,5.83,7.50,,3.74,7.81,0.00,11.20,8.09,5.45,7.46,7.47,8.33
"Mello, Gary W.",0.10,0.71,0.52,0.36,0.00,0.36,2.33,0.40,0.00,0.30,6.99,0.20,1.79,1.04,1.12,,0.00,0.00,0.06,0.96,0.00,20.90,0.95,0.00
"Moree, Gregg J.",0.48,0.31,0.09,0.24,0.00,0.24,0.00,0.56,0.00,0.37,0.00,0.26,1.35,0.69,0.17,10.28,,6.90,0.64,0.43,0.00,1.49,0.53,0.00
"Sanzone, John",0.19,0.10,0.09,0.36,0.00,0.24,0.00,0.00,0.00,0.15,0.00,0.26,0.45,0.69,0.17,2.80,7.81,,0.32,0.70,0.39,4.48,0.21,0.00
"Simmons, E. Denise",31.28,3.06,14.16,4.25,7.35,6.05,6.98,3.73,0.00,8.46,2.10,12.26,4.48,6.58,21.80,0.93,18.75,10.34,,14.78,9.73,4.48,8.21,0.00
"Toomey, Jr., Timothy J.",9.82,0.82,4.72,3.03,0.00,2.42,0.00,0.40,4.17,3.15,11.19,23.99,26.46,2.08,4.33,3.74,4.69,13.79,14.31,,1.56,0.00,1.79,0.00
"Waite, Romaine",2.12,1.02,0.79,2.18,2.94,7.38,4.65,2.30,0.00,0.22,3.50,0.26,0.90,6.58,0.69,0.93,0.00,3.45,2.80,0.26,,8.96,2.32,0.00
"Williamson, James M.",1.06,0.20,0.26,0.36,0.00,0.61,4.65,0.79,0.00,0.52,0.00,0.20,0.45,0.69,0.09,1.87,3.12,0.00,0.70,0.70,1.17,,0.84,0.00
"vanBeuzekom, Minka Y.",3.46,5.20,5.94,6.31,7.35,8.23,6.98,6.03,4.17,7.42,9.09,1.65,1.79,5.19,6.14,3.74,3.12,0.00,5.85,3.22,7.78,2.99,,8.33
writeIns,0.00,0.00,0.00,0.12,0.00,0.12,0.00,0.08,0.00,0.15,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.19,0.17,0.00,0.00,0.11,
