,"Adkins, Lawrence J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,0.65,4.74,11.65,8.06,0.70,1.61,7.84,0.85,8.06,2.42,0.29,0.49,7.31,5.64,11.18,2.37,5.54,10.96,4.61,0.56,4.28,0.21
"Adkins, Lawrence J.",,1.19,0.54,0.16,1.80,1.17,0.48,0.00,0.31,1.56,0.00,2.56,1.12,0.56,0.90,0.53,0.91,0.29,2.04,14.61,0.59,3.03
"Cheung, Leland",7.77,,5.49,2.33,8.11,8.98,5.84,10.29,1.63,9.35,4.26,8.97,2.32,6.23,3.09,6.63,2.04,2.92,3.40,5.62,10.56,9.09
"Davis, Henrietta",3.88,16.42,,21.71,8.11,13.28,16.57,8.82,10.58,4.42,0.00,3.85,7.73,21.47,13.81,12.47,2.83,5.27,14.83,3.37,16.57,0.00
"Decker, Marjorie C.",0.97,2.65,7.11,,0.90,6.64,3.44,2.21,4.59,2.60,2.13,2.56,3.86,3.78,5.11,2.12,2.72,2.58,5.03,0.00,3.67,0.00
"Flanagan, Mark F.",6.80,2.12,0.75,0.39,,0.78,0.24,1.47,0.70,1.04,0.00,0.00,0.69,0.11,0.34,0.00,1.93,1.03,0.41,4.49,1.47,3.03
"Glick, Silvia P.",2.91,3.84,2.15,0.86,13.51,,5.04,5.15,0.70,2.86,4.26,10.26,0.77,2.22,1.40,2.92,1.59,0.52,0.54,4.49,4.55,3.03
"Kelley, Craig A.",5.83,7.81,9.64,5.21,3.60,9.77,,7.35,6.69,10.13,8.51,5.13,1.89,8.90,3.03,9.55,4.64,4.12,5.03,6.74,8.50,6.06
"Leavitt, Neal W.",0.97,2.12,1.13,0.78,4.50,2.73,1.76,,0.86,2.60,2.13,1.28,0.52,1.89,0.39,1.86,0.68,0.52,0.82,1.12,1.17,0.00
"Maher, David P.",0.97,4.90,8.94,6.46,4.50,2.73,7.53,5.88,,7.79,2.13,7.69,2.92,6.67,3.48,6.37,20.50,14.49,6.80,1.12,2.35,3.03
"Marquardt, Charles J.",4.85,2.25,0.97,0.62,3.60,4.30,4.72,3.68,1.87,,0.00,1.28,1.03,1.00,0.90,2.65,4.19,2.69,0.95,1.12,3.37,3.03
"Moree, Gregg J.",0.00,1.06,0.16,0.00,0.00,0.00,0.48,0.74,1.01,1.82,,6.41,0.43,0.33,0.28,0.80,0.34,0.40,0.27,1.12,0.15,0.00
"Podgers, Kathy",0.00,1.72,0.65,0.62,0.90,3.12,0.48,1.47,0.31,1.56,27.66,,0.43,0.56,0.56,0.80,0.57,0.17,0.14,5.62,1.32,3.03
"Reeves, Kenneth E.",18.45,2.65,6.35,8.64,5.41,5.08,3.36,2.94,5.53,2.34,8.51,7.69,,4.12,26.05,1.86,3.51,6.99,13.61,6.74,3.52,12.12
"Seidel, Sam",2.91,6.89,13.30,7.00,3.60,7.42,14.65,11.03,6.15,4.94,4.26,5.13,7.81,,6.91,14.85,1.81,2.23,6.80,3.37,9.09,0.00
"Simmons, E. Denise",9.71,6.75,16.32,16.58,9.91,7.42,8.01,8.09,4.82,4.16,4.26,6.41,36.82,14.35,,5.84,3.74,6.70,17.14,12.36,8.21,3.03
"Stohlman, Jr., Thomas J.",1.94,5.70,2.96,1.71,2.70,2.34,3.28,4.41,2.02,2.60,4.26,5.13,1.12,4.34,1.40,,1.47,0.86,2.86,4.49,4.55,3.03
"Sullivan, Edward J.",0.97,3.05,1.24,4.28,4.50,0.78,2.40,2.94,16.73,7.53,6.38,2.56,4.29,2.34,3.48,4.77,,21.99,2.04,0.00,2.35,0.00
"Toomey, Jr., Timothy J.",3.88,4.90,3.88,5.29,1.80,1.95,3.84,4.41,21.63,7.01,6.38,0.00,4.98,3.45,7.13,2.12,28.65,,5.31,4.49,3.67,3.03
"Ward, Larry W.",9.71,3.97,6.19,4.90,0.90,3.12,5.44,2.21,3.50,2.34,2.13,3.85,5.75,6.67,8.25,6.37,1.59,4.58,,6.74,5.43,0.00
"Williamson, James M.",2.91,0.93,0.16,0.39,0.90,0.78,0.48,0.74,0.23,0.52,0.00,2.56,0.69,0.22,0.56,0.00,1.02,0.52,2.18,,1.91,0.00
"vanBeuzekom, Minka Y.",5.83,8.74,5.39,4.44,6.31,12.50,7.45,3.68,0.47,3.64,4.26,2.56,1.46,5.12,3.31,8.22,1.93,1.66,3.54,5.62,,0.00
writeIns,0.00,0.13,0.11,0.08,0.00,0.00,0.08,0.74,0.08,0.00,0.00,0.00,0.17,0.00,0.11,0.00,0.11,0.00,0.27,0.00,0.44,
exhaust,8.74,10.20,6.57,7.55,14.41,5.08,4.40,11.76,9.57,19.22,8.51,14.10,13.22,5.67,9.49,9.28,13.25,19.47,5.99,6.74,6.60,45.45
