,"Bellew, Carole K.","Davis, Henrietta","DeBergalis, Matt S.","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Greenwood, Dan J.","Hall, Robert L., Sr.","Kelley, Craig A.","King, Ethridge A., Jr.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Smith, Aimee Louise","Sullivan, Michael A.","Taymorberry, Laurie","Toomey, Timothy J., Jr.",writeIns
first_choice,729.00,1831.00,1203.00,1367.00,64.00,2977.00,39.00,93.00,983.00,353.00,122.00,1177.00,1356.00,1005.00,1509.00,1165.00,477.00,1634.00,176.00,1599.00,37.00
"Bellew, Carole K.",,153.00,62.00,51.00,0.00,53.00,1.00,5.00,54.00,14.00,4.00,16.00,87.00,84.00,23.00,38.00,24.00,16.00,17.00,50.00,1.00
"Davis, Henrietta",144.00,,95.00,274.00,3.00,124.00,2.00,5.00,110.00,22.00,10.00,36.00,372.00,180.00,101.00,152.00,32.00,66.00,25.00,51.00,3.00
"DeBergalis, Matt S.",40.00,63.00,,21.00,5.00,37.00,4.00,1.00,22.00,32.00,4.00,8.00,31.00,19.00,16.00,7.00,46.00,12.00,9.00,16.00,0.00
"Decker, Marjorie C.",53.00,404.00,92.00,,4.00,149.00,1.00,3.00,67.00,14.00,4.00,48.00,127.00,110.00,119.00,200.00,30.00,83.00,17.00,47.00,2.00
"Dixon, Vincent Lawrence",4.00,4.00,17.00,8.00,,5.00,0.00,2.00,4.00,6.00,3.00,2.00,3.00,5.00,5.00,5.00,6.00,10.00,1.00,3.00,1.00
"Galluccio, Anthony D.",69.00,148.00,62.00,156.00,9.00,,1.00,11.00,111.00,49.00,4.00,365.00,82.00,53.00,148.00,46.00,9.00,447.00,3.00,396.00,1.00
"Greenwood, Dan J.",2.00,2.00,17.00,1.00,6.00,12.00,,2.00,5.00,5.00,1.00,3.00,7.00,5.00,0.00,1.00,6.00,0.00,1.00,4.00,0.00
"Hall, Robert L., Sr.",0.00,5.00,9.00,5.00,4.00,19.00,11.00,,18.00,6.00,0.00,2.00,1.00,6.00,9.00,7.00,5.00,5.00,0.00,5.00,0.00
"Kelley, Craig A.",40.00,40.00,54.00,46.00,3.00,80.00,1.00,12.00,,15.00,10.00,25.00,50.00,112.00,13.00,19.00,19.00,28.00,5.00,12.00,2.00
"King, Ethridge A., Jr.",13.00,36.00,51.00,22.00,3.00,42.00,3.00,4.00,20.00,,9.00,14.00,25.00,30.00,47.00,22.00,10.00,11.00,4.00,10.00,2.00
"LaTremouille, Robert J.",6.00,4.00,12.00,5.00,3.00,13.00,1.00,4.00,11.00,6.00,,2.00,7.00,15.00,9.00,4.00,11.00,9.00,2.00,2.00,0.00
"Maher, David P.",19.00,62.00,25.00,53.00,1.00,662.00,3.00,5.00,48.00,24.00,1.00,,116.00,32.00,42.00,16.00,1.00,241.00,4.00,141.00,0.00
"Murphy, Brian",63.00,285.00,191.00,124.00,3.00,97.00,2.00,1.00,86.00,15.00,7.00,139.00,,133.00,47.00,59.00,27.00,48.00,12.00,16.00,0.00
"Pitkin, John",61.00,112.00,19.00,72.00,3.00,53.00,1.00,4.00,171.00,19.00,9.00,33.00,85.00,,24.00,44.00,19.00,19.00,8.00,18.00,1.00
"Reeves, Kenneth E.",20.00,102.00,53.00,135.00,3.00,201.00,1.00,4.00,39.00,26.00,11.00,43.00,61.00,30.00,,278.00,25.00,68.00,6.00,46.00,4.00
"Simmons, Denise",47.00,195.00,34.00,169.00,5.00,95.00,0.00,7.00,41.00,22.00,8.00,16.00,100.00,53.00,562.00,,87.00,48.00,13.00,27.00,1.00
"Smith, Aimee Louise",21.00,23.00,107.00,25.00,1.00,9.00,4.00,1.00,26.00,6.00,5.00,6.00,22.00,33.00,36.00,77.00,,10.00,15.00,13.00,1.00
"Sullivan, Michael A.",26.00,44.00,31.00,58.00,5.00,680.00,0.00,2.00,40.00,18.00,3.00,258.00,60.00,27.00,111.00,50.00,19.00,,6.00,504.00,1.00
"Taymorberry, Laurie",14.00,31.00,18.00,19.00,1.00,13.00,0.00,3.00,14.00,10.00,10.00,2.00,34.00,14.00,8.00,44.00,44.00,18.00,,17.00,0.00
"Toomey, Timothy J., Jr.",30.00,30.00,37.00,32.00,1.00,395.00,0.00,1.00,23.00,5.00,5.00,84.00,17.00,17.00,51.00,30.00,14.00,366.00,8.00,,0.00
writeIns,2.00,0.00,9.00,0.00,0.00,3.00,0.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,0.00,1.00,0.00,2.00,
exhaust,55.00,88.00,208.00,91.00,1.00,235.00,3.00,15.00,70.00,38.00,13.00,73.00,68.00,46.00,137.00,63.00,43.00,128.00,20.00,219.00,17.00
