,"Allen, Ruth Ryan","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha",writeIns
first_choice,892.00,3107.00,976.00,2999.00,2662.00,814.00,934.00,1131.00,2176.00,971.00,2690.00,51.00
"Allen, Ruth Ryan",,83.00,46.00,86.00,307.00,19.00,32.00,18.00,100.00,36.00,154.00,1.00
"Bowman, Mannika L.",92.00,,169.00,556.00,369.00,94.00,77.00,118.00,304.00,117.00,496.00,4.00
"Dawson, Bernette J.",61.00,279.00,,136.00,75.00,18.00,73.00,50.00,127.00,57.00,258.00,0.00
"Dexter, Emily R.",106.00,1142.00,141.00,,487.00,76.00,160.00,248.00,364.00,149.00,244.00,2.00
"Fantini, Alfred B.",251.00,263.00,48.00,436.00,,48.00,73.00,71.00,120.00,54.00,134.00,2.00
"Kadete, Elechi M.",18.00,105.00,47.00,192.00,80.00,,42.00,73.00,66.00,32.00,212.00,2.00
"Lim, Christopher",42.00,83.00,73.00,192.00,137.00,55.00,,114.00,94.00,63.00,145.00,1.00
"Rojas Villareal, Jose Luis",18.00,106.00,46.00,280.00,96.00,83.00,109.00,,111.00,52.00,187.00,2.00
"Weinstain, Rachel",59.00,231.00,83.00,383.00,153.00,47.00,93.00,94.00,,213.00,355.00,1.00
"Weinstein, David J.",38.00,143.00,59.00,227.00,124.00,48.00,63.00,79.00,248.00,,128.00,1.00
"Wilson, Ayesha",84.00,406.00,178.00,242.00,162.00,214.00,84.00,136.00,379.00,105.00,,1.00
writeIns,3.00,1.00,0.00,1.00,1.00,0.00,0.00,3.00,0.00,2.00,3.00,
exhaust,120.00,265.00,86.00,268.00,671.00,112.00,128.00,127.00,263.00,91.00,374.00,34.00
