,"Akiba, Sukia","Azeem, Burhan","Carlone, Dennis J.","Franklin, Charles J.","Kelley, Craig A.","Kopon, Derek Andrew","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","McNary, Jeffery","Mednick, Risa","Moree, Gregg J.","Musgrave, Adriane","Nolan, Patricia M.","Pitkin, John","Siddiqui, Sumbul","Simmons, E. Denise","Simon, Ben","Sobrinho-Wheeler, Jivan","Toomey, Jr., Timothy J.","Williams, Nicola A.","Zondervan, Quinton Y.",writeIns
first_choice,1.70,4.53,6.95,1.52,6.70,2.32,0.51,5.91,7.63,0.36,1.14,0.22,3.41,7.94,2.53,11.86,9.46,1.39,6.22,8.14,2.97,6.51,0.08
"Akiba, Sukia",,3.85,0.47,4.33,0.63,2.04,4.59,2.23,0.74,3.90,0.83,4.35,1.38,1.13,1.12,3.18,2.04,2.72,2.20,1.45,2.06,1.67,0.00
"Azeem, Burhan",15.28,,0.54,6.19,0.84,1.83,1.83,1.99,2.84,2.60,3.31,0.00,9.39,0.77,0.75,6.32,2.09,2.72,12.66,0.64,2.86,2.68,0.00
"Carlone, Dennis J.",2.50,0.94,,6.50,18.64,12.02,11.93,2.55,3.09,0.00,8.68,0.00,2.35,18.81,7.28,2.15,2.94,5.44,3.26,2.90,4.76,17.97,0.00
"Franklin, Charles J.",5.56,4.06,8.01,,0.98,1.43,6.42,1.04,0.49,6.49,1.24,4.35,2.76,0.77,1.12,1.19,1.30,5.78,2.88,0.81,5.56,2.90,5.88
"Kelley, Craig A.",2.50,1.04,22.73,3.72,,13.03,6.42,4.23,5.93,3.90,3.31,2.17,4.42,18.46,12.50,3.02,3.24,2.04,0.91,11.81,2.70,4.78,0.00
"Kopon, Derek Andrew",1.67,1.35,3.66,6.81,5.70,,10.09,0.56,0.62,2.60,0.83,6.52,0.97,5.04,9.33,0.44,0.35,1.36,0.91,0.29,2.22,2.83,0.00
"Levy, Ilan",1.39,0.52,0.20,0.93,0.42,1.43,,0.64,0.25,5.19,0.41,4.35,0.28,0.65,1.31,0.32,0.15,0.00,0.61,1.39,0.16,0.58,0.00
"Mallon, Alanna M.",10.00,15.94,2.51,4.33,6.19,1.83,2.75,,15.70,3.90,5.79,0.00,14.23,3.68,3.17,17.73,8.23,2.72,4.55,6.66,1.59,2.97,0.00
"McGovern, Marc C.",2.22,8.02,3.26,4.64,7.24,1.63,1.83,18.66,,7.79,6.20,2.17,10.91,4.04,3.54,9.38,15.20,2.72,3.03,13.78,1.43,4.28,11.76
"McNary, Jeffery",1.11,0.73,0.34,2.79,0.21,1.22,1.83,0.56,0.49,,0.83,4.35,0.28,0.59,0.93,0.16,0.55,1.02,0.38,0.41,0.16,0.14,5.88
"Mednick, Risa",2.78,1.98,1.09,2.48,1.05,0.41,1.83,2.15,1.85,6.49,,0.00,4.01,1.07,1.49,1.91,1.65,2.04,3.03,0.23,1.59,0.94,0.00
"Moree, Gregg J.",0.28,0.21,0.00,0.00,0.35,1.43,0.00,0.40,0.43,0.00,2.48,,0.41,0.18,0.37,0.16,0.20,0.00,0.08,0.64,0.32,0.07,5.88
"Musgrave, Adriane",3.33,11.04,0.75,4.95,2.18,2.85,0.92,6.62,4.94,5.19,9.92,8.70,,1.60,1.12,4.89,2.89,0.68,6.75,1.33,2.06,1.59,0.00
"Nolan, Patricia M.",4.72,1.67,20.76,6.81,19.90,19.35,4.59,3.99,3.40,5.19,10.74,10.87,4.56,,11.94,2.98,2.44,5.44,2.20,3.30,15.56,8.41,11.76
"Pitkin, John",1.67,0.62,1.90,3.10,3.59,17.31,2.75,1.04,1.48,2.60,5.37,2.17,1.66,5.22,,0.60,1.30,2.72,0.68,0.87,2.38,2.39,0.00
"Siddiqui, Sumbul",11.67,17.19,3.60,4.64,4.64,2.44,3.67,28.71,17.12,6.49,16.12,4.35,18.09,6.35,6.16,,18.74,7.14,15.77,6.60,6.83,11.88,0.00
"Simmons, E. Denise",8.61,4.90,2.04,5.88,5.77,0.61,3.67,8.29,20.46,9.09,6.61,8.70,4.42,3.32,4.66,16.82,,5.78,2.73,19.63,10.95,4.06,5.88
"Simon, Ben",2.50,0.62,0.41,5.57,1.05,1.43,4.59,0.40,0.62,2.60,0.41,2.17,0.83,1.60,2.80,1.23,1.79,,11.83,0.81,6.67,2.68,5.88
"Sobrinho-Wheeler, Jivan",5.00,13.96,1.42,9.60,1.20,2.44,0.92,2.23,2.53,5.19,4.55,0.00,9.25,1.25,1.87,6.76,1.69,19.39,,0.93,4.92,10.58,0.00
"Toomey, Jr., Timothy J.",1.11,1.25,1.02,2.17,3.80,1.43,4.59,5.18,8.59,6.49,1.24,15.22,1.38,1.90,2.99,3.78,15.30,4.76,2.20,,2.06,2.32,11.76
"Williams, Nicola A.",7.78,1.67,3.19,3.10,2.60,4.28,5.50,1.52,1.11,1.30,2.48,0.00,1.10,7.72,9.14,2.15,4.99,7.82,5.53,1.16,,12.46,0.00
"Zondervan, Quinton Y.",3.61,3.75,19.81,8.05,9.21,6.92,11.93,4.15,2.72,7.79,5.79,0.00,4.56,13.77,12.31,7.16,2.74,12.59,15.62,3.59,19.68,,0.00
writeIns,0.00,0.00,0.14,0.00,0.07,0.00,0.92,0.16,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.00,0.00,
exhaust,4.72,4.69,2.17,3.41,3.73,2.65,6.42,2.71,4.45,5.19,2.89,19.57,2.76,2.08,4.10,7.67,10.17,5.10,2.12,20.61,3.49,1.81,35.29
