Ballots with first choice:,Number of Ballots,% of votes to Joseph R. Biden,% of votes to Bernie Sanders,% of votes to exhaust,percent_sum
Amy Klobuchar,34.0,61.76,17.65,20.59,100.0
Andrew Yang,186.0,27.96,39.25,32.8,99.99999999999999
Bernie Sanders,4054.0,0.0,100.0,0.0,100.0
Deval Patrick,4.0,25.0,25.0,50.0,100.0
Elizabeth Warren,738.0,38.62,50.0,11.38,100.0
Joseph R. Biden,8585.0,100.0,0.0,0.0,100.0
Michael R.,262.0,59.16,13.74,27.1,99.99999999999999
Pete Buttigieg,153.0,62.09,17.65,20.26,99.99999999999999
Tom Steyer,15.0,33.33,13.33,53.33,100.0
Tulsi Gabbard,446.0,23.09,31.84,45.07,99.99999999999999
Uncommitted,106.0,12.26,5.66,82.08,100.0
