candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer
JOE TUMAN,11.995,14347.0,10,12.019,14357.0,114,12.126,14471.0,81,12.213,14552.0,228,12.427,14780.0,169,12.595,14949.0,253,12.893,15202.0,260,13.24,15462.0,-15462,0.0,0.0,0.0,0.0,0.0,0.0
TERENCE CANDELL,1.936,2315.0,1,1.939,2316.0,70,1.999,2386.0,111,2.096,2497.0,116,2.197,2613.0,67,2.258,2680.0,-2680,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
ARNOLD FIELDS,0.613,733.0,5,0.618,738.0,-738,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DON MACLEAY,1.363,1630.0,6,1.37,1636.0,41,1.405,1677.0,42,1.443,1719.0,133,1.557,1852.0,-1852,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
writeIns,0.224,268.0,-268,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
LARRY LIONEL ''LL'' YOUNG JR.,0.78,933.0,6,0.786,939.0,37,0.818,976.0,-976,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MARCIE HODGE,2.503,2994.0,5,2.511,2999.0,34,2.542,3033.0,122,2.648,3155.0,45,2.691,3200.0,50,2.738,3250.0,375,3.074,3625.0,-3625,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
JEAN QUAN,24.468,29266.0,33,24.527,29299.0,92,24.628,29391.0,123,24.769,29514.0,131,24.925,29645.0,855,25.697,30500.0,384,26.194,30884.0,771,27.107,31655.0,3378,30.943,35033.0,18864,50.957,53897.0,20826
DON PERATA,33.729,40342.0,32,33.798,40374.0,81,33.9,40455.0,151,34.078,40606.0,122,34.244,40728.0,86,34.387,40814.0,550,35.082,41364.0,824,36.126,42188.0,3277,40.157,45465.0,6407,49.043,51872.0,-51872
GREG HARLAND,0.808,966.0,2,0.81,968.0,91,0.887,1059.0,28,0.912,1087.0,-1087,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
REBECCA KAPLAN,21.582,25813.0,18,21.624,25831.0,59,21.695,25890.0,136,21.842,26026.0,91,21.959,26117.0,379,22.324,26496.0,335,22.756,26831.0,644,23.527,27475.0,5244,28.899,32719.0,-32719,0.0,0.0,0
exhaust,0.0,0.0,150,0.0,150.0,119,0.0,269.0,182,0.0,451.0,221,0.0,672.0,246,0.0,918.0,783,0.0,1701.0,1126,0.0,2827.0,3563,0.0,6390.0,7448,0.0,13838.0,31046
colsum,100.001,119607.0,0,100.00200000000001,119607.0,0,100.0,119607.0,0,100.001,119607.0,0,100.0,119607.0,0,99.999,119607.0,0,99.999,119607.0,0,100.0,119607.0,0,99.999,119607.0,0.0,100.0,119607.0,0.0
