candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer
"Maher, David P.",9.624,1312.0,15.0,9.734,1327.0,0.0,9.742,1327.0,2.0,9.761,1329.0,8.0,9.828,1337.0,19.0,9.993,1356.0,2.0,10.008,1358.0,10.0,10.109,1368.0,-4.0,10.079,1364.0,0.0,10.152,1364.0,0.0,10.152,1364.0,0.0,10.248,1364.0,0.0,10.248,1364.0,0.0,10.248,1364.0,0.0,10.248,1364.0,0.0,10.837,1364.0,
"Reeves, Kenneth E.",8.927,1217.0,5.0,8.964,1222.0,2.0,8.985,1224.0,8.0,9.048,1232.0,7.0,9.108,1239.0,15.0,9.242,1254.0,3.0,9.264,1257.0,57.0,9.71,1314.0,0.0,9.71,1314.0,84.0,10.405,1398.0,-34.0,10.152,1364.0,0.0,10.248,1364.0,0.0,10.248,1364.0,0.0,10.248,1364.0,0.0,10.248,1364.0,0.0,10.837,1364.0,
"Ward, Larry W.",5.127,699.0,10.0,5.201,709.0,0.0,5.205,709.0,4.0,5.236,713.0,5.0,5.278,718.0,32.0,5.527,750.0,0.0,5.527,750.0,55.0,5.948,805.0,1.0,5.956,806.0,28.0,6.207,834.0,3.0,6.23,837.0,-837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Janik, Jonathan S.",1.914,261.0,3.0,1.936,264.0,1.0,1.945,265.0,4.0,1.976,269.0,7.0,2.029,276.0,-276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Galluccio, Anthony D.",3.829,522.0,12.0,3.917,534.0,1.0,3.927,535.0,0.0,3.929,535.0,3.0,3.955,538.0,14.0,4.068,552.0,3.0,4.09,555.0,12.0,4.19,567.0,0.0,4.19,567.0,-567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Davis, Henrietta",11.678,1592.0,-228.0,10.005,1364.0,0.0,10.013,1364.0,0.0,10.018,1364.0,0.0,10.026,1364.0,0.0,10.052,1364.0,0.0,10.052,1364.0,0.0,10.079,1364.0,0.0,10.079,1364.0,0.0,10.152,1364.0,0.0,10.152,1364.0,0.0,10.248,1364.0,0.0,10.248,1364.0,0.0,10.248,1364.0,0.0,10.248,1364.0,0.0,10.837,1364.0,
"Seidel, Sam",7.607,1037.0,13.0,7.702,1050.0,4.0,7.737,1054.0,16.0,7.858,1070.0,6.0,7.909,1076.0,36.0,8.195,1112.0,0.0,8.195,1112.0,43.0,8.535,1155.0,1.0,8.542,1156.0,19.0,8.745,1175.0,3.0,8.767,1178.0,150.0,9.977,1328.0,5.0,10.015,1333.0,10.0,10.09,1343.0,9.0,10.158,1352.0,117.0,11.671,1469.0,
"Simmons, E. Denise",7.306,996.0,23.0,7.475,1019.0,1.0,7.488,1020.0,10.0,7.565,1030.0,7.0,7.623,1037.0,10.0,7.716,1047.0,0.0,7.716,1047.0,35.0,7.995,1082.0,0.0,7.995,1082.0,63.0,8.522,1145.0,16.0,8.641,1161.0,194.0,10.18,1355.0,18.0,10.316,1373.0,15.0,10.428,1388.0,-24.0,10.248,1364.0,0.0,10.837,1364.0,
"Moore, M. Kevin",1.841,251.0,0.0,1.841,251.0,1.0,1.85,252.0,14.0,1.954,266.0,18.0,2.088,284.0,23.0,2.263,307.0,0.0,2.263,307.0,-307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sullivan, Edward J.",6.096,831.0,1.0,6.103,832.0,1.0,6.115,833.0,4.0,6.147,837.0,8.0,6.211,845.0,9.0,6.294,854.0,1.0,6.301,855.0,11.0,6.399,866.0,1.0,6.407,867.0,118.0,7.331,985.0,4.0,7.361,989.0,49.0,7.799,1038.0,5.0,7.836,1043.0,6.0,7.881,1049.0,6.0,7.926,1055.0,-1055.0,0.0,0.0,
