candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer,r16_percent,r16_count,r16_transfer,r17_percent,r17_count,r17_transfer,r18_percent,r18_count,r18_transfer,r19_percent,r19_count,r19_transfer,r20_percent,r20_count,r20_transfer,r21_percent,r21_count,r21_transfer,r22_percent,r22_count,r22_transfer
WRITE-IN LEA SHERMAN,0.005,9.0,0.0,0.005,9.0,0.0,0.005,9.0,0.0,0.005,9.0,0.0,0.005,9.0,0.0,0.005,9.0,-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LELAND YEE,7.514,14609.0,0.0,7.514,14609.0,1,7.515,14610.0,0.0,7.515,14610.0,2,7.516,14612.0,0.0,7.516,14612.0,0,7.516,14612.0,0.0,7.516,14612.0,9,7.523,14621.0,13,7.533,14634.0,32,7.552,14666.0,33,7.573,14699.0,86,7.622,14785.0,49,7.654,14834.0,196,7.782,15030.0,601,8.186,15631.0,390,8.516,16021.0,670,8.976,16691.0,1325,9.977,18016.0,-18016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BEVAN DUFTY,4.736,9208.0,0.0,4.736,9208.0,0,4.736,9208.0,0.0,4.736,9208.0,0,4.736,9208.0,0.0,4.736,9208.0,1,4.737,9209.0,0.0,4.737,9209.0,11,4.744,9220.0,10,4.751,9230.0,14,4.76,9244.0,19,4.772,9263.0,57,4.805,9320.0,78,4.849,9398.0,185,4.962,9583.0,550,5.307,10133.0,322,5.557,10455.0,-10455,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WRITE-IN PATRICK MONETTE-SHAW,0.003,5.0,0.0,0.003,5.0,0,0.003,5.0,0.0,0.003,5.0,-5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JOHN AVALOS,19.26,37445.0,0.0,19.26,37445.0,0,19.26,37445.0,0.0,19.26,37445.0,0,19.261,37445.0,2,19.262,37447.0,0,19.262,37447.0,0.0,19.263,37447.0,25,19.279,37472.0,9,19.293,37481.0,16,19.308,37497.0,78,19.359,37575.0,79,19.412,37654.0,1026,19.959,38680.0,191,20.127,38871.0,449,20.593,39320.0,204,21.009,39524.0,1511,22.068,41035.0,1842,23.745,42877.0,2628,26.125,45505.0,3133,29.586,48638.0,8522,40.362,57160.0,
JOANNA REES,1.597,3104.0,0.0,1.597,3104.0,0,1.597,3104.0,0.0,1.597,3104.0,0,1.597,3104.0,0,1.597,3104.0,0,1.597,3104.0,0.0,1.597,3104.0,7,1.601,3111.0,32,1.618,3143.0,42,1.64,3185.0,31,1.657,3216.0,36,1.677,3252.0,65,1.712,3317.0,-3317,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
WRITE-IN DAVID VILLA-LOBOS,0.002,3.0,0.0,0.002,3.0,0,0.002,3.0,-3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
PAUL CURRIER,0.128,248.0,0.0,0.128,248.0,0,0.128,248.0,0,0.128,248.0,0,0.128,248.0,1,0.128,249.0,0,0.128,249.0,0.0,0.128,249.0,-249,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
WRITE-IN ROBERT 'BOBBY' JORDAN,0.002,3.0,0.0,0.002,3.0,-3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
TERRY JOAN BAUM,0.856,1665.0,0.0,0.856,1665.0,0,0.856,1665.0,0,0.856,1665.0,0,0.856,1665.0,0,0.856,1665.0,0,0.856,1665.0,0.0,0.856,1665.0,11,0.862,1676.0,22,0.874,1698.0,40,0.895,1738.0,17,0.904,1755.0,16,0.913,1771.0,-1771,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
