candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer
"Turkel, Alice L.",13.813,2112.0,21.0,13.95,2133.0,1.0,13.996,2134.0,25.0,14.217,2159.0,23.0,14.418,2182.0,1.0,14.424,2183.0,34.0,14.789,2217.0,8.0,14.842,2225.0,-40.0,14.575,2185.0,0.0,14.865,2185.0,0.0,15.706,2185.0,
"McGovern, Marc C.",11.583,1771.0,30.0,11.779,1801.0,2.0,11.825,1803.0,24.0,12.031,1827.0,33.0,12.29,1860.0,2.0,12.303,1862.0,69.0,12.881,1931.0,3.0,12.901,1934.0,11.0,12.974,1945.0,93.0,13.865,2038.0,628.0,19.163,2666.0,
"Nolan, Patricia M.",13.905,2126.0,20.0,14.035,2146.0,2.0,14.088,2148.0,11.0,14.217,2159.0,29.0,14.458,2188.0,-3.0,14.438,2185.0,0.0,14.575,2185.0,0.0,14.575,2185.0,0.0,14.575,2185.0,0.0,14.865,2185.0,0.0,15.706,2185.0,
"Osborne, Mervan F.",13.506,2065.0,9.0,13.564,2074.0,2.0,13.616,2076.0,36.0,13.908,2112.0,41.0,14.226,2153.0,0.0,14.226,2153.0,68.0,14.816,2221.0,-36.0,14.575,2185.0,0.0,14.575,2185.0,0.0,14.865,2185.0,0.0,15.706,2185.0,
"Harding, Jr., Richard",12.106,1851.0,42.0,12.381,1893.0,2.0,12.429,1895.0,75.0,12.972,1970.0,20.0,13.149,1990.0,0.0,13.149,1990.0,30.0,13.475,2020.0,10.0,13.541,2030.0,6.0,13.581,2036.0,104.0,14.559,2140.0,366.0,18.013,2506.0,
"Stead, Sr., Charles Lewis",1.916,293.0,9.0,1.975,302.0,2.0,1.994,304.0,-304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Forster, Bill",2.158,330.0,12.0,2.237,342.0,2.0,2.256,344.0,21.0,2.404,365.0,-365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Fantini, Alfred B.",15.513,2372.0,-187.0,14.29,2185.0,0.0,14.331,2185.0,0.0,14.388,2185.0,0.0,14.438,2185.0,0.0,14.438,2185.0,0.0,14.575,2185.0,0.0,14.575,2185.0,0.0,14.575,2185.0,0.0,14.865,2185.0,0.0,15.706,2185.0,
"Tauber, Nancy",9.745,1490.0,19.0,9.869,1509.0,0.0,9.897,1509.0,30.0,10.134,1539.0,21.0,10.308,1560.0,0.0,10.308,1560.0,47.0,10.72,1607.0,14.0,10.813,1621.0,20.0,10.947,1641.0,140.0,12.116,1781.0,-1781.0,0.0,0.0,
writeIns,0.379,58.0,0.0,0.379,58.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Holland, John J.",2.538,388.0,18.0,2.655,406.0,1.0,2.669,407.0,9.0,2.739,416.0,31.0,2.954,447.0,0.0,2.954,447.0,-447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Gerber, Joyce C.",2.838,434.0,7.0,2.884,441.0,1.0,2.899,442.0,12.0,2.99,454.0,115.0,3.76,569.0,0.0,3.76,569.0,56.0,4.169,625.0,1.0,4.176,626.0,3.0,4.196,629.0,-629.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,37.0,0.0,0.0,37.0,43.0,0.0,80.0,61.0,0.0,141.0,52.0,0.0,193.0,0.0,0.0,193.0,143.0,0.0,336.0,0.0,0.0,336.0,0.0,0.0,336.0,292.0,0.0,628.0,787.0,0.0,1415.0,
colsum,100.0,15327.0,0.0,99.99799999999999,15327.0,0.0,100.0,15327.0,0.0,100.0,15327.0,0.0,100.001,15327.0,0.0,100.0,15327.0,0.0,100.0,15327.0,0.0,99.998,15327.0,0.0,99.998,15327.0,0.0,100.0,15327.0,0.0,100.00000000000001,15327.0,
