candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer
(undeclared),0.962,148.0,1.0,0.968,149.0,5.0,1.003,154.0,-154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joseph R. Biden,65.655,10105.0,13.0,65.761,10118.0,33.0,66.113,10151.0,12.0,66.669,10163.0,52.0,67.067,10215.0,79.0,67.652,10294.0,187.0,69.045,10481.0,431.0,72.179,10912.0,
Michael R. Bloomberg,1.001,154.0,8.0,1.053,162.0,4.0,1.081,166.0,1.0,1.096,167.0,11.0,1.169,178.0,-178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bernie Sanders,23.91,3680.0,5.0,23.95,3685.0,30.0,24.196,3715.0,14.0,24.462,3729.0,9.0,24.542,3738.0,35.0,24.796,3773.0,49.0,25.178,3822.0,384.0,27.821,4206.0,
Pete Buttigieg,1.91,294.0,5.0,1.943,299.0,15.0,2.045,314.0,8.0,2.112,322.0,33.0,2.331,355.0,27.0,2.511,382.0,-382.0,0.0,0.0,0.0,0.0,0.0,
Elizabeth Warren,4.477,689.0,4.0,4.504,693.0,5.0,4.546,698.0,3.0,4.599,701.0,44.0,4.891,745.0,22.0,5.041,767.0,110.0,5.777,877.0,-877.0,0.0,0.0,
Amy Klobuchar,0.91,140.0,4.0,0.936,144.0,12.0,1.016,156.0,6.0,1.063,162.0,-162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tulsi Gabbard,0.871,134.0,2.0,0.884,136.0,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tom Steyer,0.305,47.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,24.0,5.0,0.0,29.0,32.0,0.0,61.0,110.0,0.0,171.0,13.0,0.0,184.0,15.0,0.0,199.0,36.0,0.0,235.0,62.0,0.0,297.0,
colsum,100.001,15415.0,0.0,99.99900000000001,15415.0,0.0,100.00000000000001,15415.0,0.0,100.001,15415.0,0.0,100.0,15415.0,0.0,100.0,15415.0,0.0,100.0,15415.0,0.0,100.0,15415.0,
