candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer
Vivian Wilder,0.37,130.0,4.0,0.382,134.0,1.0,0.385,135.0,3.0,0.393,138.0,-138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ross Mirkarimi,28.332,9947.0,3.0,28.347,9950.0,2.0,28.363,9952.0,9.0,28.398,9961.0,8.0,28.432,9969.0,27.0,28.552,9996.0,38.0,28.7,10034.0,60.0,28.931,10094.0,64.0,29.192,10158.0,103.0,29.588,10261.0,126.0,30.075,10387.0,85.0,30.567,10472.0,163.0,31.253,10635.0,131.0,31.987,10766.0,180.0,33.008,10946.0,316.0,34.577,11262.0,397.0,36.636,11659.0,262.0,38.764,11921.0,366.0,42.328,12287.0,924.0,50.596,13211.0,
Dan Kalb,3.982,1398.0,2.0,3.988,1400.0,0.0,3.99,1400.0,2.0,3.997,1402.0,10.0,4.027,1412.0,18.0,4.085,1430.0,19.0,4.144,1449.0,17.0,4.202,1466.0,27.0,4.291,1493.0,47.0,4.441,1540.0,42.0,4.581,1582.0,28.0,4.699,1610.0,88.0,4.99,1698.0,41.0,5.167,1739.0,128.0,5.63,1867.0,-1867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jim Siegel,4.386,1540.0,2.0,4.393,1542.0,1.0,4.398,1543.0,5.0,4.413,1548.0,3.0,4.424,1551.0,14.0,4.47,1565.0,43.0,4.599,1608.0,31.0,4.698,1639.0,18.0,4.762,1657.0,86.0,5.026,1743.0,20.0,5.105,1763.0,57.0,5.312,1820.0,46.0,5.484,1866.0,187.0,6.1,2053.0,58.0,6.366,2111.0,73.0,6.705,2184.0,58.0,7.045,2242.0,-2242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Robert Haaland,14.595,5124.0,2.0,14.604,5126.0,4.0,14.62,5130.0,3.0,14.634,5133.0,13.0,14.677,5146.0,34.0,14.796,5180.0,12.0,14.85,5192.0,34.0,14.979,5226.0,28.0,15.099,5254.0,64.0,15.334,5318.0,66.0,15.589,5384.0,77.0,15.94,5461.0,77.0,16.274,5538.0,90.0,16.722,5628.0,112.0,17.309,5740.0,216.0,18.286,5956.0,363.0,19.856,6319.0,90.0,20.84,6409.0,227.0,22.861,6636.0,636.0,27.85,7272.0,
Phoenix Streets,1.871,657.0,1.0,1.875,658.0,2.0,1.881,660.0,6.0,1.899,666.0,7.0,1.919,673.0,26.0,1.997,699.0,15.0,2.042,714.0,17.0,2.095,731.0,21.0,2.161,752.0,19.0,2.223,771.0,-771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Patrick M. Ciocca,0.259,91.0,0.0,0.259,91.0,0.0,0.259,91.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H. Brown,0.162,57.0,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rob Anderson,0.957,336.0,5.0,0.971,341.0,1.0,0.975,342.0,2.0,0.981,344.0,2.0,0.987,346.0,-346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joseph Blue,2.284,802.0,3.0,2.293,805.0,2.0,2.3,807.0,5.0,2.315,812.0,2.0,2.322,814.0,5.0,2.339,819.0,23.0,2.408,842.0,9.0,2.439,851.0,9.0,2.471,860.0,16.0,2.526,876.0,32.0,2.629,908.0,-908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
