raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote,round_7_vote,round_8_vote,round_9_vote,round_10_vote,round_11_vote,round_12_vote,round_13_vote,round_14_vote,round_15_vote,round_16_vote,round_17_vote,round_18_vote,round_19_vote,round_20_vote,round_21_vote,round_22_vote,round_23_vote
Cambridge_11062001_CityCouncil_tab1,"Murphy, Brian",1.0,,1707.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Davis, Henrietta",1.0,,1697.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Galluccio, Anthony D.",1.0,,3212.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Decker, Marjorie C.",7.0,,1525.0,1663.0,1666.0,1674.0,1682.0,1687.0,1698.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Sullivan, Michael A.",10.0,,1297.0,1654.0,1656.0,1662.0,1665.0,1677.0,1685.0,1685.0,1691.0,1707.0,1696.0,1696.0,1696.0,1696.0,1696.0,1696.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Simmons, Denise",14.0,,1327.0,1413.0,1413.0,1419.0,1424.0,1429.0,1437.0,1437.0,1458.0,1525.0,1526.0,1543.0,1684.0,1823.0,1696.0,1696.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Toomey, Timothy J., Jr.",14.0,,1387.0,1590.0,1591.0,1593.0,1595.0,1606.0,1611.0,1612.0,1615.0,1619.0,1623.0,1660.0,1679.0,1712.0,1696.0,1696.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Reeves, Kenneth E.",16.0,,1133.0,1278.0,1282.0,1285.0,1287.0,1296.0,1303.0,1304.0,1312.0,1330.0,1332.0,1355.0,1386.0,1478.0,1553.0,1864.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Maher, David P.",16.0,,1008.0,1409.0,1409.0,1410.0,1415.0,1422.0,1427.0,1427.0,1434.0,1455.0,1458.0,1530.0,1544.0,1621.0,1642.0,1922.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Pitkin, John",,15.0,1084.0,1138.0,1139.0,1145.0,1146.0,1152.0,1167.0,1167.0,1192.0,1203.0,1203.0,1226.0,1316.0,1438.0,1485.0,0.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"King, Ethridge A.",,13.0,370.0,407.0,407.0,409.0,410.0,412.0,418.0,418.0,465.0,475.0,475.0,504.0,581.0,0.0,0.0,0.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Iskovitz, Steve",,12.0,340.0,348.0,351.0,360.0,364.0,367.0,376.0,376.0,411.0,436.0,437.0,451.0,0.0,0.0,0.0,0.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Jens, Steven E.",,11.0,275.0,289.0,290.0,290.0,302.0,303.0,316.0,316.0,320.0,328.0,328.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Hall, Robert L.",,9.0,149.0,180.0,180.0,182.0,186.0,188.0,202.0,202.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Horowitz, Jacob",,8.0,150.0,166.0,167.0,170.0,174.0,176.0,181.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Dixon, Vincent Lawrence",,6.0,87.0,98.0,99.0,101.0,113.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Peixoto, Helder",,5.0,61.0,77.0,77.0,78.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Cambridge_11062001_CityCouncil_tab1,"Condit, James E., III",,4.0,62.0,68.0,68.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
