W-P,First Choice,Second Choice,Third Choice,Count
12-02,ADAM SMITH,XXX,XXX,1.0
13-03,ALEXANDER MATOVSHEK,TOM MATOVSHEK,JOANNE KAUFMAN,1.0
08-05,AND,ANDREW HOPKINS,XXX,1.0
01-09,AND,BER,BUT,1.0
02-03,AND,BER,BUT,1.0
04-03,AND,BER,BUT,2.0
05-01,AND,BER,BUT,2.0
05-03,AND,BER,BUT,1.0
05-05,AND,BER,BUT,1.0
05-06,AND,BER,BUT,1.0
05-10,AND,BER,BUT,1.0
06-04,AND,BER,BUT,1.0
07-06,AND,BER,BUT,2.0
09-08,AND,BER,BUT,1.0
10-04,AND,BER,BUT,1.0
10-05,AND,BER,BUT,1.0
10-10,AND,BER,BUT,1.0
12-06,AND,BER,BUT,1.0
12-09,AND,BER,BUT,1.0
13-05,AND,BER,BUT,1.0
13-06,AND,BER,BUT,1.0
01-07,AND,BER,ERW,1.0
03-01,AND,BER,ERW,1.0
03-07,AND,BER,ERW,1.0
04-01,AND,BER,ERW,1.0
05-01,AND,BER,ERW,1.0
05-04,AND,BER,ERW,1.0
05-05,AND,BER,ERW,1.0
05-08,AND,BER,ERW,1.0
06-02,AND,BER,ERW,1.0
06-04,AND,BER,ERW,1.0
07-07,AND,BER,ERW,1.0
07-08,AND,BER,ERW,2.0
09-10,AND,BER,ERW,1.0
11-04,AND,BER,ERW,1.0
11-06,AND,BER,ERW,1.0
13-08,AND,BER,ERW,1.0
01-02,AND,BER,FIN,1.0
01-06,AND,BER,FIN,1.0
01-07,AND,BER,FIN,1.0
04-09,AND,BER,FIN,1.0
05-01,AND,BER,FIN,2.0
05-03,AND,BER,FIN,2.0
05-04,AND,BER,FIN,1.0
05-05,AND,BER,FIN,1.0
07-02,AND,BER,FIN,1.0
07-08,AND,BER,FIN,1.0
07-10,AND,BER,FIN,2.0
08-02,AND,BER,FIN,2.0
08-05,AND,BER,FIN,1.0
08-10,AND,BER,FIN,1.0
09-02,AND,BER,FIN,1.0
09-05,AND,BER,FIN,1.0
11-02,AND,BER,FIN,1.0
11-06,AND,BER,FIN,1.0
12-03,AND,BER,FIN,1.0
12-04,AND,BER,FIN,1.0
12-05,AND,BER,FIN,1.0
12-10,AND,BER,FIN,1.0
01-03,AND,BER,NOR,1.0
01-09,AND,BER,NOR,1.0
02-01,AND,BER,NOR,1.0
02-02,AND,BER,NOR,1.0
02-05,AND,BER,NOR,1.0
03-07,AND,BER,NOR,1.0
04-03,AND,BER,NOR,1.0
05-01,AND,BER,NOR,1.0
05-04,AND,BER,NOR,1.0
05-10,AND,BER,NOR,1.0
06-08,AND,BER,NOR,1.0
07-07,AND,BER,NOR,1.0
07-08,AND,BER,NOR,1.0
08-05,AND,BER,NOR,1.0
08-10,AND,BER,NOR,1.0
09-07,AND,BER,NOR,1.0
12-01,AND,BER,NOR,1.0
12-08,AND,BER,NOR,1.0
13-01,AND,BER,NOR,1.0
13-01,AND,BER,NOR,2.0
13-08,AND,BER,NOR,1.0
01-02,AND,BER,WAH,1.0
01-08,AND,BER,WAH,1.0
03-03,AND,BER,WAH,1.0
03-04,AND,BER,WAH,1.0
05-01,AND,BER,WAH,1.0
05-01,AND,BER,WAH,1.0
05-06,AND,BER,WAH,1.0
06-07,AND,BER,WAH,1.0
08-01,AND,BER,WAH,1.0
10-06,AND,BER,WAH,1.0
10-08,AND,BER,WAH,1.0
12-01,AND,BER,WAH,1.0
12-04,AND,BER,WAH,1.0
13-04,AND,BER,WAH,1.0
13-06,AND,BER,WAH,1.0
01-01,AND,BER,XXX,1.0
01-03,AND,BER,XXX,1.0
01-09,AND,BER,XXX,1.0
02-05,AND,BER,XXX,1.0
03-05,AND,BER,XXX,1.0
04-04,AND,BER,XXX,1.0
04-05,AND,BER,XXX,1.0
04-07,AND,BER,XXX,1.0
04-08,AND,BER,XXX,2.0
04-09,AND,BER,XXX,1.0
04-10,AND,BER,XXX,1.0
05-01,AND,BER,XXX,1.0
05-04,AND,BER,XXX,1.0
05-07,AND,BER,XXX,1.0
05-08,AND,BER,XXX,2.0
06-02,AND,BER,XXX,1.0
06-06,AND,BER,XXX,1.0
06-07,AND,BER,XXX,1.0
06-08,AND,BER,XXX,1.0
07-01,AND,BER,XXX,1.0
07-06,AND,BER,XXX,1.0
08-02,AND,BER,XXX,1.0
08-08,AND,BER,XXX,1.0
09-02,AND,BER,XXX,1.0
09-07,AND,BER,XXX,1.0
10-04,AND,BER,XXX,1.0
10-09,AND,BER,XXX,1.0
11-01,AND,BER,XXX,1.0
11-06,AND,BER,XXX,1.0
11-09,AND,BER,XXX,1.0
12-11,AND,BER,XXX,1.0
13-08,AND,BER,XXX,1.0
13-09,AND,BER,XXX,1.0
01-01,AND,BER,YOU,1.0
01-02,AND,BER,YOU,3.0
01-03,AND,BER,YOU,1.0
01-04,AND,BER,YOU,3.0
01-05,AND,BER,YOU,2.0
01-06,AND,BER,YOU,4.0
01-07,AND,BER,YOU,1.0
01-08,AND,BER,YOU,2.0
01-09,AND,BER,YOU,1.0
02-02,AND,BER,YOU,1.0
02-06,AND,BER,YOU,2.0
02-08,AND,BER,YOU,1.0
02-09,AND,BER,YOU,1.0
03-03,AND,BER,YOU,1.0
03-05,AND,BER,YOU,1.0
03-06,AND,BER,YOU,4.0
03-07,AND,BER,YOU,2.0
03-09,AND,BER,YOU,1.0
04-01,AND,BER,YOU,1.0
04-02,AND,BER,YOU,2.0
04-03,AND,BER,YOU,4.0
04-04,AND,BER,YOU,3.0
04-05,AND,BER,YOU,1.0
04-06,AND,BER,YOU,2.0
04-07,AND,BER,YOU,4.0
04-08,AND,BER,YOU,1.0
04-09,AND,BER,YOU,3.0
04-10,AND,BER,YOU,1.0
05-01,AND,BER,YOU,3.0
05-02,AND,BER,YOU,4.0
05-03,AND,BER,YOU,2.0
05-04,AND,BER,YOU,4.0
05-05,AND,BER,YOU,4.0
05-07,AND,BER,YOU,1.0
05-08,AND,BER,YOU,4.0
05-09,AND,BER,YOU,1.0
06-02,AND,BER,YOU,3.0
06-04,AND,BER,YOU,4.0
06-06,AND,BER,YOU,1.0
06-07,AND,BER,YOU,1.0
06-08,AND,BER,YOU,1.0
07-03,AND,BER,YOU,3.0
07-05,AND,BER,YOU,2.0
07-06,AND,BER,YOU,1.0
07-07,AND,BER,YOU,3.0
07-08,AND,BER,YOU,4.0
08-01,AND,BER,YOU,2.0
08-02,AND,BER,YOU,2.0
08-05,AND,BER,YOU,2.0
08-08,AND,BER,YOU,2.0
08-09,AND,BER,YOU,1.0
