"condorcet winner: Cheung, Leland","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Cheung, Leland",,6485.00,7020.00,7281.00,6946.00,8212.00,8540.00,8622.00,8115.00,8590.00,7311.00,7122.00,6827.00,8129.00,7285.00,7689.00,8481.00,7236.00,8860.00
"Davis, Henrietta",4597.00,,5738.00,6324.00,5961.00,7124.00,7346.00,7440.00,6901.00,7416.00,6060.00,5950.00,5426.00,6913.00,6196.00,6470.00,7281.00,6163.00,7670.00
"Decker, Marjorie C.",3994.00,4078.00,,5505.00,4929.00,6196.00,6383.00,6438.00,6003.00,6422.00,5095.00,5201.00,4614.00,6065.00,5172.00,5552.00,6292.00,5507.00,6692.00
"Kelley, Craig A.",3059.00,3359.00,3727.00,,3986.00,4867.00,5148.00,5224.00,4888.00,5205.00,4263.00,4004.00,3858.00,4797.00,4107.00,4536.00,5089.00,4216.00,5500.00
"Maher, David P.",4379.00,4625.00,4990.00,5449.00,,6499.00,6743.00,6788.00,6352.00,6791.00,5519.00,5416.00,5034.00,6387.00,5294.00,5943.00,6679.00,5901.00,7039.00
"Marquardt, Charles J.",1529.00,1915.00,2075.00,1910.00,1882.00,,2549.00,2653.00,2348.00,2592.00,2164.00,2080.00,2060.00,2303.00,1984.00,2125.00,2464.00,1988.00,2976.00
"Mello, Gary W.",866.00,1076.00,1100.00,1120.00,1058.00,1059.00,,1563.00,1344.00,1510.00,1213.00,1212.00,1113.00,1339.00,1124.00,1112.00,1375.00,1133.00,1930.00
"Moree, Gregg J.",624.00,745.00,763.00,781.00,725.00,727.00,754.00,,942.00,1042.00,834.00,850.00,757.00,962.00,792.00,753.00,962.00,818.00,1493.00
"Nelson, Matthew P.",1773.00,1974.00,2228.00,2280.00,2175.00,2429.00,2569.00,2660.00,,2840.00,2381.00,2227.00,2178.00,2608.00,2320.00,2260.00,2724.00,2204.00,3235.00
"Pascual, Jamake",664.00,753.00,757.00,861.00,805.00,876.00,894.00,988.00,849.00,,857.00,936.00,748.00,1071.00,891.00,847.00,1056.00,894.00,1556.00
"Reeves, Kenneth E.",3608.00,3956.00,4129.00,4758.00,4283.00,5512.00,5710.00,5799.00,5341.00,5780.00,,4687.00,3832.00,5468.00,4702.00,4984.00,5754.00,4888.00,6102.00
"Seidel, Sam",3173.00,3467.00,4110.00,4354.00,4052.00,5316.00,5599.00,5687.00,5162.00,5664.00,4383.00,,4178.00,5275.00,4729.00,4895.00,5647.00,4565.00,6012.00
"Simmons, E. Denise",4586.00,4666.00,5130.00,5899.00,5473.00,6687.00,6947.00,7019.00,6451.00,6997.00,5344.00,5468.00,,6659.00,5973.00,6085.00,6973.00,5948.00,7290.00
"Stohlman, Jr., Thomas J.",1502.00,1871.00,2155.00,2023.00,2030.00,2247.00,2466.00,2581.00,2286.00,2532.00,2132.00,1976.00,2011.00,,2263.00,2208.00,2602.00,1856.00,3050.00
"Toomey, Jr., Timothy J.",4047.00,4434.00,4594.00,4980.00,4022.00,5498.00,5767.00,5831.00,5383.00,5808.00,4516.00,4680.00,4205.00,5440.00,,5196.00,5817.00,5157.00,6133.00
"Ward, Larry W.",3034.00,3282.00,3636.00,3741.00,3459.00,4194.00,4414.00,4505.00,3981.00,4438.00,3524.00,3514.00,3142.00,4091.00,3656.00,,4479.00,3491.00,4875.00
"Williamson, James M.",931.00,1040.00,1093.00,1117.00,1098.00,1209.00,1307.00,1376.00,1208.00,1311.00,1098.00,1084.00,979.00,1152.00,1067.00,920.00,,954.00,1842.00
"vanBeuzekom, Minka Y.",3020.00,3404.00,3922.00,3928.00,4009.00,4542.00,4778.00,4880.00,4450.00,4803.00,4136.00,3756.00,3755.00,4372.00,4245.00,4273.00,4834.00,,5260.00
writeIns,83.00,98.00,99.00,98.00,91.00,103.00,105.00,105.00,100.00,104.00,98.00,97.00,96.00,105.00,85.00,93.00,105.00,94.00,
