"condorcet winner: Davis, Henrietta","Adkins, Lawrence J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Adkins, Lawrence J.",,1172.00,1011.00,1517.00,1362.00,1219.00,1067.00,1321.00,1089.00,1224.00,1372.00,1279.00,937.00,1027.00,821.00,1165.00,1064.00,985.00,863.00,1179.00,1069.00,1739.00
"Cheung, Leland",3992.00,,2767.00,3987.00,4166.00,3853.00,3268.00,4054.00,3395.00,3907.00,4187.00,4107.00,3498.00,3058.00,2908.00,3714.00,3748.00,3334.00,3312.00,4041.00,3415.00,4480.00
"Davis, Henrietta",7789.00,6972.00,,6976.00,7938.00,7612.00,6576.00,7794.00,6707.00,7708.00,7978.00,7885.00,6556.00,6220.00,5589.00,7416.00,7321.00,6647.00,6566.00,7828.00,6983.00,8168.00
"Decker, Marjorie C.",3071.00,2869.00,2275.00,,3089.00,2956.00,2674.00,3020.00,2683.00,3024.00,3112.00,3093.00,2720.00,2578.00,2372.00,2967.00,2949.00,2768.00,2723.00,3088.00,2816.00,3130.00
"Flanagan, Mark F.",1249.00,943.00,929.00,1559.00,,1321.00,1152.00,1376.00,1060.00,1301.00,1435.00,1354.00,1138.00,1084.00,995.00,1234.00,1038.00,953.00,1066.00,1273.00,1161.00,1767.00
"Glick, Silvia P.",2262.00,1819.00,1419.00,2411.00,2204.00,,1818.00,2318.00,2030.00,2249.00,2474.00,2303.00,2010.00,1766.00,1601.00,2149.00,2174.00,1950.00,1907.00,2302.00,1890.00,2766.00
"Kelley, Craig A.",5329.00,4585.00,3336.00,4978.00,5284.00,5053.00,,5329.00,4360.00,5205.00,5489.00,5393.00,4558.00,4040.00,3887.00,4994.00,4865.00,4264.00,4356.00,5368.00,4696.00,5697.00
"Leavitt, Neal W.",1635.00,1224.00,1083.00,1862.00,1532.00,1352.00,1224.00,,1395.00,1617.00,1826.00,1713.00,1475.00,1240.00,1244.00,1495.00,1497.00,1341.00,1357.00,1663.00,1358.00,2125.00
"Maher, David P.",6109.00,5259.00,3962.00,5626.00,6091.00,5852.00,4679.00,5936.00,,5968.00,6258.00,6161.00,5115.00,4721.00,4343.00,5726.00,5298.00,4570.00,5040.00,6157.00,5596.00,6447.00
"Marquardt, Charles J.",2071.00,1722.00,1574.00,2250.00,2018.00,1784.00,1574.00,1917.00,1693.00,,2249.00,2151.00,1867.00,1728.00,1660.00,1988.00,1858.00,1661.00,1786.00,2127.00,1787.00,2518.00
"Moree, Gregg J.",831.00,674.00,649.00,1134.00,753.00,711.00,658.00,729.00,568.00,669.00,,875.00,722.00,763.00,678.00,861.00,696.00,630.00,683.00,863.00,822.00,1277.00
"Podgers, Kathy",1280.00,943.00,824.00,1467.00,1155.00,1011.00,1008.00,1154.00,1005.00,1076.00,1230.00,,1079.00,1072.00,887.00,1268.00,1131.00,1007.00,1053.00,1287.00,1097.00,1679.00
"Reeves, Kenneth E.",5442.00,5008.00,3813.00,4794.00,5427.00,5223.00,4595.00,5355.00,4438.00,5329.00,5507.00,5430.00,,4498.00,3361.00,5319.00,5047.00,4398.00,4566.00,5499.00,5049.00,5746.00
"Seidel, Sam",6025.00,5131.00,3586.00,5356.00,5994.00,5649.00,4371.00,5821.00,4739.00,5756.00,6055.00,5963.00,4900.00,,4210.00,5593.00,5673.00,5107.00,4899.00,6040.00,5213.00,6320.00
"Simmons, E. Denise",7707.00,6844.00,5158.00,6781.00,7680.00,7355.00,6361.00,7535.00,6542.00,7501.00,7762.00,7666.00,6169.00,5957.00,,7351.00,7321.00,6696.00,6628.00,7729.00,6957.00,7970.00
"Stohlman, Jr., Thomas J.",2621.00,1981.00,1696.00,2661.00,2580.00,2355.00,1905.00,2456.00,1971.00,2378.00,2580.00,2494.00,2267.00,1757.00,1794.00,,2451.00,2241.00,2172.00,2654.00,2254.00,2990.00
"Sullivan, Edward J.",3865.00,3520.00,3264.00,3759.00,3838.00,3714.00,3409.00,3781.00,2808.00,3588.00,3850.00,3771.00,3189.00,3383.00,3023.00,3626.00,,2630.00,3473.00,3941.00,3714.00,4202.00
