"condorcet winner: Siddiqui, Sumbul","Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.",writeIns
"Benjamin, Ronald",,1775.00,1433.00,1701.00,1331.00,1478.00,1432.00,1483.00,1879.00,1781.00,1391.00,1303.00,1850.00,1541.00,1485.00,1667.00,1630.00,1142.00,995.00,1360.00,1703.00,1401.00,1480.00,1408.00,1551.00,1356.00,2159.00
"Burgin, Josh M.",2066.00,,1785.00,2162.00,1695.00,1933.00,1967.00,1820.00,2350.00,2235.00,1735.00,1607.00,2330.00,1937.00,1973.00,2080.00,2104.00,1588.00,1481.00,1831.00,2174.00,1751.00,1836.00,1779.00,2039.00,1739.00,2620.00
"Carlone, Dennis J.",8649.00,8536.00,,8416.00,5369.00,7955.00,8053.00,7454.00,8928.00,8702.00,7328.00,6385.00,8904.00,8106.00,8184.00,8655.00,8530.00,5454.00,6262.00,6731.00,8797.00,7701.00,8111.00,7677.00,8440.00,5973.00,9113.00
"D'Ambrosio, Olivia",3110.00,3076.00,1994.00,,1824.00,2812.00,2979.00,2753.00,3381.00,3222.00,2450.00,2339.00,3365.00,2689.00,2618.00,3119.00,3101.00,1679.00,2172.00,2267.00,3194.00,2690.00,2954.00,2845.00,2764.00,2049.00,3626.00
"Devereux, Jan",10106.00,9964.00,7217.00,9646.00,,9298.00,9475.00,8879.00,10340.00,10111.00,8459.00,7885.00,10358.00,9477.00,9469.00,10086.00,10017.00,6568.00,7510.00,8143.00,10219.00,9171.00,9528.00,9241.00,9770.00,7346.00,10535.00
"Gebru, Samuel",5694.00,5622.00,4460.00,5417.00,4201.00,,5225.00,5093.00,5965.00,5802.00,4177.00,3761.00,5942.00,4725.00,5251.00,5709.00,5676.00,3621.00,3692.00,4512.00,5837.00,4521.00,5375.00,5376.00,5525.00,4366.00,6186.00
"Harding, Jr., Richard",5453.00,5381.00,4403.00,5294.00,4263.00,4624.00,,4813.00,5797.00,5615.00,4455.00,4016.00,5781.00,5118.00,5192.00,5508.00,5431.00,3859.00,3312.00,4623.00,5617.00,4635.00,4839.00,4605.00,5391.00,4548.00,6003.00
"Kelley, Craig A.",6716.00,6538.00,4920.00,6465.00,4620.00,5894.00,5978.00,,6943.00,6723.00,5285.00,4487.00,6936.00,5962.00,6346.00,6727.00,6654.00,4801.00,4285.00,5703.00,6791.00,5532.00,5916.00,5448.00,6574.00,5396.00,7126.00
"Lenke, Dan",758.00,718.00,550.00,675.00,520.00,633.00,607.00,561.00,,910.00,729.00,629.00,1000.00,782.00,747.00,824.00,810.00,594.00,514.00,682.00,829.00,676.00,728.00,644.00,745.00,650.00,1297.00
"Levy, Ilan",1957.00,1914.00,1392.00,1774.00,1279.00,1634.00,1664.00,1603.00,1968.00,,1666.00,1506.00,2224.00,1847.00,1795.00,1984.00,1927.00,1306.00,1440.00,1546.00,2050.00,1728.00,1794.00,1650.00,1848.00,1412.00,2472.00
"Mallon, Alanna M.",8120.00,7960.00,6529.00,7636.00,5947.00,6959.00,7327.00,6889.00,8187.00,7964.00,,5663.00,8336.00,6872.00,7554.00,8076.00,8029.00,5581.00,5566.00,6741.00,8251.00,6578.00,7399.00,7414.00,7812.00,6557.00,8535.00
"McGovern, Marc C.",10448.00,10263.00,8173.00,10178.00,7581.00,9229.00,9290.00,8690.00,10561.00,10322.00,8274.00,,10658.00,9521.00,9949.00,10441.00,10340.00,7636.00,7139.00,8895.00,10556.00,9006.00,9533.00,9135.00,10235.00,8518.00,10835.00
"Moree, Gregg J.",848.00,804.00,604.00,779.00,578.00,699.00,642.00,577.00,819.00,737.00,579.00,511.00,,810.00,823.00,895.00,882.00,654.00,522.00,752.00,905.00,729.00,756.00,671.00,823.00,718.00,1318.00
"Musgrave, Adriane B.",5003.00,4868.00,3803.00,4587.00,3374.00,4019.00,4487.00,4226.00,5048.00,4871.00,3239.00,3005.00,5036.00,,4526.00,4968.00,4953.00,3290.00,3134.00,3962.00,5119.00,4070.00,4633.00,4609.00,4681.00,3840.00,5416.00
"Okamoto, Nadya T.",4421.00,4340.00,3375.00,3946.00,2979.00,3676.00,3907.00,3790.00,4508.00,4320.00,3279.00,3236.00,4499.00,3620.00,,4374.00,4373.00,2646.00,2996.00,3287.00,4512.00,3905.00,4137.00,4057.00,4169.00,3232.00,4869.00
"Pillai, Hari I.",1816.00,1769.00,1318.00,1650.00,1161.00,1370.00,1559.00,1480.00,1874.00,1739.00,1253.00,1210.00,1847.00,1399.00,1303.00,,1774.00,1072.00,1143.00,1383.00,1890.00,1568.00,1702.00,1628.00,1691.00,1316.00,2252.00
"Santos, Jeff",2656.00,2559.00,1691.00,2449.00,1586.00,2228.00,2209.00,2116.00,2692.00,2484.00,2041.00,1760.00,2673.00,2213.00,2205.00,2462.00,,1513.00,1783.00,1860.00,2679.00,2217.00,2362.00,2152.00,2519.00,1800.00,3056.00
"Siddiqui, Sumbul",11520.00,11399.00,8973.00,11093.00,8405.00,10271.00,10656.00,10237.00,11617.00,11325.00,9290.00,8840.00,11584.00,10395.00,10718.00,11325.00,11248.00,,8990.00,9875.00,11638.00,10303.00,10856.00,10813.00,11299.00,8883.00,11867.00
"Simmons, E. Denise",11370.00,11225.00,9589.00,11027.00,8970.00,10026.00,10222.00,9896.00,11528.00,11288.00,9311.00,8160.00,11495.00,10140.00,10622.00,11254.00,11183.00,8359.00,,9859.00,11497.00,9994.00,10558.00,10221.00,11113.00,9625.00,11710.00
"Sivongxay, Vatsady",7547.00,7457.00,5222.00,7043.00,4699.00,6536.00,6886.00,6622.00,7616.00,7369.00,6021.00,5646.00,7610.00,6628.00,6703.00,7320.00,7220.00,3369.00,5596.00,,7629.00,6740.00,7162.00,7116.00,7289.00,4936.00,7899.00
"Sutton, Bryan",1293.00,1227.00,846.00,1139.00,817.00,1064.00,1114.00,960.00,1327.00,1176.00,919.00,800.00,1302.00,958.00,970.00,1093.00,1046.00,703.00,693.00,834.00,,1063.00,1157.00,1042.00,1199.00,946.00,1675.00
"Tierney, Sean",6572.00,6397.00,5246.00,6314.00,4990.00,5496.00,5824.00,5474.00,6638.00,6442.00,4709.00,4138.00,6593.00,5278.00,6033.00,6359.00,6301.00,4421.00,4261.00,5394.00,6450.00,,5698.00,5627.00,6368.00,5357.00,6900.00
