"condorcet winner: Simmons, E. Denise","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Benzan, Dennis A.",,5859.00,4905.00,6113.00,6869.00,6075.00,6901.00,6128.00,6902.00,5308.00,6795.00,4889.00,6737.00,5324.00,4662.00,6823.00,6844.00,6875.00,4040.00,5392.00,6372.00,6805.00,5753.00,7132.00
"Carlone, Dennis J.",4732.00,,4807.00,4790.00,6123.00,5243.00,6145.00,4670.00,6176.00,4887.00,6005.00,4948.00,6049.00,4085.00,4778.00,6054.00,6108.00,6118.00,4523.00,5143.00,5486.00,6020.00,5057.00,6399.00
"Cheung, Leland",5751.00,6407.00,,6946.00,7760.00,6810.00,7793.00,6788.00,7807.00,5963.00,7667.00,5836.00,7598.00,5994.00,5608.00,7705.00,7750.00,7766.00,5207.00,6331.00,7214.00,7698.00,6429.00,8000.00
"Connolly, Mike",4548.00,3602.00,4357.00,,5427.00,4505.00,5450.00,4008.00,5463.00,4603.00,5310.00,4735.00,5356.00,3572.00,4469.00,5337.00,5373.00,5396.00,4328.00,4746.00,4741.00,5314.00,4397.00,5729.00
"Courtney, Kim",1048.00,1010.00,890.00,926.00,,1153.00,1467.00,1108.00,1426.00,1102.00,1338.00,1081.00,1349.00,882.00,1092.00,1335.00,1360.00,1401.00,905.00,1107.00,1154.00,1297.00,966.00,1719.00
"Davidson, Mariko",4067.00,3770.00,3695.00,3642.00,4664.00,,4946.00,3969.00,4939.00,4042.00,4778.00,4256.00,4910.00,2942.00,3896.00,4835.00,4904.00,4895.00,3817.00,4418.00,4246.00,4830.00,3814.00,5224.00
"Degoes, Jr., Plinio T.",795.00,745.00,687.00,654.00,876.00,622.00,,857.00,1147.00,862.00,1070.00,866.00,1127.00,628.00,837.00,1068.00,1085.00,1107.00,726.00,897.00,844.00,1035.00,754.00,1451.00
"Devereux, Jan",4835.00,3847.00,4462.00,4024.00,5324.00,4475.00,5404.00,,5578.00,4663.00,5469.00,4796.00,5515.00,3841.00,4660.00,5506.00,5560.00,5563.00,4564.00,5136.00,4893.00,5495.00,4527.00,5878.00
"Dietrich, Xavier",687.00,655.00,617.00,634.00,620.00,652.00,809.00,633.00,,774.00,950.00,724.00,970.00,605.00,750.00,908.00,955.00,967.00,629.00,763.00,798.00,891.00,707.00,1283.00
"Kelley, Craig A.",4829.00,5317.00,4327.00,5661.00,6495.00,5741.00,6527.00,5677.00,6530.00,,6522.00,4740.00,6471.00,5179.00,4617.00,6559.00,6584.00,6604.00,4397.00,5291.00,6162.00,6566.00,5500.00,6824.00
"Levy, Ilan S.",1303.00,1131.00,1201.00,1064.00,1479.00,1152.00,1486.00,1089.00,1484.00,1241.00,,1374.00,1664.00,1030.00,1346.00,1592.00,1659.00,1668.00,1213.00,1363.00,1345.00,1553.00,1234.00,1968.00
"Maher, David P.",5386.00,6206.00,4890.00,6546.00,7147.00,6531.00,7202.00,6420.00,7196.00,5384.00,7106.00,,7080.00,5996.00,5286.00,7220.00,7232.00,7268.00,4900.00,5699.00,6918.00,7220.00,6244.00,7455.00
"Mahoney, Jr., Paul F.",1292.00,1448.00,1246.00,1387.00,1637.00,1473.00,1658.00,1433.00,1637.00,1289.00,1568.00,1010.00,,1447.00,1342.00,1740.00,1750.00,1785.00,1231.00,1197.00,1612.00,1725.00,1481.00,2051.00
"Mazen, Nadeem A.",6783.00,6043.00,6400.00,6447.00,8057.00,6907.00,8089.00,6351.00,8118.00,6645.00,7932.00,6814.00,8008.00,,6885.00,8150.00,8165.00,8230.00,6413.00,7362.00,7607.00,8134.00,6980.00,8381.00
"McGovern, Marc C.",5576.00,6194.00,5151.00,6492.00,7369.00,6577.00,7426.00,6472.00,7425.00,5568.00,7296.00,5096.00,7155.00,5548.00,,7483.00,7470.00,7510.00,5123.00,6060.00,6981.00,7437.00,6364.00,7698.00
"Mello, Gary W.",931.00,913.00,846.00,904.00,1087.00,939.00,1138.00,920.00,1117.00,841.00,1045.00,833.00,1037.00,722.00,816.00,,1254.00,1292.00,851.00,979.00,1105.00,1172.00,954.00,1534.00
"Moree, Gregg J.",774.00,865.00,690.00,891.00,1073.00,867.00,1098.00,876.00,1087.00,725.00,1046.00,673.00,983.00,692.00,687.00,930.00,,1186.00,679.00,848.00,1048.00,1143.00,893.00,1460.00
"Sanzone, John",712.00,701.00,646.00,725.00,878.00,654.00,897.00,698.00,892.00,679.00,839.00,639.00,831.00,462.00,620.00,751.00,796.00,,662.00,757.00,795.00,947.00,756.00,1266.00
"Simmons, E. Denise",6548.00,7241.00,6070.00,7407.00,8382.00,7408.00,8429.00,7405.00,8454.00,6647.00,8319.00,6321.00,8278.00,6531.00,5867.00,8385.00,8374.00,8426.00,,7207.00,7885.00,8467.00,7242.00,8646.00
"Toomey, Jr., Timothy J.",4334.00,5324.00,4150.00,5515.00,5981.00,5444.00,6016.00,5578.00,6011.00,4462.00,5913.00,3728.00,5708.00,4890.00,4097.00,5916.00,5937.00,5966.00,3575.00,,5824.00,6038.00,5324.00,6242.00
"Waite, Romaine",3311.00,2416.00,3300.00,2339.00,3784.00,2610.00,3852.00,2407.00,3816.00,3362.00,3676.00,3431.00,3790.00,1507.00,3236.00,3732.00,3781.00,3785.00,3035.00,3511.00,,3879.00,3003.00,4193.00
"Williamson, James M.",969.00,884.00,895.00,866.00,1142.00,921.00,1168.00,869.00,1168.00,907.00,1080.00,909.00,1144.00,666.00,866.00,1058.00,1110.00,1135.00,748.00,921.00,846.00,,750.00,1551.00
"vanBeuzekom, Minka Y.",4737.00,4373.00,4266.00,4488.00,5685.00,4580.00,5730.00,4442.00,5744.00,4481.00,5567.00,4777.00,5670.00,3766.00,4357.00,5614.00,5660.00,5698.00,4114.00,5059.00,5091.00,5768.00,,6059.00
writeIns,101.00,99.00,93.00,95.00,119.00,93.00,123.00,97.00,119.00,100.00,116.00,98.00,114.00,77.00,93.00,119.00,124.00,120.00,89.00,99.00,99.00,123.00,99.00,
