"condorcet winner: Davis, Henrietta","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Janik, Jonathan S.","Kelley, Craig A.","Maher, David P.","Moore, M. Kevin","Moree, Gregg J.","Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Ward, Larry W.",writeIns
"Davis, Henrietta",,5184.00,6381.00,6640.00,5696.00,5941.00,6565.00,6886.00,5176.00,6831.00,5752.00,5379.00,4998.00,6340.00,5903.00,5849.00,7165.00
"Decker, Marjorie C.",3792.00,,5774.00,6092.00,5176.00,5229.00,6002.00,6300.00,4761.00,6275.00,5137.00,4994.00,4481.00,5645.00,5182.00,5351.00,6602.00
"Galluccio, Anthony D.",2523.00,2530.00,,3467.00,3119.00,2820.00,3317.00,3539.00,2943.00,3517.00,2680.00,3133.00,2639.00,2850.00,2400.00,3112.00,3853.00
"Janik, Jonathan S.",1226.00,1461.00,2032.00,,1613.00,1881.00,2132.00,2316.00,1486.00,2232.00,1944.00,1383.00,1444.00,1986.00,1793.00,1606.00,2709.00
"Kelley, Craig A.",3031.00,3354.00,4241.00,4486.00,,3994.00,4664.00,4912.00,3514.00,4861.00,4165.00,3713.00,3538.00,4392.00,3978.00,4062.00,5247.00
"Maher, David P.",3645.00,3964.00,4562.00,5095.00,4207.00,,5193.00,5447.00,4171.00,5411.00,4585.00,4449.00,4121.00,4611.00,4079.00,4735.00,5761.00
"Moore, M. Kevin",1663.00,1713.00,2090.00,2119.00,1809.00,1799.00,,2475.00,1883.00,2385.00,1777.00,1915.00,1501.00,2081.00,1886.00,1763.00,2814.00
"Moree, Gregg J.",841.00,841.00,990.00,1027.00,854.00,819.00,906.00,,975.00,1205.00,988.00,1018.00,873.00,995.00,853.00,949.00,1694.00
"Murphy, Brian",3662.00,4086.00,5214.00,5477.00,4424.00,4522.00,5481.00,5778.00,,5860.00,5033.00,4566.00,4355.00,5257.00,4856.00,4973.00,6194.00
"Podgers, Kathy",783.00,860.00,1177.00,1165.00,987.00,976.00,1083.00,1289.00,930.00,,1098.00,1092.00,889.00,1182.00,1039.00,1100.00,1831.00
"Reeves, Kenneth E.",3287.00,3312.00,4125.00,4446.00,3904.00,3797.00,4354.00,4628.00,3567.00,4618.00,,4029.00,3353.00,4243.00,3818.00,4104.00,5015.00
"Seidel, Sam",3155.00,3560.00,4659.00,4610.00,3702.00,4125.00,4591.00,4842.00,3371.00,4766.00,4233.00,,3699.00,4685.00,4384.00,4153.00,5323.00
"Simmons, E. Denise",4022.00,4469.00,5816.00,6065.00,5039.00,5307.00,5976.00,6365.00,4580.00,6292.00,4948.00,4852.00,,5960.00,5487.00,5428.00,6692.00
"Sullivan, Edward J.",3054.00,3031.00,3192.00,3545.00,3166.00,2573.00,3416.00,3654.00,3067.00,3631.00,3062.00,3215.00,2896.00,,2606.00,3423.00,4101.00
"Toomey, Timothy J., Jr.",3939.00,4055.00,4468.00,4982.00,4303.00,3797.00,4862.00,5154.00,4097.00,5137.00,4172.00,4386.00,3875.00,4127.00,,4701.00,5500.00
"Ward, Larry W.",2695.00,2996.00,3797.00,3702.00,3102.00,3428.00,3614.00,4035.00,2896.00,3947.00,3295.00,2718.00,2527.00,3631.00,3400.00,,4420.00
writeIns,68.00,76.00,81.00,81.00,72.00,85.00,81.00,88.00,82.00,86.00,78.00,68.00,71.00,84.00,78.00,69.00,
