C:\Cambridge\Election2009\Council\Final\Council Detail Report (Delimited)
10|November 13, 2009 -- Cambridge, MA
10|City Council Election
10|Cambridge, Massachusetts
10|Final Election Results
20|C01|"Adkins, Lawrence J."
20|C02|"Cheung, Leland"
20|C03|"Davis, Henrietta"
20|C04|"Flanagan, Mark F."
20|C05|"Glick, Silvia P."
20|C06|"Kelley, Craig A."
20|C07|"Leavitt, Neal W."
20|C08|"Maher, David P."
20|C09|"Marquardt, Charles J."
20|C10|"Moree, Gregg J."
20|C11|"Podgers, Kathy"
20|C12|"Reeves, Kenneth E."
20|C13|"Seidel, Sam"
20|C14|"Simmons, E. Denise"
20|C15|"Stohlman, Jr., Thomas J."
20|C16|"Sullivan, Edward J."
20|C17|"Toomey, Jr., Timothy J."
20|C18|"vanBeuzekom, Minka Y."
20|C19|"Ward, Larry W."
20|C20|"Williamson, James M."
20|WI01|"Decker, Marjorie C."
20|WI02|"Write-In 2"
20|WI03|"Write-In 3"
20|WI04|"Write-In 4"
20|WI05|"Write-In 5"
20|WI06|"Write-In 6"
20|WI07|"Write-In 7"
20|WI08|"Write-In 8"
20|WI09|"Write-In 9"
30|system|Proportional Representation
30|threshold|Droop
30|surplusTransfers|Random, every nth ballot (Cambridge style)|Avoid exhausted ballots if possible|Elected immediately (after the 1st count)
30|ties|1) Previous Count method|2) By election official|3) Random (by computer)
40|15955|15955|9|1596|118
50|1|Tally of 1st place votes.
60|C03|+1858|1858|ELECTED -- 1st count
60|C14|+1785|1785|ELECTED -- 1st count
60|C17|+1748|1748|ELECTED -- 1st count
60|C08|+1286|1286|CONTINUING
60|WI01|+1285|1285|CONTINUING
60|C06|+1250|1250|CONTINUING
60|C12|+1166|1166|CONTINUING
60|C13|+900|900|CONTINUING
60|C16|+885|885|CONTINUING
60|C02|+756|756|CONTINUING
60|C19|+736|736|CONTINUING
60|C18|+682|682|CONTINUING
60|C09|+385|385|CONTINUING
60|C15|+378|378|CONTINUING
60|C05|+256|256|CONTINUING
60|C07|+136|136|CONTINUING
60|C04|+112|112|CONTINUING
60|C01|+103|103|CONTINUING
60|C20|+90|90|CONTINUING
60|C11|+78|78|CONTINUING
60|C10|+47|47|CONTINUING
60|WI02|+18|18|CONTINUING
60|WI03|+13|13|CONTINUING
60|WI06|+2|2|CONTINUING
60|WI04|0|0|CONTINUING
60|WI07|0|0|CONTINUING
60|WI08|0|0|CONTINUING
60|WI09|0|0|CONTINUING
60|WI05|0|0|CONTINUING
60|CAND_EXHAUSTED|0|0|
70|Davis, Henrietta has been ELECTED because s/he has met the quota.
