C:\Cambridge\Election2011\Council\Final\Council Detail Report


November 18, 2011 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

CANDIDATES:
	Cheung, Leland
	Davis, Henrietta
	Decker, Marjorie C.
	Kelley, Craig A.
	Maher, David P.
	Marquardt, Charles J.
	Mello, Gary W.
	Moree, Gregg J.
	Nelson, Matthew P.
	Pascual, Jamake
	Reeves, Kenneth E.
	Seidel, Sam
	Simmons, E. Denise
	Stohlman, Jr., Thomas J.
	Toomey, Jr., Timothy J.
	vanBeuzekom, Minka Y.
	Ward, Larry W.
	Williamson, James M.
	Write-In 1
	Write-In 2
	Write-In 3
	Write-In 4
	Write-In 5
	Write-In 6
	Write-In 7
	Write-In 8
	Write-In 9

ELECTION RULES:
               System:  Proportional Representation
           Quota Type:  Droop
    Surplus Transfers:  Random, every nth ballot (Cambridge style)
                        Avoid exhausted ballots if possible
                        Elected immediately (after the 1st count)
    Simultaneous Drop:  Those with less than 50 votes
                 Ties:  1) Previous Count method
                        2) By election official
                        3) Random (by computer)

--------------------------------------------------
15,845 valid ballots.
Electing 9 candidates.
Quota is 1585 votes.
There were 126 invalid ballots.
(15,971 total ballots processed.)
--------------------------------------------------



********************************************************************************


COUNT 1 -- Tally of 1st place votes.

CANDIDATE                   THIS COUNT          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Cheung, Leland                   +2017           2017  ELECTED -- 1st count
Toomey, Jr., Timothy J.          +1705           1705  ELECTED -- 1st count
Maher, David P.                  +1686           1686  ELECTED -- 1st count
Davis, Henrietta                 +1436           1436  CONTINUING
Simmons, E. Denise               +1266           1266  CONTINUING
Decker, Marjorie C.              +1123           1123  CONTINUING
Kelley, Craig A.                 +1098           1098  CONTINUING
vanBeuzekom, Minka Y.            +1038           1038  CONTINUING
Reeves, Kenneth E.               +1013           1013  CONTINUING
Ward, Larry W.                    +835            835  CONTINUING
Seidel, Sam                       +788            788  CONTINUING
Nelson, Matthew P.                +542            542  CONTINUING
Marquardt, Charles J.             +501            501  CONTINUING
Stohlman, Jr., Thomas .           +344            344  CONTINUING
Williamson, James M.              +175            175  CONTINUING
Mello, Gary W.                    +135            135  CONTINUING
Pascual, Jamake                    +63             63  CONTINUING
Moree, Gregg J.                    +56             56  CONTINUING
Write-In 1                         +15             15  CONTINUING
Write-In 2                          +9              9  CONTINUING
Write-In 3                           0              0  CONTINUING
Write-In 4                           0              0  CONTINUING
Write-In 5                           0              0  CONTINUING
Write-In 6                           0              0  CONTINUING
Write-In 7                           0              0  CONTINUING
Write-In 8                           0              0  CONTINUING
Write-In 9                           0              0  CONTINUING

EXHAUSTED PILE:                      0              0  
TOTALS:                         +15845          15845  



-- Cheung, Leland has been ELECTED because s/he has met the quota.
-- Toomey, Jr., Timothy J. has been ELECTED because s/he has met the quota.
-- Maher, David P. has been ELECTED because s/he has met the quota.


********************************************************************************


COUNT 2 -- Cheung, Leland has been ELECTED -- transferring surplus votes.

CANDIDATE                   THIS COUNT          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Cheung, Leland                    -432           1585  ELECTED -- 1st count
Toomey, Jr., Timothy J.              0           1705  ELECTED -- 1st count
Maher, David P.                      0           1686  ELECTED -- 1st count
Davis, Henrietta                   +91           1527  CONTINUING
Simmons, E. Denise                 +37           1303  CONTINUING
Decker, Marjorie C.                +47           1170  CONTINUING
Kelley, Craig A.                   +51           1149  CONTINUING
vanBeuzekom, Minka Y.              +56           1094  CONTINUING
Reeves, Kenneth E.                 +28           1041  CONTINUING
Ward, Larry W.                     +19            854  CONTINUING
Seidel, Sam                        +48            836  CONTINUING
Nelson, Matthew P.                 +12            554  CONTINUING
Marquardt, Charles J.              +19            520  CONTINUING
Stohlman, Jr., Thomas .            +16            360  CONTINUING
Williamson, James M.                +1            176  CONTINUING
Mello, Gary W.                      +4            139  CONTINUING
Pascual, Jamake                     +1             64  CONTINUING
Moree, Gregg J.                     +2             58  CONTINUING
Write-In 1                           0             15  CONTINUING
Write-In 2                           0              9  CONTINUING
Write-In 3                           0              0  CONTINUING
Write-In 4                           0              0  CONTINUING
Write-In 5                           0              0  CONTINUING
Write-In 6                           0              0  CONTINUING
Write-In 7                           0              0  CONTINUING
Write-In 8                           0              0  CONTINUING
Write-In 9                           0              0  CONTINUING

EXHAUSTED PILE:                      0              0  
TOTALS:                              0          15845  





********************************************************************************


COUNT 3 -- Toomey, Jr., Timothy J. has been ELECTED -- transferring surplus
           votes.

