C:\Cambridge\Election2011\Council\Final\Council Detail Report (Delimited)
10|November 18, 2011 -- Cambridge, MA
10|City Council Election
10|Cambridge, Massachusetts
10|Final Election Results
20|C01|"Cheung, Leland"
20|C02|"Davis, Henrietta"
20|C03|"Decker, Marjorie C."
20|C04|"Kelley, Craig A."
20|C05|"Maher, David P."
20|C06|"Marquardt, Charles J."
20|C07|"Mello, Gary W."
20|C08|"Moree, Gregg J."
20|C09|"Nelson, Matthew P."
20|C10|"Pascual, Jamake"
20|C11|"Reeves, Kenneth E."
20|C12|"Seidel, Sam"
20|C13|"Simmons, E. Denise"
20|C14|"Stohlman, Jr., Thomas J."
20|C15|"Toomey, Jr., Timothy J."
20|C16|"vanBeuzekom, Minka Y."
20|C17|"Ward, Larry W."
20|C18|"Williamson, James M."
20|WI01|"Write-In 1"
20|WI02|"Write-In 2"
20|WI03|"Write-In 3"
20|WI04|"Write-In 4"
20|WI05|"Write-In 5"
20|WI06|"Write-In 6"
20|WI07|"Write-In 7"
20|WI08|"Write-In 8"
20|WI09|"Write-In 9"
30|system|Proportional Representation
30|threshold|Droop
30|surplusTransfers|Random, every nth ballot (Cambridge style)|Avoid exhausted ballots if possible|Elected immediately (after the 1st count)
30|ties|1) Previous Count method|2) By election official|3) Random (by computer)
40|15845|15845|9|1585|126
50|1|Tally of 1st place votes.
60|C01|+2017|2017|ELECTED -- 1st count
60|C15|+1705|1705|ELECTED -- 1st count
60|C05|+1686|1686|ELECTED -- 1st count
60|C02|+1436|1436|CONTINUING
60|C13|+1266|1266|CONTINUING
60|C03|+1123|1123|CONTINUING
60|C04|+1098|1098|CONTINUING
60|C16|+1038|1038|CONTINUING
60|C11|+1013|1013|CONTINUING
60|C17|+835|835|CONTINUING
60|C12|+788|788|CONTINUING
60|C09|+542|542|CONTINUING
60|C06|+501|501|CONTINUING
60|C14|+344|344|CONTINUING
60|C18|+175|175|CONTINUING
60|C07|+135|135|CONTINUING
60|C10|+63|63|CONTINUING
60|C08|+56|56|CONTINUING
60|WI01|+15|15|CONTINUING
60|WI02|+9|9|CONTINUING
60|WI03|0|0|CONTINUING
60|WI04|0|0|CONTINUING
60|WI05|0|0|CONTINUING
60|WI06|0|0|CONTINUING
60|WI07|0|0|CONTINUING
60|WI08|0|0|CONTINUING
60|WI09|0|0|CONTINUING
60|CAND_EXHAUSTED|0|0|
70|Cheung, Leland has been ELECTED because s/he has met the quota.
70|Toomey, Jr., Timothy J. has been ELECTED because s/he has met the quota.
70|Maher, David P. has been ELECTED because s/he has met the quota.
50|2|Cheung, Leland has been ELECTED -- transferring surplus votes.
60|C01|-432|1585|ELECTED -- 1st count
60|C15|0|1705|ELECTED -- 1st count
60|C05|0|1686|ELECTED -- 1st count
60|C02|+91|1527|CONTINUING
60|C13|+37|1303|CONTINUING
60|C03|+47|1170|CONTINUING
