candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer
"Murphy, Brian",7.703,1236.0,14.0,7.79,1250.0,1.0,7.801,1251.0,1.0,7.809,1252.0,2.0,7.828,1254.0,8.0,7.886,1262.0,5.0,7.931,1267.0,1.0,7.937,1268.0,7.0,7.993,1275.0,17.0,8.134,1292.0,0.0,8.134,1292.0,88.0,8.729,1380.0,8.0,8.779,1388.0,174.0,10.055,1562.0,66.0,10.48,1628.0,-23.0,10.332,1605.0,0.0,10.657,1605.0,
writeIns,0.093,15.0,1.0,0.1,16.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Adkins, Lawrence J.",1.508,242.0,3.0,1.527,245.0,0.0,1.528,245.0,2.0,1.541,247.0,3.0,1.561,250.0,4.0,1.587,254.0,3.0,1.609,257.0,0.0,1.609,257.0,-257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",6.488,1041.0,16.0,6.587,1057.0,0.0,6.591,1057.0,0.0,6.593,1057.0,5.0,6.629,1062.0,15.0,6.73,1077.0,14.0,6.829,1091.0,0.0,6.829,1091.0,25.0,6.996,1116.0,53.0,7.36,1169.0,0.0,7.36,1169.0,111.0,8.096,1280.0,4.0,8.121,1284.0,65.0,8.684,1349.0,35.0,8.909,1384.0,10.0,8.973,1394.0,599.0,13.234,1993.0,
"Sullivan, Michael A.",9.111,1462.0,120.0,9.859,1582.0,0.0,9.865,1582.0,3.0,9.886,1585.0,5.0,9.925,1590.0,8.0,9.986,1598.0,11.0,10.072,1609.0,-4.0,10.047,1605.0,0.0,10.061,1605.0,0.0,10.105,1605.0,0.0,10.105,1605.0,0.0,10.152,1605.0,0.0,10.152,1605.0,0.0,10.332,1605.0,0.0,10.332,1605.0,0.0,10.332,1605.0,0.0,10.657,1605.0,
"Hall, Robert Lee, Sr.",0.461,74.0,0.0,0.461,74.0,0.0,0.461,74.0,2.0,0.474,76.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Reeves, Kenneth E.",7.51,1205.0,30.0,7.697,1235.0,1.0,7.707,1236.0,0.0,7.71,1236.0,11.0,7.784,1247.0,10.0,7.855,1257.0,9.0,7.925,1266.0,1.0,7.931,1267.0,55.0,8.287,1322.0,4.0,8.348,1326.0,1.0,8.354,1327.0,53.0,8.729,1380.0,2.0,8.741,1382.0,83.0,9.43,1465.0,75.0,9.913,1540.0,41.0,10.177,1581.0,251.0,12.165,1832.0,
"Maher, David P.",5.609,900.0,63.0,6.001,963.0,0.0,6.005,963.0,3.0,6.025,966.0,4.0,6.055,970.0,7.0,6.105,977.0,9.0,6.172,986.0,1.0,6.178,987.0,8.0,6.237,995.0,48.0,6.566,1043.0,0.0,6.566,1043.0,26.0,6.762,1069.0,5.0,6.793,1074.0,-1074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Condit, James E., III",0.256,41.0,1.0,0.262,42.0,0.0,0.262,42.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Davis, Henrietta",9.08,1457.0,23.0,9.223,1480.0,0.0,9.229,1480.0,5.0,9.263,1485.0,3.0,9.288,1488.0,11.0,9.367,1499.0,6.0,9.421,1505.0,0.0,9.421,1505.0,22.0,9.572,1527.0,10.0,9.676,1537.0,1.0,9.683,1538.0,107.0,10.405,1645.0,-40.0,10.152,1605.0,0.0,10.332,1605.0,0.0,10.332,1605.0,0.0,10.332,1605.0,0.0,10.657,1605.0,
"Green, Andre Lerone",1.128,181.0,2.0,1.14,183.0,1.0,1.147,184.0,2.0,1.16,186.0,6.0,1.199,192.0,5.0,1.231,197.0,-197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Simmons, Denise",8.27,1327.0,16.0,8.37,1343.0,1.0,8.381,1344.0,1.0,8.389,1345.0,7.0,8.439,1352.0,7.0,8.492,1359.0,13.0,8.588,1372.0,0.0,8.588,1372.0,44.0,8.877,1416.0,6.0,8.952,1422.0,0.0,8.952,1422.0,70.0,9.437,1492.0,13.0,9.519,1505.0,80.0,10.203,1585.0,78.0,10.705,1663.0,-58.0,10.332,1605.0,0.0,10.657,1605.0,
"LaTremouille, Robert J.",0.735,118.0,2.0,0.748,120.0,0.0,0.748,120.0,2.0,0.761,122.0,0.0,0.762,122.0,-122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Timothy J., Jr.",8.918,1431.0,48.0,9.217,1479.0,0.0,9.222,1479.0,1.0,9.232,1480.0,0.0,9.238,1480.0,2.0,9.261,1482.0,9.0,9.333,1491.0,0.0,9.333,1491.0,11.0,9.416,1502.0,16.0,9.557,1518.0,0.0,9.557,1518.0,22.0,9.741,1540.0,3.0,9.76,1543.0,335.0,12.089,1878.0,-273.0,10.332,1605.0,0.0,10.332,1605.0,0.0,10.657,1605.0,
"Hees, Bill",1.228,197.0,2.0,1.24,199.0,0.0,1.241,199.0,5.0,1.272,204.0,7.0,1.317,211.0,7.0,1.362,218.0,55.0,1.709,273.0,0.0,1.709,273.0,5.0,1.743,278.0,-278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Seidel, Sam",6.064,973.0,7.0,6.107,980.0,0.0,6.111,980.0,3.0,6.131,983.0,4.0,6.161,987.0,9.0,6.224,996.0,9.0,6.291,1005.0,0.0,6.291,1005.0,18.0,6.413,1023.0,24.0,6.592,1047.0,0.0,6.592,1047.0,162.0,7.647,1209.0,5.0,7.679,1214.0,62.0,8.214,1276.0,19.0,8.336,1295.0,30.0,8.529,1325.0,-1325.0,0.0,0.0,
"Decker, Marjorie C.",9.498,1524.0,37.0,9.728,1561.0,2.0,9.746,1563.0,4.0,9.774,1567.0,2.0,9.794,1569.0,6.0,9.842,1575.0,4.0,9.884,1579.0,0.0,9.884,1579.0,23.0,10.043,1602.0,5.0,10.117,1607.0,-2.0,10.105,1605.0,0.0,10.152,1605.0,0.0,10.152,1605.0,0.0,10.332,1605.0,0.0,10.332,1605.0,0.0,10.332,1605.0,0.0,10.657,1605.0,
"Gordon, Jesse A.",3.895,625.0,7.0,3.939,632.0,1.0,3.947,633.0,3.0,3.967,636.0,5.0,4.001,641.0,6.0,4.043,647.0,22.0,4.188,669.0,1.0,4.194,670.0,16.0,4.3,686.0,27.0,4.489,713.0,0.0,4.489,713.0,-713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Galluccio, Anthony D.",12.445,1997.0,-392.0,10.002,1605.0,0.0,10.008,1605.0,0.0,10.011,1605.0,0.0,10.019,1605.0,0.0,10.029,1605.0,0.0,10.047,1605.0,0.0,10.047,1605.0,0.0,10.061,1605.0,0.0,10.105,1605.0,0.0,10.105,1605.0,0.0,10.152,1605.0,0.0,10.152,1605.0,0.0,10.332,1605.0,0.0,10.332,1605.0,0.0,10.332,1605.0,0.0,10.657,1605.0,
exhaust,0.0,69.0,0.0,0.0,69.0,9.0,0.0,78.0,5.0,0.0,83.0,12.0,0.0,95.0,17.0,0.0,112.0,28.0,0.0,140.0,0.0,0.0,140.0,23.0,0.0,163.0,68.0,0.0,231.0,0.0,0.0,231.0,74.0,0.0,305.0,0.0,0.0,305.0,275.0,0.0,580.0,0.0,0.0,580.0,0.0,0.0,580.0,475.0,0.0,1055.0,
