D:\Cambridge\Election2003\Council\Prelim\Council Detail Report


NOV. 4, 2003 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA
Unofficial Election-Night Results Only

CANDIDATES:
	Bellew, Carole K.
	Davis, Henrietta
	DeBergalis, Matt S.
	Decker, Marjorie C.
	Dixon, Vincent Lawrence
	Galluccio, Anthony D.
	Greenwood, Dan J.
	Hall, Robert L., Sr.
	Kelley, Craig A.
	King, Ethridge A., Jr.
	LaTremouille, Robert J.
	Maher, David P.
	Murphy, Brian
	Pitkin, John
	Reeves, Kenneth E.
	Simmons, Denise
	Smith, Aimee Louise
	Sullivan, Michael A.
	Taymorberry, Laurie
	Toomey, Timothy J., Jr.
	Write-In 1
	Write-In 2
	Write-In 3
	Write-In 4
	Write-In 5
	Write-In 6
	Write-In 7
	Write-In 8
	Write-In 9

ELECTION RULES:
               System:  Choice Voting
       Threshold Type:  Droop
    Surplus Transfers:  Random, every nth ballot (Cambridge style)
                        Avoid exhausted ballots if possible
                        Elected immediately (after the 1st round)
    Simultaneous Drop:  Those with less than 50 votes
                 Ties:  1) Previous Round method
                        2) By election official
                        3) Random (by computer)

--------------------------------------------------
19,490 valid ballots.
Electing 9 candidates.
Winning threshold is 1950 votes.
There were 856 invalid ballots.
(20,346 total ballots processed.)
--------------------------------------------------



********************************************************************************


ROUND 1 -- Tally of 1st place votes.

CANDIDATE                   THIS ROUND          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Galluccio, Anthony D.            +2908           2908  ELECTED -- 1st round
Davis, Henrietta                 +1797           1797  CONTINUING
Sullivan, Michael A.             +1620           1620  CONTINUING
Toomey, Timothy J., Jr.          +1582           1582  CONTINUING
Reeves, Kenneth E.               +1506           1506  CONTINUING
Decker, Marjorie C.              +1354           1354  CONTINUING
Murphy, Brian                    +1293           1293  CONTINUING
DeBergalis, Matt S.              +1172           1172  CONTINUING
Simmons, Denise                  +1163           1163  CONTINUING
Maher, David P.                  +1134           1134  CONTINUING
Kelley, Craig A.                  +976            976  CONTINUING
Pitkin, John                      +974            974  CONTINUING
Bellew, Carole K.                 +706            706  CONTINUING
Smith, Aimee Louise               +465            465  CONTINUING
King, Ethridge A., Jr.            +348            348  CONTINUING
Taymorberry, Laurie               +179            179  CONTINUING
LaTremouille, Robert J.           +122            122  CONTINUING
Hall, Robert L., Sr.               +93             93  CONTINUING
Dixon, Vincent Lawrence            +62             62  CONTINUING
Greenwood, Dan J.                  +36             36  CONTINUING
Write-In 1                           0              0  CONTINUING
Write-In 2                           0              0  CONTINUING
Write-In 3                           0              0  CONTINUING
Write-In 4                           0              0  CONTINUING
Write-In 5                           0              0  CONTINUING
Write-In 6                           0              0  CONTINUING
Write-In 7                           0              0  CONTINUING
Write-In 8                           0              0  CONTINUING
Write-In 9                           0              0  CONTINUING

EXHAUSTED PILE:                      0              0  
