D:\Cambridge\Election2003\Council\Prelim\Council Tabular Report (Delimited)
NOV. 4, 2003 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA
Unofficial Election-Night Results Only

19,490 valid ballots.
Electing 9 candidates.
Winning threshold is 1950 votes.
There were 856 invalid ballots.
(20,346 total ballots processed.)

|Round 1|Round 2|Round 3|Round 4|Round 5|Round 6|Round 7|Round 8|Round 9|Round 10|Round 11|Round 12|Round 13|
Bellew, Carole K.|706.0000000000|726.0000000000|727.0000000000|728.0000000000|733.0000000000|737.0000000000|754.0000000000|778.0000000000|826.0000000000|0|0|0|0|DEFEATED -- 9th round
Davis, Henrietta|1797.0000000000|1841.0000000000|1843.0000000000|1846.0000000000|1851.0000000000|1862.0000000000|1889.0000000000|1916.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|ELECTED -- 9th round
DeBergalis, Matt S.|1172.0000000000|1182.0000000000|1186.0000000000|1193.0000000000|1195.0000000000|1199.0000000000|1207.0000000000|1247.0000000000|1301.0000000000|1393.0000000000|1445.0000000000|0|0|DEFEATED -- 11th round
Decker, Marjorie C.|1354.0000000000|1404.0000000000|1406.0000000000|1410.0000000000|1415.0000000000|1420.0000000000|1440.0000000000|1463.0000000000|1502.0000000000|1611.0000000000|1754.0000000000|1944.0000000000|1950.0000000000|ELECTED -- 13th round
Dixon, Vincent Lawrence|62.0000000000|63.0000000000|63.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd round
Galluccio, Anthony D.|2908.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|ELECTED -- 1st round
Greenwood, Dan J.|36.0000000000|40.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Hall, Robert L., Sr.|93.0000000000|100.0000000000|112.0000000000|121.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th round
Kelley, Craig A.|976.0000000000|1003.0000000000|1004.0000000000|1006.0000000000|1036.0000000000|1047.0000000000|1054.0000000000|1074.0000000000|1098.0000000000|1159.0000000000|0|0|0|DEFEATED -- 10th round
King, Ethridge A., Jr.|348.0000000000|362.0000000000|364.0000000000|368.0000000000|375.0000000000|387.0000000000|393.0000000000|0|0|0|0|0|0|DEFEATED -- 7th round
LaTremouille, Robert J.|122.0000000000|123.0000000000|125.0000000000|128.0000000000|133.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 5th round
Maher, David P.|1134.0000000000|1374.0000000000|1377.0000000000|1379.0000000000|1387.0000000000|1391.0000000000|1397.0000000000|1439.0000000000|1443.0000000000|1503.0000000000|1625.0000000000|1721.0000000000|1950.0000000000|ELECTED -- 13th round
Murphy, Brian|1293.0000000000|1330.0000000000|1332.0000000000|1335.0000000000|1337.0000000000|1344.0000000000|1357.0000000000|1380.0000000000|1411.0000000000|1524.0000000000|1666.0000000000|1950.0000000000|1950.0000000000|ELECTED -- 12th round
Pitkin, John|974.0000000000|1003.0000000000|1004.0000000000|1007.0000000000|1014.0000000000|1025.0000000000|1034.0000000000|1057.0000000000|1094.0000000000|1185.0000000000|1453.0000000000|1582.0000000000|0|DEFEATED -- 12th round
Reeves, Kenneth E.|1506.0000000000|1577.0000000000|1578.0000000000|1582.0000000000|1589.0000000000|1601.0000000000|1607.0000000000|1639.0000000000|1667.0000000000|1707.0000000000|1777.0000000000|1883.0000000000|1950.0000000000|ELECTED -- 13th round
Simmons, Denise|1163.0000000000|1200.0000000000|1200.0000000000|1206.0000000000|1217.0000000000|1225.0000000000|1240.0000000000|1265.0000000000|1371.0000000000|1441.0000000000|1531.0000000000|1648.0000000000|1950.0000000000|ELECTED -- 13th round
Smith, Aimee Louise|465.0000000000|467.0000000000|471.0000000000|472.0000000000|473.0000000000|481.0000000000|499.0000000000|507.0000000000|0|0|0|0|0|DEFEATED -- 8th round
Sullivan, Michael A.|1620.0000000000|1853.0000000000|1853.0000000000|1858.0000000000|1863.0000000000|1866.0000000000|1871.0000000000|1903.0000000000|1925.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|1950.0000000000|ELECTED -- 10th round
Taymorberry, Laurie|179.0000000000|183.0000000000|183.0000000000|184.0000000000|187.0000000000|197.0000000000|0|0|0|0|0|0|0|DEFEATED -- 6th round
Toomey, Timothy J., Jr.|1582.0000000000|1709.0000000000|1709.0000000000|1711.0000000000|1713.0000000000|1719.0000000000|1731.0000000000|1745.0000000000|1759.0000000000|1816.0000000000|1879.0000000000|1950.0000000000|1950.0000000000|ELECTED -- 12th round
Write-In 1|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 2|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 3|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 4|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 5|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 6|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 7|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 8|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 9|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round



Wednesday, November 5, 2003 12:47 AM
ChoicePlus Pro -- Version 2.1
(c) 1993-2001 Voting Solutions -- All Rights Reserved
